,Index,动词,名词_x,Index2,verb,名词_y
0,1,搬出,老几,83,搬出,围墙
1,28,震,0,177,震,魔法
2,36,捏,火烧,7,捏,事情
3,37,赔,羊,60,赔,鬼
4,38,提供,地瓜,127,提供,0
5,53,输,锅,102,输,老爷
6,57,唬,油条,41,唬,0
7,73,到,目光,55,到,小楼
8,76,弄僵,地位,10,弄僵,线头
9,85,填,罩子,159,填,0
10,97,喂,灯,42,喂,爱人
11,114,准备,0,61,准备,农民
12,121,取消,小鸡,38,取消,0
13,129,结清,0,130,结清,0
14,146,抹,针,123,抹,脸
15,152,翘,0,45,翘,钥匙
16,161,揭,0,176,揭,草莓
17,169,牺牲,0,9,牺牲,人
18,176,撵,0,33,撵,好事
19,202,冲走,敌机,98,冲走,0
20,207,得罪,肩膀,12,得罪,鞋
21,208,扣,包袱,109,扣,妹妹
22,234,拢,历史,6,拢,事
23,235,捆,小岛,35,捆,谜底
24,248,劈,信笺,43,劈,0
25,268,捂住,香烟,26,捂住,病
26,293,死,水,54,死,0
27,295,揍,0,47,揍,书
28,314,错过,0,134,错过,0
29,316,掩,0,11,掩,教堂
30,327,说完,船,169,说完,0
31,333,赚,战争,136,赚,0
32,348,垫,珠花,147,垫,0
33,365,掀,眼光,126,掀,眼镜
34,388,抛弃,作家,64,抛弃,桌子
35,416,摇,橱,96,摇,钱
36,430,想,0,21,想,0
37,432,踩,女儿,116,踩,腿
38,435,梳,病症,150,梳,司机
39,447,镇住,0,3,镇住,实感
40,456,锁,0,202,锁,征兆
41,463,暴露,弟,120,暴露,箱子
42,486,拧,0,122,拧,母亲
43,491,挤,0,28,挤,市长
44,539,征服,姨太太,108,征服,男孩
45,541,关闭,0,86,关闭,画儿
46,550,破坏,网,153,破坏,脑袋
47,554,引来,0,17,引来,正事
48,568,忘记,0,206,忘记,桥
49,572,打扫,篮子,174,打扫,0
50,598,淹,女朋友,73,淹,大妈
51,606,借,0,110,借,机会
52,610,解剖,0,34,解剖,仇人
53,615,说服,0,13,说服,命
54,617,捅,口气,48,捅,路
55,625,转移,0,91,转移,父亲
56,626,辞,0,155,辞,铁轨
57,631,丢掉,0,210,丢掉,屋子
58,635,累死,门房,117,累死,气
59,636,甩,0,129,甩,0
60,637,抓,0,190,抓,公
61,641,拖,0,37,拖,纸
62,646,击退,0,195,击退,时间
63,662,堵,妈妈,148,堵,0
64,663,划破,文件名,154,划破,闸门
65,692,烫,花,145,烫,闺女
66,700,烧掉,0,87,烧掉,0
67,706,舔,0,51,舔,年轻人
68,727,吃掉,电灯,164,吃掉,鱼子
69,728,收拾,0,160,收拾,老朋友
70,750,埋,0,106,埋,麻袋
71,753,包,0,138,包,锅
72,754,走,雨衣,52,走,枪
73,770,打断,旗袍,40,打断,0
74,772,撞,袜子,167,撞,0
75,777,打发,0,20,打发,火
76,778,敲,0,111,敲,亲事
77,782,熄灭,0,75,熄灭,蟑螂
78,786,捶,书信,44,捶,0
79,791,淹没,饭碗,118,淹没,脖子
80,793,摔,0,205,摔,商店
81,794,断送,老头子,161,断送,妈妈
82,817,抢,0,124,抢,项链
83,824,堵住,0,140,堵住,0
84,833,耽误,0,139,耽误,0
85,836,喊,烽火,16,喊,0
86,841,遮,0,198,遮,盒饭
87,842,杀死,0,204,杀死,空气
88,845,撕,木筏,18,撕,牛
89,850,吓,人员,143,吓,0
90,858,揪,炕,94,揪,爷爷
91,862,掉,0,131,掉,盆
92,863,撕破,腰,113,撕破,果树
93,864,挡住,荞麦,193,挡住,假条
94,870,碰,0,187,碰,0
95,884,砍,0,119,砍,饭碗
96,889,带回,枣茶,82,带回,湿
97,890,混淆,0,144,混淆,0
98,892,做,0,29,做,0
99,893,洗,0,199,洗,0
100,916,扔掉,0,156,扔掉,床铺
101,917,遮住,0,92,遮住,妻儿
102,934,忘,0,212,忘,房子
103,935,打倒,口水,31,打倒,输液
104,939,偷走,0,77,偷走,0
105,943,拽,0,180,拽,0
106,945,吓坏,煤炉,203,吓坏,鸡巴
107,947,取,0,175,取,0
108,954,要,0,46,要,老头子
109,955,摘,烟泡,25,摘,盐
110,957,吞,0,163,吞,石头
111,958,带走,婚事,62,带走,辫子
112,963,惹火,0,65,惹火,0
113,970,关掉,0,133,关掉,0
114,979,留下,0,188,留下,真话
115,983,烧,姑娘,89,烧,船
116,985,卖,0,135,卖,0
117,986,踢,大家,181,踢,爸爸
118,989,忘掉,0,68,忘掉,0
119,993,起来,0,201,起来,0
120,995,带来,0,105,带来,猪
121,996,翻,烟锅,186,翻,魂
122,999,扭,渡船,59,扭,百合花
123,1005,吹,0,183,吹,0
124,1006,搞,0,173,搞,0
125,1007,赶走,0,76,赶走,0
126,1008,抱,亭子,49,抱,喉咙
127,1010,偷,0,166,偷,土豆
128,1018,盖,0,200,盖,歌词
129,1020,搅乱,0,74,搅乱,药
130,1021,搅,0,211,搅,磨坊
131,1022,卸,0,30,卸,0
132,1023,弄,0,191,弄,0
133,1026,送给,0,24,送给,心
134,1027,吃,电子表,189,吃,公司
135,1032,看,犄角,19,看,0
136,1033,送来,0,14,送来,海盐
137,1034,解决,0,95,解决,大哥
138,1036,刷,书皮,67,刷,0
139,1038,退,0,103,退,洞
140,1039,接,0,197,接,容器
141,1045,放下,怒火,194,放下,档案
142,1047,糟蹋,胶水,182,糟蹋,纸条
143,1049,说,作业,170,说,线
144,1050,砸,睫毛,209,砸,0
145,1062,毁,话茬,99,毁,大娘
146,1066,扑灭,0,137,扑灭,0
147,1067,扔,0,141,扔,0
148,1070,开走,胸脯,171,开走,顶针
149,1071,截,0,1,截,老几
150,1072,打开,0,165,打开,戒指
151,1073,倒,0,79,倒,0
152,1081,开,九妹,23,开,事儿
153,1085,脱,0,4,脱,车
154,1090,了结,牌子,112,了结,0
155,1091,放,铺板,192,放,国王
156,1092,转,0,90,转,孩子
157,1096,打,0,168,打,0
158,1098,杀,字音,172,杀,手指
159,1100,挂,0,70,挂,0
160,1102,丢,字眼,162,丢,0
161,1103,拿,大,184,拿,姑娘
162,1107,送,奶奶,78,送,0
