,名词,动词
0,心思,放
1,眼泪,滴
2,嘴,凑
3,涎水,0
4,老几,耽误
5,时间,运送
6,0,追
7,剪刀,转
8,孩子,贴
9,耳机,背
10,信,寄
11,文章,寄
12,女孩子,叫
13,女孩,0
14,0,拉
17,狮子头,0
19,帐篷,调
20,0,甩
21,0,扎
22,0,搀扶
24,假牙,0
25,钞票,装
26,牛车,0
27,死人,拉
28,桌子,移
29,姆妈,接
30,母亲,0
31,脖子,0
32,耳朵,0
33,嘴巴,0
34,陆家,0
35,父亲,0
36,鸡,轰
38,椅子,0
41,0,搬
42,医生,抱
44,泥水,溅
45,0,拖
46,水,递
47,绳套,0
48,0,缠
49,工作服,领
50,疯子,牵
51,羊,0
52,0,扶
53,儿子,0
54,草垛子,0
55,凳子,0
56,胳膊,0
57,苦根,分散
58,0,坐
59,0,扭
63,钱,喜
64,犁,0
65,堂弟,0
66,脚,0
67,0,举
68,手套,扛
70,0,伸
72,垃圾,0
73,木板,0
75,书包,花
78,盐,0
79,蚕茧,扫
80,船,挂
81,双手,写
83,水沫,0
84,历史,0
85,0,交
86,车,0
87,目光,卖
88,0,摇
89,0,靠
90,国力,0
91,事情,0
92,范围,0
93,0,浓缩
94,0,溶解
95,人,开
96,话,0
97,战表,0
98,0,停
99,0,糟蹋
100,0,做
101,0,扩大
102,功夫,0
103,辫子,缩
104,老头儿,0
105,眼珠,扯
106,理性,0
107,战魔,捎
108,天堂,0
109,花儿,0
110,光明,挤
111,0,改用
112,命运,0
113,活地狱,找
114,蛋糕,0
115,牛,搬
116,0,建
117,尾巴,0
118,读者,0
119,语言,0
120,羊群,抓
121,儿童,0
122,0,捧
123,拖鞋,0
125,人们,撅
126,贼,引
127,螃蟹,减少
128,神魂,敲碎
129,刀子,0
130,狮子,0
132,糖果,踢
133,自行车,落
134,行李,挪
135,钢钢,吸引
136,大车,0
137,棉花,捉
138,脸,0
139,米粉肉,叼
140,稿子,0
141,问题,召回
142,海,0
143,秤,吓
144,秤盘,0
145,武术,0
146,少爷,0
147,0,推
148,怒火,抬
149,客人,0
150,对方,摊
151,牌,搁
152,0,埋
153,方巾,蒸
154,试题,发
155,话题,端
157,国家,练
158,话头,0
159,朋友,倾泻
