,名词,动词,处所词
0,卡车,停,路边
1,脖子,挂,窗外
2,原子弹,绑,怀里
3,钱,揣,心里
4,狗,放,岸边
5,船,0,路上
6,伤疤,0,0
7,车,0,0
8,脑袋,扔,一旁
9,鞭子,0,地上
10,药方,0,0
11,网,收拾,胸前
12,人民,撒,0
13,相片,0,海里
14,丑话,0,手里
15,儿子,收集,0
16,书包,0,头里
17,面包,说,园里
18,0,破,0
19,包袱,抱,0
20,钱包,发泄,桌上
21,套鞋,0,0
22,红桃,搁,林中
23,纸牌,0,地下
24,火柴盒,0,0
25,妻子,丢,身边
26,0,留,0
27,工具,0,0
28,书,0,0
29,0,0,口里
30,笔衔,揽,0
31,书签,0,0
32,烟袋嘴,摔,0
33,信,0,房里
34,椅子,抛,0
35,文件,0,0
36,烟头,贴,0
37,全身,0,0
38,手枪,0,0
39,水烟袋,0,家里
40,身子,摆,0
41,报纸,0,0
42,铜币,掷,0
43,话,0,0
44,鞋底,0,0
45,烟卷,俯,身上
46,0,叠,0
47,大衣,0,0
48,报铺,听,0
49,杂志,0,0
51,筹码,搂,楼上
52,帽子,0,0
53,盆,0,0
54,指挥刀,0,0
55,刀,0,0
57,病,打,0
58,信摊,0,0
59,0,踢,0
60,0,拾,0
61,0,落,乡下
63,烧饼,0,0
64,0,0,路旁
65,老百姓,带,0
66,车子,0,0
67,蓑衣,0,0
68,烟蒂,埋,0
69,豆荚,0,0
70,脸,铺,0
71,饭,0,0
72,饭碗,0,0
73,电风扇,开,0
74,水果,0,0
75,媳妇,0,0
76,竹竿,0,0
77,锄头,0,0
78,羊系,掀,0
79,鼻子,竖,0
80,酒杯,拄,0
81,手杖,0,0
82,纸片,0,0
83,白纸,0,0
84,女儿,0,0
85,家眷,0,途中
86,书信,0,0
87,肚子,寄托,城里
89,眼镜,0,0
90,老婆,0,0
92,柳条,0,0
93,钞票,0,门前
95,粮食,0,0
97,嘴唇,吐,隔壁
98,鱼,洒,0
99,孩子,0,0
100,薪金,支开,0
102,群众,抢,0
103,事情,0,0
104,0,攒,0
105,警卫,装,湖上
106,蛐蛐儿,串,巷口
107,小孩子,靠拢,0
108,报,0,0
110,社会,0,0
111,抄本,0,0
112,皮包,0,0
113,茶盘,0,空中
114,鱼鳞,0,0
117,0,插,0
120,礼品,吹,腋下
121,饭粒,0,0
122,花圈,0,0
125,血,0,0
126,丈夫,0,0
127,烟,0,0
128,0,集中,0
129,大人,0,0
130,听诊器,0,0
131,饭菜,0,0
132,汤,撼醒,0
133,时钟,0,0
134,行李,0,0
135,0,搅拌,树上
136,糖,浇,0
137,马系,0,田里
138,纸钱,0,0
139,花,0,0
140,0,含,0
141,手指,0,0
145,自行车,0,0
146,红线,0,0
147,长枪,0,0
148,双脚,0,0
149,脚,捆,0
151,衣服,0,0
153,双手,0,0
154,0,捏,0
155,赃物,0,0
158,脸贴,0,河边
159,茶杯,0,0
164,拐杖,撂,0
165,腿,0,0
166,屋子里,0,0
168,酒瓶,0,0
169,纸条,0,0
170,书关,0,0
171,问题,0,0
174,0,蜷起,0
175,虫,燃着,0
176,身儿,0,0
177,烧纸,打入,0
179,金钱,0,炕沿
182,外孙子,0,0
184,梆子,0,0
185,铁盒,0,脸上
186,0,0,街上
187,0,收回,门外
188,剪刀,0,枕里
190,一块钱,0,0
191,花生,0,0
192,土,0,0
193,0,拢,0
194,0,拍,0
196,本钱,0,0
198,茶钱,压,0
199,布,0,0
200,怒气,0,0
201,碟子,0,0
202,耳朵,0,0
206,笤帚,0,0
210,草铺,0,0
211,种子,0,0
212,0,0,海边
215,0,0,0
216,太太,挟,肩上
217,警棍,0,0
219,药箱,弹,0
220,烟灰,0,0
221,话头,0,0
223,枪,0,0
224,书本,0,0
225,馒头,0,山上
226,0,0,0
227,迫击炮,0,0
228,火钳,0,0
229,西服,0,0
230,猪头,0,0
232,男孩,0,0
233,奶瓶,0,0
235,绳子,0,0
237,父亲,0,0
238,灯笼,0,0
239,秤,0,0
241,指导员,卸,0
242,金笔,0,0
245,口袋,0,0
246,真话,0,0
247,腰带,憋,门口
248,椅垫,横,0
249,果子,0,0
250,0,0,0
251,0,撩,0
252,蜜柑,0,0
255,项链,0,0
257,钥匙,0,0
258,杯子,0,0
259,鞋,举,手中
260,纸烟,0,0
261,0,掐,0
263,0,0,0
264,骡子,0,0
265,0,推倒,0
266,0,0,身旁
267,凉鞋,0,0
268,狗蛋,脱,0
270,姐姐,0,0
273,手套,0,0
274,0,0,0
275,扑克,0,0
276,窝,0,0
277,竿子,捋,0
278,鼻涕,做,0
279,盘子,0,0
280,桦树皮,擤,0
281,缝隙,0,0
282,垃圾,包,0
283,船藏,连缀,0
284,0,弥上,0
286,碗擎,0,0
287,羽毛,0,门
291,腰,端,0
292,鸽子,缝,0
293,女人,弓,0
294,缰绳,0,0
295,火把,0,0
296,儿媳,挽,0
298,筷子,0,0
299,火柴,0,0
303,葱,0,0
304,0,0,0
305,电钻,0,0
306,上衣,0,0
309,0,0,西方
