,名词,动词
0,话,摘下来
1,眼镜,翻过来
2,蓑衣,戴上去
3,表哥,0
4,墓碑,挑起来
5,猪,腾出来
6,耳机,撕下来
7,镰刀,抽出来
8,钥匙,捡起来
9,衬衣,0
11,担子,0
12,屋子,0
13,袖管,0
14,锄头,拿回去
15,脑袋,取回来
17,手套,0
18,衣服,0
19,耳朵,0
20,饭,拆开来
21,被子,0
22,右手,0
23,剪刀,0
24,0,退回去
25,眼睛,0
26,字,落下来
27,地图,0
28,坐垫,0
29,闺女,0
30,舌头,0
31,毽子,0
33,脚,退回来
34,气压,0
35,鞋,0
36,丝光,0
37,罩子,0
38,太太,0
39,猫,0
41,儿子,0
42,奖学金,0
43,文章,0
44,大夫,0
45,话筒,0
46,屋门,0
47,管家,0
48,梯子,翻过去
49,血汗,抢过来
50,妻子,丢下来
51,公主,0
52,盒子,0
53,魔笛,0
54,心肝,0
55,花瓣,0
56,女儿,套下来
57,桌子,0
58,夫人,0
59,画收,0
60,袖子,0
61,目光,0
64,房子,0
65,事情,0
66,债主,0
67,扇子,0
68,注意力,0
70,家眷,0
71,箱笼,0
72,衣被,0
73,头发,0
74,女人,0
76,果子,0
77,斧头,0
78,信,0
79,军帽,0
80,电报,0
81,雨衣,0
83,证据,0
85,竹管,0
87,话茬,0
88,墨镜,0
89,轮椅,0
90,椅背,0
91,药收,0
92,饭菜,弹回来
94,裤子,0
96,0,放过来
97,教鞭,0
98,母亲,遮起来
99,桨,0
100,声势,0
102,公文,0
103,股长,透过来
106,劳动力,0
107,眼泪,0
109,0,追回来
110,游客,0
111,客人,踢出来
113,窗子,0
114,弹头,0
115,方案,0
116,妈,0
117,领带,0
119,市委,0
120,位子,0
121,全市,0
122,老,0
124,扁豆,0
125,眼光,0
126,规律,0
127,家治,记下来
128,唱片,0
129,伞,0
130,眉毛,0
131,棉袍,0
132,琴,0
134,树枝,0
135,花炮,0
136,辫子,0
139,烛花,0
140,古玩,0
143,翅膀,0
146,包袱,0
149,老爷,0
150,0,弹回去
151,刀,0
152,牌,0
153,烟灰,0
156,文件,0
158,纸烟,0
159,日记,0
160,房屋,0
161,孩子,0
162,姐姐,0
164,竹板,0
169,笑容,0
171,蛋糕,0
174,痰,0
175,心,0
178,大舅,0
180,烟枪,0
181,轿子,0
183,钱,0
185,公馆,0
186,菜刀,0
188,底本,0
189,架子车,0
190,天,0
191,篮子,0
193,烟,0
194,烟袋,0
195,书,0
196,姑娘,0
197,消息,0
199,面子,0
200,扫帚,0
201,茶杯,0
203,簪子,0
204,款子,0
206,钞票,0
208,马,0
209,车把,0
210,房间,0
211,粉,0
213,酒壶,0
214,菜,0
215,相片,0
216,茶壶,0
219,支票,0
220,稿子,0
222,帽子,0
223,护兵,0
224,门帘,0
226,0,递过来
227,药,0
228,疑云,0
229,人,0
230,梦,0
231,火柴,0
233,电话,0
234,信塞,0
235,铜子,0
236,筷子,0
241,珠子,0
242,笔,0
244,0,借出来
248,毫毛,0
252,存款,0
256,图章,0
258,孝服,0
259,时间,0
261,箱子,0
263,0,拧下来
264,地,0
265,秘书,0
266,线,打发走
267,车,0
268,0,钉上去
269,活儿,0
270,初稿,0
272,泪水,0
273,帆,0
274,手掌,0
275,画,0
277,床上,0
280,旗袍,0
281,行李,0
283,首饰,0
284,小孩,0
288,大衣,0
290,车篷,0
291,狗,0
292,汽车,0
294,花,0
295,贴边,0
296,饭碗,0
298,田产,0
301,瓜皮帽,0
306,扁担,0
307,水,0
309,户口,0
312,票,0
313,证件,0
315,医生,0
317,饼子,0
318,羊,0
320,沙子,0
324,副本,0
325,箭,0
326,国书,0
327,天子,0
328,家庭,0
329,眷属,0
330,兵权,0
331,靴子,0
332,心放,0
333,药带,0
334,药丸,0
335,地方,0
336,刀子,0
339,床,0
343,地契,0
346,枣仁,0
347,牌子,0
349,牛,0
350,犁耙,0
353,椅子,0
357,胎儿,0
360,屁股,0
361,家属,0
362,茄克衫,0
363,小分队,0
367,鱼,0
368,保安队,0
371,杯子,0
372,游艇,0
374,芦花,0
375,石碑,0
377,月亮,0
379,信纸,0
380,棉花,0
381,剑,0
382,蝶衣,0
384,藏医,0
385,娃娃,0
386,脓拔,0
387,纸,0
388,戒指,0
389,卧房,0
391,大,0
394,钢叉,0
397,衣裳,0
398,衣料,0
399,石板,0
401,视线,0
404,记者,0
406,车子,0
408,气,0
409,人犯,0
411,镯子,0
412,上衣,0
413,诊断书,0
414,肉,0
419,炉子,0
420,馄饨,0
422,菩萨,0
427,杂志,0
430,话儿,0
