,Unnamed: 0,动词,名词
0,0,检举,肉体
2,2,没有,0
3,3,吃饭,女孩
4,4,支撑,0
5,5,摘下,内容
6,6,踩碎,专
7,7,跺断,房子
8,8,排除,0
9,9,摘去,车
10,10,不可,0
11,11,淡忘,话
12,12,拯救,0
13,13,免,药
14,14,放错,记忆
15,15,载,入党
16,16,鼓舞,灰
17,17,爆破,出版社
18,18,存在,实情
19,19,接受,坡地
20,20,吓退,眼睛
21,21,背诵,脸
22,22,供,椅子
23,23,练,脑袋
24,24,获,车盖
25,25,降落,0
26,26,抽光,衣服
27,27,唱,钥匙
29,29,带进,鞋
30,30,印,床
31,31,隐瞒,父亲
32,32,打落,柴刀
33,33,集中,0
34,34,糊,0
35,35,眯,胳膊
39,39,延长,儿子
40,40,擦拭,菜刀
41,41,收起,领口
42,42,靠近,丝巾
43,43,打扰,精纺
44,44,朗读,巷子
45,45,激荡,凳子
46,46,剪掉,桌子
47,47,删改,0
48,48,望,钱
49,49,转动,白糖
50,50,分为,0
51,51,拖散,0
52,52,拍卖,0
54,54,撑,0
55,55,匹带,0
56,56,定下,命
58,58,挥,0
59,59,发,面条
60,60,做动,0
61,61,夹,森林
62,62,归还,沙子
63,63,掀起,露珠
64,64,脚踏,男孩
65,65,听到,枪口
66,66,隔绝,朋友
67,67,送上,差异
68,68,牵扯,大地
69,69,嗅,神殿
70,70,抽动,洞穴
71,71,焚化,摄像机
72,72,拱,塑料袋
74,74,看破,头巾
75,75,休,0
77,77,溅,皮鞋
78,78,推辞,关节
79,79,开发,敌国
80,80,裱糊,对方
81,81,哼,宗教
82,82,糟踏,丈夫
83,83,踮,闺女
84,84,拉扯,0
86,86,撩开,太太
87,87,引到,0
88,88,抽出,屎
89,89,咬断,辫子
90,90,摊开,铜子
91,91,饿,筐子
92,92,挣,海水
93,93,制止,月亮
94,94,映得,头发
95,95,治愈,计算机
96,96,叫作,酒瓶
98,98,裁,剪刀
99,99,截住,信
100,100,扒开,毕业论文
101,101,剩下,0
102,102,掰,礼物
103,103,开开,女工
104,104,擦洗,0
105,105,认出来,祖国
106,106,杀害,泪水
107,107,延宕,语文学
108,108,推过去,厢房
109,109,分送,牛奶
110,110,堵塞,相片
111,111,刷洗,人
112,112,砸烂,伞
113,113,逗笑,窗户
115,115,强压,书
116,116,减去,0
117,117,闪,0
118,118,突兀,0
119,119,叫做,全书
120,120,打翻,爸爸
122,122,收紧,0
123,123,扭曲,0
