,动词,名词
0,放过,胎儿
1,截,老几
2,憋,小人
3,镇住,实感
4,脱,车
5,豁,公子
6,拢,事
7,捏,事情
8,听,灯盏
9,牺牲,人
10,弄僵,线头
11,掩,教堂
12,得罪,鞋
13,说服,命
14,送来,海盐
15,谋害,账
16,喊,0
17,引来,正事
18,撕,牛
19,看,0
20,打发,火
21,想,0
22,冻死,对方
23,开,事儿
24,送给,心
25,摘,盐
26,捂住,病
27,琢磨,话
28,挤,市长
29,做,0
30,卸,0
31,打倒,输液
32,完,老婆
33,撵,好事
34,解剖,仇人
35,捆,谜底
36,捎,房门
37,拖,纸
38,取消,0
39,啃,女方
40,打断,0
41,唬,0
42,喂,爱人
43,劈,0
44,捶,0
45,翘,钥匙
46,要,老头子
47,揍,书
48,捅,路
49,抱,喉咙
50,睡,0
51,舔,年轻人
52,走,枪
53,咳嗽,未婚夫
54,死,0
55,到,小楼
56,抬起,扇子
57,吵,戏衣
58,笑,儿子
59,扭,百合花
60,赔,鬼
61,准备,农民
62,带走,辫子
63,折磨,电话
64,抛弃,桌子
65,惹火,0
66,冒犯,人家
67,刷,0
68,忘掉,0
69,点着,0
70,挂,0
71,弄断,脚
72,破除,0
73,淹,大妈
74,搅乱,药
75,熄灭,蟑螂
76,赶走,0
77,偷走,0
78,送,0
79,倒,0
80,崩,灯
81,庇护,水
82,带回,湿
83,搬出,围墙
84,解读,事实
85,绑,财神
86,关闭,画儿
87,烧掉,0
88,倒腾,0
89,烧,船
90,转,孩子
91,转移,父亲
92,遮住,妻儿
93,勒,马
94,揪,爷爷
95,解决,大哥
96,摇,钱
97,笼罩,窗户
98,冲走,0
99,毁,大娘
100,淹死,茶
101,扔到,表嫂
102,输,老爷
103,退,洞
104,算算,0
105,带来,猪
106,埋,麻袋
107,分给,猫
108,征服,男孩
109,扣,妹妹
110,借,机会
111,敲,亲事
112,了结,0
113,撕破,果树
114,拉下去,板子
115,压沉,早饭
116,踩,腿
117,累死,气
118,淹没,脖子
119,砍,饭碗
120,暴露,箱子
121,谋杀,事由
122,拧,母亲
123,抹,脸
124,抢,项链
125,沒有,汤药
126,掀,眼镜
127,提供,0
128,宠坏,胃口
129,甩,0
130,结清,0
131,掉,盆
132,肯,0
133,关掉,0
134,错过,0
135,卖,0
136,赚,0
137,扑灭,0
138,包,锅
139,耽误,0
140,堵住,0
141,扔,0
142,拦,0
143,吓,0
144,混淆,0
145,烫,闺女
146,噎,五倍子
147,垫,0
148,堵,0
149,流放,班长
150,梳,司机
151,霸占,牙
152,修理,0
153,破坏,脑袋
154,划破,闸门
155,辞,铁轨
156,扔掉,床铺
157,鼓动,肚子
158,撕扯,舢板
159,填,0
160,收拾,老朋友
161,断送,妈妈
162,丢,0
163,吞,石头
164,吃掉,鱼子
165,打开,戒指
166,偷,土豆
167,撞,0
168,打,0
169,说完,0
170,说,线
171,开走,顶针
172,杀,手指
173,搞,0
174,打扫,0
175,取,0
176,揭,草莓
177,震,魔法
178,修改,伞
179,邻居,0
180,拽,0
181,踢,爸爸
182,糟蹋,纸条
183,吹,0
184,拿,姑娘
185,打捞,0
186,翻,魂
187,碰,0
188,留下,真话
189,吃,公司
190,抓,公
191,弄,0
192,放,国王
193,挡住,假条
194,放下,档案
195,击退,时间
196,想法,耳
197,接,容器
198,遮,盒饭
199,洗,0
200,盖,歌词
201,起来,0
202,锁,征兆
203,吓坏,鸡巴
204,杀死,空气
205,摔,商店
206,忘记,桥
207,签,0
208,治,0
209,砸,0
210,丢掉,屋子
211,搅,磨坊
212,忘,房子
