,名词,verb,数量词
0,螺丝,0,0
1,首饰,0,0
2,被子,0,0
3,伞,0,0
4,旅行包,0,0
5,身体,0,0
6,钥匙,0,0
7,时态,0,0
8,灾难,0,0
9,碎片,0,0
10,目光,0,0
11,文学,0,0
12,工钱,0,0
13,朋友,0,0
14,绳子,0,0
15,书本,0,0
16,人,0,0
17,人家,0,0
18,院墙,0,0
19,桌子,0,0
20,玉米糊,0,0
21,茶杯,0,0
22,馒头,0,0
23,房子,0,0
24,卧室,0,0
25,女子,0,0
26,眼睛,0,0
27,床,0,0
28,屋子,0,0
29,礼物,0,0
30,农民,0,0
31,剧本,0,0
32,树身,0,0
33,心胸,0,0
34,脚步,0,0
35,众人,0,0
36,头发,0,0
37,竹椅,0,0
38,椅子,0,0
39,淑贞,0,0
40,传单,0,0
41,脚,0,0
42,房间隔,0,0
43,校样,0,0
44,大哥,0,0
45,话,0,0
46,信,0,0
47,军械,0,0
48,月容,0,0
49,帘子,0,0
50,声音,0,0
51,右手,0,0
52,梨,0,0
53,脖子,0,0
54,事情,0,0
55,香粉,0,0
56,玻璃,0,0
57,筷子,0,0
58,病房,0,0
59,气氛,0,0
60,父亲,0,0
61,铁锥,0,0
62,衣襟,0,0
63,枕头,0,0
64,网,0,0
65,袖子,0,0
66,瓜皮帽,0,0
67,棉被,0,0
68,被窝,0,0
69,电筒,0,0
70,腰带,0,0
71,死者,0,0
72,战争,0,0
73,黑夜,0,0
74,大地,0,0
75,牲口,0,0
76,刀子,0,0
77,人类,0,0
78,肩膀,0,0
79,鲜血,0,0
80,船,0,0
81,电扇,0,0
82,身价,0,0
83,笔尖,0,0
84,事态,0,0
85,裙子,0,0
86,肉,0,0
87,水,0,0
88,原文,0,0
89,枝子,0,0
90,眼光,0,0
91,坟墓,0,0
92,银屏,0,0
93,缰绳,0,0
94,话题,0,0
95,灯捻,0,0
96,大刀,0,0
97,法律,0,0
98,真理,0,0
99,事,0,0
100,事物,0,0
101,小脚,0,0
102,酒家,0,0
103,药物,0,0
104,水面,0,0
105,人员,0,0
106,母亲,0,0
107,菜肴,0,0
108,饼,0,0
109,刀尖,0,0
110,字,0,0
111,数目,0,0
112,稻子,0,0
113,车,0,0
114,队伍,0,0
115,树,0,0
116,菜饭,0,0
117,依赖性,0,0
118,饮食,0,0
119,弹簧锁,0,0
120,女人,0,0
121,社会,0,0
122,车票,0,0
123,肩膊,0,0
124,军队,0,0
125,牌,0,0
126,书,0,0
127,仆人,0,0
128,房间,0,0
129,节奏,0,0
130,小说,0,0
131,秃头,0,0
132,脸,0,0
133,对方,0,0
134,受害者,0,0
135,耗子,0,0
136,红线,0,0
137,稻谷,0,0
138,茶,0,0
139,茶水,0,0
140,茶树,0,0
141,树型,0,0
142,茶叶,0,0
143,大脑,0,0
144,电报,0,0
145,奖,0,0
146,嘴巴,0,0
147,窗帘,0,0
148,窗子,0,0
149,毡子,0,0
150,嗓门,0,0
151,病痛,0,0
152,书籍,0,0
153,货,0,0
154,教科书,0,0
155,道路,0,0
156,精神,0,0
157,舌头,0,0
158,窗户,0,0
159,眼,0,0
160,鼻子,0,0
161,天空,0,0
162,日子,0,0
163,手脚,0,0
164,日记,0,0
165,女孩子,0,0
166,鬓角,0,0
167,钢琴,0,0
168,水平,0,0
169,琴,0,0
170,距离,0,0
171,担子,0,0
172,宿舍,0,0
173,嗓子,0,0
174,歌词,0,0
175,生,0,0
176,死人,0,0
177,命,0,0
178,犯人,0,0
179,嘴角,0,0
180,性爱,0,0
181,树叶,0,0
182,鸳鸯,0,0
183,衣裳,0,0
184,领子,0,0
185,书桌,0,0
186,花生,0,0
187,历史,0,0
188,财产,0,0
189,赃物,0,0
190,钱,0,0
191,豆腐乳,0,0
192,铁锁,0,0
193,土地,0,0
194,家伙,0,0
195,水井,0,0
196,黄土,0,0
197,病,0,0
198,会议室,0,0
199,羊,0,0
200,话头,0,0
201,信笺,0,0
202,神经,0,0
203,海船,0,0
204,手巾,0,0
205,国家,0,0
206,媳妇,0,0
207,处方,0,0
208,信里,0,0
209,药,0,0
210,团丁,0,0
211,黑娃,0,0
212,祠堂,0,0
213,篷子,0,0
214,小茴香,0,0
215,事实,0,0
216,院子,0,0
217,火,0,0
218,射手,0,0
219,经验总结,0,0
220,耳机,0,0
221,部队,0,0
222,名字,0,0
223,丈夫,0,0
224,门厅,0,0
225,温度,0,0
226,柱子,0,0
227,资本,0,0
228,兵力,0,0
229,音乐,0,0
230,末尾,0,0
231,脸孔,0,0
232,上衣,0,0
233,火柴,0,0
234,生物,0,0
235,铺子,0,0
236,速度,0,0
237,地壳,0,0
238,前庭,0,0
239,爱情,0,0
240,现实,0,0
241,人生,0,0
242,世界,0,0
243,灵魂,0,0
244,刀,0,0
245,剑,0,0
246,病历,0,0
247,光照,0,0
248,情况,0,0
249,教皇,0,0
250,皮带,0,0
251,杯子,0,0
252,豆子,0,0
253,纸牌,0,0
254,音量,0,0
255,客人,0,0
256,腿,0,0
257,财富,0,0
258,金盘,0,0
259,时间,0,0
260,句子,0,0
261,冰点,0,0
262,镰刀,0,0
263,婚礼,0,0
264,狗,0,0
265,枪口,0,0
266,内容,0,0
267,书合,0,0
268,车子,0,0
269,轴承,0,0
270,车轮,0,0
271,战利品,0,0
272,膝盖,0,0
273,改锥,0,0
274,流水账,0,0
275,账,0,0
276,支票,0,0
277,平台,0,0
278,听众,0,0
279,水兵,0,0
280,人马,0,0
281,感情,0,0
282,提箱,0,0
283,耳朵,0,0
284,价钱,0,0
285,帆,0,0
286,旅程,0,0
287,画,0,0
288,公爵,0,0
289,小伙子,0,0
290,婚约,0,0
291,演员,0,0
292,情感,0,0
293,笔,0,0
294,地面,0,0
295,病情,0,0
296,百叶窗,0,0
297,鸡头,0,0
298,妻子,0,0
299,血液,0,0
300,宪法,0,0
301,裤子,0,0
302,缝工,0,0
303,枪,0,0
304,脚跟,0,0
305,部位,0,0
306,老人,0,0
307,雪,0,0
308,乘客,0,0
309,雪橇,0,0
310,钢笔,0,0
311,信折,0,0
312,烟筒,0,0
313,烟灰,0,0
314,秩序,0,0
315,铁锹,0,0
316,板子,0,0
317,毯子,0,0
318,儿子,0,0
319,视线,0,0
320,照片,0,0
321,菊花,0,0
322,吊桥,0,0
323,矛头,0,0
324,婴儿,0,0
325,邮件,0,0
326,月亮,0,0
327,堂弟,0,0
328,房门,0,0
329,胳膊,0,0
330,肘子,0,0
331,花园,0,0
332,腰围,0,0
333,心,0,0
334,军营,0,0
335,斧子,0,0
336,人们,0,0
337,官,0,0
338,地平线,0,0
339,奖品,0,0
340,螺旋桨,0,0
341,货郎,0,0
342,敌人,0,0
343,脑袋,0,0
344,残疾,0,0
345,焦点,0,0
346,森林,0,0
347,客户,0,0
348,故事,0,0
349,杂志,0,0
350,眉毛,0,0
351,面包,0,0
352,刮刀,0,0
353,炉子,0,0
354,风头,0,0
355,号角,0,0
356,信徒,0,0
357,教堂,0,0
358,笔记,0,0
359,活儿,0,0
360,晚饭,0,0
361,灯笼,0,0
362,现状,0,0
363,荒原,0,0
364,座椅,0,0
365,行李,0,0
366,脑子,0,0
367,期限,0,0
368,刀叉,0,0
369,艺术,0,0
370,双脚,0,0
371,救生衣,0,0
372,心灵,0,0
373,驾驶员,0,0
374,问题,0,0
375,人道主义,0,0
376,激情,0,0
377,学生,0,0
378,伤员,0,0
379,银圆,0,0
380,娃娃,0,0
381,梳子,0,0
382,裁纸刀,0,0
383,目标,0,0
384,电话,0,0
385,地球,0,0
386,啤酒,0,0
387,意念,0,0
388,毛,0,0
389,空罐分,0,0
390,泡菜,0,0
391,力气,0,0
392,头脑,0,0
393,金子,0,0
394,诗歌,0,0
395,车速,0,0
396,地主,0,0
397,城邦,0,0
398,界线,0,0
399,所有人,0,0
400,宇宙,0,0
401,公民,0,0
402,猎物,0,0
403,骗局,0,0
404,沥青,0,0
405,弟弟,0,0
406,墓地,0,0
407,炭火,0,0
408,毽子,0,0
409,全世界,0,0
410,妈咪,0,0
411,节目,0,0
412,剧院,0,0
413,孩子,0,0
414,卵,0,0
415,试卷,0,0
416,炸药包,0,0
417,角抵,0,0
418,容量,0,0
419,猎枪,0,0
420,原因,0,0
421,骨灰,0,0
422,菜,0,0
423,球,0,0
424,灯光,0,0
425,书页,0,0
426,剪刀,0,0
427,思想,0,0
428,情绪稳定,0,0
429,烟斗,0,0
430,要点,0,0
431,货物,0,0
432,雨伞,0,0
433,手稿,0,0
434,压力,0,0
435,冰箱,0,0
436,纸张,0,0
437,订婚戒指,0,0
438,大肚子,0,0
439,天神,0,0
440,骑兵,0,0
441,责任,0,0
442,死讯,0,0
443,标准,0,0
444,中队,0,0
445,生物碱,0,0
446,妈妈,0,0
447,袋子,0,0
448,厨房,0,0
