,名词,动词,其它
0,阵势,弄,冷峻
1,火光,搅,清楚
2,脸,遮得,高
3,脚,包得,低
4,0,提得,壮实
5,嘴唇,带得,发狂
6,0,摆得,不象
7,念痕,炸,0
8,教授,留,远
9,菜单,抄录,0
10,0,抬得,0
11,网,照,0
12,手脚,做,匀细
13,共产主义,说,极匀
14,汽车,开,好
15,尘土,磨,快
16,玻璃,摇摆,0
17,身体,看,慌
18,对方,坐,响亮
19,屁股,叠,0
20,手帕,吹,很亮
21,头发,梳得,0
22,0,递给,全
23,鞋,敲,慢
24,粥,0,很严
25,0,0,少
26,五角钱,0,不错
27,桌子,0,冷淡
28,名誉,办,旺旺
29,书目,写,舒服
30,权利,铲,牢固
31,坟地,0,0
32,腰,搞,很象
33,事情,0,细腻
34,日子,拎,漂亮
36,0,0,鲜灵
37,登记簿,0,厉害
38,古诗,逗得,0
39,字,修理,连
40,气氛,0,伟大
41,肉,睁,0
42,0,闹,准
43,小脚,0,0
44,0,打,很脏
45,客人,吓,沉重
46,真牙,0,畅快
47,假牙,刮得,单弱
48,眼睛,擦,好极
49,事,裹,0
50,车窗,表现,0
51,下巴,养,0
52,大院,吵得,0
53,桌椅板凳,收拾,0
54,被子,压,0
55,意境,玩,0
56,牲口,扯,0
57,人,0,0
58,镯子,打扮,0
59,问题,0,0
60,散文,0,0
61,孩子,揽,0
62,国家,罩,0
63,文章,0,0
65,手臂,伸得,0
68,仪式,0,0
69,旧式,叙得,0
70,事理,0,0
71,女性,0,0
72,0,炒,0
73,菜,0,0
74,枕头,0,0
75,艺术,调,0
76,音量,烫得,0
77,0,围,0
78,围巾,撂,0
79,话,0,0
80,发式,摇,0
81,脑袋,0,0
82,0,估计,0
83,0,置于,0
84,声音,放,0
86,态度,退,0
88,袖子,捉弄,0
89,花枝,攥,0
90,船划,0,0
91,0,得,0
92,股骨,抿,0
93,0,撞,0
94,0,闷得,0
95,0,拍,0
96,债主,0,0
97,庭院,找来,0
98,主意,想,0
99,0,映照,0
100,姐夫,琢磨,0
102,竹竿,摆布,0
103,场面,0,0
104,目光,抡,0
106,国事,想法,0
107,大会,0,0
109,情形,0,0
110,道理,0,0
111,老百姓,0,0
112,膝盖,0,0
113,0,了解,0
116,0,磕得,0
118,人命,0,0
120,丈夫,0,0
121,牛皮,0,0
123,牙齿,0,0
124,一家人,抢白,0
126,高跟鞋,0,0
127,0,咬,0
129,果子,拉,0
