,名词,动词
0,桌子,拱手
1,筷子,摆头
2,牌,挣
4,担子,想
5,儿子,绷
6,毛衣,扑
7,小鞋,破
8,脸,掩
9,旗子,转道
10,棉衣,搭
12,船划,笑
13,树枝,夹
15,眼光,望
17,怒火,挑
20,酒杯,夺
22,袖子,探
24,夫人,攒
30,衣裳,出门
32,纸牌,吃
34,泥,唱
35,膝盖,刮
39,脚,睁
41,书案,堵住
47,拳头,抡
51,胳臂,削
52,眼睛,感动
53,棋,喊
54,话头,呼
55,长枪,歪
57,席面,0
59,贵府,躺
60,大拇指,划
61,车门,0
62,屋门,擦
63,胳膊,颤
64,缰绳,回到
65,脖颈,说出
67,意思,抿
71,饭盒,灭
73,被子,披
74,小腿,掉转
75,碟子,贴
76,球,哭
77,图纸,躲
80,门帘,愣
81,嘴,牵
85,舌头,挽
86,眉毛,拎
89,枪机,拢
93,屁股,开始
96,脸子,送
99,腿,蹬
100,月容,拉开
101,人,读
103,右手,翘
104,烧饼,听
105,酱肉,变
107,名片,赶
108,姑娘,走上
110,报,0
111,棋盘,递
116,背心,噘
117,话,竖
118,书,隔
122,稿子,脱
128,扇子,耷拉
132,纸,吐
133,笔套,赎回
134,刀,扳
135,棋子,0
136,文章,0
137,衣袖,掘
141,脖子,摔
142,眼镜,0
143,舌,谈
144,电灯,拍
148,脸色,0
150,鞋拔子,拽
152,箱子,敲
153,眉峰,掀
156,自行车,抖
157,信,抓
160,讲稿,改
161,烟屁股,伸
164,画笔,退
165,瓷碗,闭
167,椅子,换
168,饭碗,拧
173,大腿,扔
174,被窝,0
175,烟卷,0
177,灯,0
178,眼珠,0
180,面纱,0
182,窗户,0
183,后襟,0
184,头发,0
189,身体,0
193,电筒,0
195,包袱,0
196,牢房,0
201,马头,0
203,原因,0
204,烟,0
205,石头,0
206,眼皮,0
207,粮食,0
210,大衣,0
211,食盒,0
213,嘴唇,0
215,勺子,0
219,讲台,0
220,褥子,0
221,油灯,0
222,杯子,0
223,钞票,0
224,铁棒,0
227,谷子,0
228,摇钱树,0
229,私货,0
230,乘客,0
231,窗子,0
232,视线,0
233,母亲,0
236,病治,0
242,喜鹊,0
244,梳子,0
250,白眼,0
256,钥匙,0
260,链子,0
262,馒头,0
265,铺板,0
266,脑门子,0
267,脑壳,0
270,枪,0
273,姓名,0
274,早饭,0
277,窗帘,0
278,饭,0
279,手指,0
280,黄土,0
285,话匣子,0
287,铁铲,0
288,手肘,0
291,烟斗,0
294,笛子,0
296,路,0
297,帘子,0
298,领子,0
300,斗篷,0
301,弹弓,0
302,铅笔,0
303,门闩,0
304,毛笔,0
314,眉头,0
316,毡子,0
318,血,0
319,烟袋,0
321,石板,0
323,右臂,0
324,听筒,0
325,汗,0
331,手杖,0
336,双手,0
337,肩膀,0
338,下颚,0
339,腰肢,0
341,头颈,0
348,腰,0
350,臀部,0
352,膝头,0
354,话筒,0
355,照片,0
356,皮,0
357,本子,0
358,口号,0
362,房门,0
364,军装,0
365,官职,0
367,茶杯,0
370,丑兵,0
374,袋子,0
376,浴衣,0
377,鼻子,0
378,尿,0
380,反动分子,0
381,镐头,0
383,手铐,0
385,灰尘,0
386,铜板,0
387,钱,0
388,车子,0
389,眼圈,0
392,账,0
393,锅,0
394,锅子,0
396,红灯,0
397,脚尖,0
398,书包,0
411,题目,0
412,鞋子,0
415,香烟,0
416,衣襟,0
418,绳子,0
419,漂白粉,0
423,课桌,0
425,铁锨,0
426,外衣,0
429,裤子,0
432,门房,0
438,报纸,0
439,内容,0
440,衣服,0
441,论锋,0
445,手帕,0
446,茶缸,0
447,青草,0
448,长衫,0
449,货款,0
451,袖口,0
459,鸽子,0
461,烟锅,0
472,纸片,0
474,驳壳枪,0
476,烟蒂,0
482,烟灰,0
483,口袋,0
489,卫生员,0
492,烟头,0
493,口令,0
495,电棒,0
498,铺盖卷儿,0
499,牙,0
505,辫子,0
507,手臂,0
508,车头,0
510,敌人,0
513,俘虏,0
514,军帽,0
515,尸体,0
519,裙子,0
521,大伙,0
527,冲锋枪,0
528,耳机,0
531,小碗,0
535,牙齿,0
536,公文包,0
537,表,0
538,脑袋,0
540,皮肤,0
545,车,0
546,灵魂,0
547,木棒,0
551,坐骑,0
552,剑,0
554,盘子,0
555,帽子,0
560,事,0
561,甘油,0
563,骑手,0
565,马车,0
569,酒瓶,0
570,啤酒,0
572,父亲,0
573,脚步,0
576,孩子,0
577,上衣,0
581,侍女,0
582,冰鞋,0
584,胶片,0
585,鞋跟,0
588,家庭作业,0
589,腔调,0
590,正反面,0
591,脚踏车,0
594,身子,0
598,尾巴,0
601,语气,0
604,光,0
611,衣摆,0
612,浓眉,0
613,剪刀,0
615,写字台,0
616,抽屉,0
619,扇骨,0
625,客厅,0
628,汽笛,0
632,树根,0
634,气管,0
636,工具,0
640,萤火虫,0
647,绿帽子,0
650,书本,0
654,碎片,0
657,左脚,0
658,刀子,0
660,电话簿,0
661,柳条,0
666,床单,0
667,炸药包,0
668,桥,0
669,右腿,0
672,钓丝,0
673,刀刃,0
675,风扇,0
676,门锁,0
678,锹,0
684,食物,0
689,姑妈,0
690,胸脯,0
692,耳膜,0
696,火柴,0
702,手绢,0
705,羹匙,0
707,毒药,0
709,手枪,0
713,文件,0
716,硝酸,0
720,被褥,0
722,衣裾,0
723,凳子,0
725,棍子,0
726,船,0
728,仪表板,0
730,杂志,0
735,带子,0
736,号角,0
739,铁锹,0
742,天,0
749,刊物,0
752,鞭子,0
754,座椅,0
755,拖鞋,0
756,主角,0
757,名字,0
758,空气,0
763,汽车,0
766,思想,0
