t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599803189,4178861,12.595771,0.000000,0.000000,0.000000,events/second
1599803192,4178861,12.595657,0.000000,0.000000,0.000000,events/second
1599803195,4178861,12.595544,0.000000,0.000000,0.000000,events/second
1599803198,4178861,12.595429,0.000000,0.000000,0.000000,events/second
1599803201,4178861,12.595316,0.000000,0.000000,0.000000,events/second
1599803204,4178861,12.595202,0.000000,0.000000,0.000000,events/second
1599803207,4178877,12.595136,0.000000,0.000000,0.000000,events/second
1599803210,4178878,12.595025,0.000000,0.000000,0.000000,events/second
1599803213,4178878,12.594911,0.000000,0.000000,0.000000,events/second
1599803216,4178878,12.594798,0.000000,0.000000,0.000000,events/second
1599803219,4178878,12.594683,0.000000,0.000000,0.000000,events/second
1599803222,4178878,12.594570,0.000000,0.000000,0.000000,events/second
1599803225,4178878,12.594456,0.000000,0.000000,0.000000,events/second
1599803228,4178895,12.594393,0.000000,0.000000,0.000000,events/second
1599803231,4178895,12.594279,0.000000,0.000000,0.000000,events/second
1599803234,4178895,12.594166,0.000000,0.000000,0.000000,events/second
1599803237,4178895,12.594052,0.000000,0.000000,0.000000,events/second
1599803240,4178895,12.593938,0.000000,0.000000,0.000000,events/second
1599803243,4178895,12.593824,0.000000,0.000000,0.000000,events/second
1599803246,4178895,12.593710,0.000000,0.000000,0.000000,events/second
1599803249,4178912,12.593647,0.000000,0.000000,0.000000,events/second
1599803252,4178912,12.593534,0.000000,0.000000,0.000000,events/second
1599803255,4178912,12.593420,0.000000,0.000000,0.000000,events/second
1599803258,4178912,12.593306,0.000000,0.000000,0.000000,events/second
1599803261,4178912,12.593192,0.000000,0.000000,0.000000,events/second
1599803264,4178912,12.593078,0.000000,0.000000,0.000000,events/second
1599803267,4178931,12.593022,0.000000,0.000000,0.000000,events/second
1599803270,4178933,12.592914,0.000000,0.000000,0.000000,events/second
1599803273,4178933,12.592800,0.000000,0.000000,0.000000,events/second
1599803276,4178933,12.592686,0.000000,0.000000,0.000000,events/second
1599803279,4178933,12.592572,0.000000,0.000000,0.000000,events/second
1599803282,4178933,12.592459,0.000000,0.000000,0.000000,events/second
1599803285,4178933,12.592345,0.000000,0.000000,0.000000,events/second
1599803288,4178951,12.592285,0.000000,0.000000,0.000000,events/second
1599803291,4178951,12.592171,0.000000,0.000000,0.000000,events/second
1599803294,4178951,12.592057,0.000000,0.000000,0.000000,events/second
1599803297,4178951,12.591943,0.000000,0.000000,0.000000,events/second
1599803300,4178951,12.591830,0.000000,0.000000,0.000000,events/second
1599803303,4178951,12.591716,0.000000,0.000000,0.000000,events/second
1599803306,4178951,12.591602,0.000000,0.000000,0.000000,events/second
1599803309,4178972,12.591551,0.000000,0.000000,0.000000,events/second
1599803312,4178972,12.591437,0.000000,0.000000,0.000000,events/second
1599803315,4178972,12.591324,0.000000,0.000000,0.000000,events/second
1599803318,4178972,12.591210,0.000000,0.000000,0.000000,events/second
1599803321,4178972,12.591096,0.000000,0.000000,0.000000,events/second
1599803324,4178972,12.590982,0.000000,0.000000,0.000000,events/second
1599803327,4178989,12.590920,0.000000,0.000000,0.000000,events/second
1599803330,4178990,12.590809,0.000000,0.000000,0.000000,events/second
1599803333,4178990,12.590695,0.000000,0.000000,0.000000,events/second
1599803336,4178990,12.590581,0.000000,0.000000,0.000000,events/second
1599803339,4178990,12.590468,0.000000,0.000000,0.000000,events/second
1599803342,4178990,12.590354,0.000000,0.000000,0.000000,events/second
1599803345,4178990,12.590240,0.000000,0.000000,0.000000,events/second
1599803348,4179009,12.590183,0.000000,0.000000,0.000000,events/second
1599803351,4179009,12.590070,0.000000,0.000000,0.000000,events/second
1599803354,4179009,12.589956,0.000000,0.000000,0.000000,events/second
1599803357,4179009,12.589842,0.000000,0.000000,0.000000,events/second
1599803360,4179009,12.589728,0.000000,0.000000,0.000000,events/second
1599803363,4179009,12.589615,0.000000,0.000000,0.000000,events/second
1599803366,4179009,12.589501,0.000000,0.000000,0.000000,events/second
1599803369,4179032,12.589456,0.000000,0.000000,0.000000,events/second
1599803372,4179032,12.589342,0.000000,0.000000,0.000000,events/second
1599803375,4179032,12.589229,0.000000,0.000000,0.000000,events/second
1599803378,4179032,12.589115,0.000000,0.000000,0.000000,events/second
1599803381,4179032,12.589001,0.000000,0.000000,0.000000,events/second
1599803384,4179032,12.588887,0.000000,0.000000,0.000000,events/second
1599803387,4179048,12.588822,0.000000,0.000000,0.000000,events/second
1599803390,4179050,12.588714,0.000000,0.000000,0.000000,events/second
1599803393,4179050,12.588600,0.000000,0.000000,0.000000,events/second
1599803396,4179050,12.588486,0.000000,0.000000,0.000000,events/second
1599803399,4179050,12.588373,0.000000,0.000000,0.000000,events/second
1599803402,4179050,12.588259,0.000000,0.000000,0.000000,events/second
1599803405,4179050,12.588145,0.000000,0.000000,0.000000,events/second
1599803408,4179067,12.588083,0.000000,0.000000,0.000000,events/second
1599803411,4179067,12.587969,0.000000,0.000000,0.000000,events/second
1599803414,4179067,12.587855,0.000000,0.000000,0.000000,events/second
1599803417,4179067,12.587741,0.000000,0.000000,0.000000,events/second
1599803420,4179067,12.587628,0.000000,0.000000,0.000000,events/second
1599803423,4179067,12.587514,0.000000,0.000000,0.000000,events/second
1599803426,4179067,12.587400,0.000000,0.000000,0.000000,events/second
1599803429,4179086,12.587344,0.000000,0.000000,0.000000,events/second
1599803432,4179086,12.587230,0.000000,0.000000,0.000000,events/second
1599803435,4179086,12.587116,0.000000,0.000000,0.000000,events/second
1599803438,4179086,12.587003,0.000000,0.000000,0.000000,events/second
1599803441,4179086,12.586889,0.000000,0.000000,0.000000,events/second
1599803444,4179086,12.586775,0.000000,0.000000,0.000000,events/second
1599803447,4179102,12.586710,0.000000,0.000000,0.000000,events/second
1599803450,4179105,12.586605,0.000000,0.000000,0.000000,events/second
1599803453,4179105,12.586491,0.000000,0.000000,0.000000,events/second
1599803456,4179105,12.586377,0.000000,0.000000,0.000000,events/second
1599803459,4179105,12.586264,0.000000,0.000000,0.000000,events/second
1599803462,4179105,12.586150,0.000000,0.000000,0.000000,events/second
1599803465,4179105,12.586036,0.000000,0.000000,0.000000,events/second
1599803468,4179123,12.585977,0.000000,0.000000,0.000000,events/second
1599803471,4179123,12.585863,0.000000,0.000000,0.000000,events/second
1599803474,4179123,12.585749,0.000000,0.000000,0.000000,events/second
1599803477,4179123,12.585636,0.000000,0.000000,0.000000,events/second
1599803480,4179123,12.585522,0.000000,0.000000,0.000000,events/second
1599803483,4179123,12.585408,0.000000,0.000000,0.000000,events/second
1599803486,4179123,12.585294,0.000000,0.000000,0.000000,events/second
1599803489,4179142,12.585238,0.000000,0.000000,0.000000,events/second
1599803492,4179142,12.585124,0.000000,0.000000,0.000000,events/second
1599803495,4179142,12.585010,0.000000,0.000000,0.000000,events/second
1599803498,4179142,12.584897,0.000000,0.000000,0.000000,events/second
1599803501,4179142,12.584783,0.000000,0.000000,0.000000,events/second
1599803504,4179142,12.584670,0.000000,0.000000,0.000000,events/second
1599803507,4179160,12.584610,0.000000,0.000000,0.000000,events/second
1599803510,4179162,12.584502,0.000000,0.000000,0.000000,events/second
1599803513,4179162,12.584389,0.000000,0.000000,0.000000,events/second
1599803516,4179162,12.584275,0.000000,0.000000,0.000000,events/second
1599803519,4179162,12.584161,0.000000,0.000000,0.000000,events/second
1599803522,4179162,12.584048,0.000000,0.000000,0.000000,events/second
1599803525,4179162,12.583934,0.000000,0.000000,0.000000,events/second
1599803528,4179182,12.583880,0.000000,0.000000,0.000000,events/second
1599803531,4179182,12.583767,0.000000,0.000000,0.000000,events/second
1599803534,4179182,12.583653,0.000000,0.000000,0.000000,events/second
1599803537,4179182,12.583540,0.000000,0.000000,0.000000,events/second
1599803540,4179182,12.583426,0.000000,0.000000,0.000000,events/second
1599803543,4179182,12.583312,0.000000,0.000000,0.000000,events/second
1599803546,4179182,12.583198,0.000000,0.000000,0.000000,events/second
1599803549,4179205,12.583154,0.000000,0.000000,0.000000,events/second
1599803552,4179205,12.583040,0.000000,0.000000,0.000000,events/second
1599803555,4179205,12.582927,0.000000,0.000000,0.000000,events/second
1599803558,4179205,12.582813,0.000000,0.000000,0.000000,events/second
1599803561,4179205,12.582700,0.000000,0.000000,0.000000,events/second
1599803564,4179205,12.582586,0.000000,0.000000,0.000000,events/second
1599803567,4179224,12.582529,0.000000,0.000000,0.000000,events/second
1599803570,4179225,12.582419,0.000000,0.000000,0.000000,events/second
1599803573,4179225,12.582305,0.000000,0.000000,0.000000,events/second
1599803576,4179225,12.582191,0.000000,0.000000,0.000000,events/second
1599803579,4179225,12.582078,0.000000,0.000000,0.000000,events/second
1599803582,4179225,12.581964,0.000000,0.000000,0.000000,events/second
1599803585,4179225,12.581850,0.000000,0.000000,0.000000,events/second
1599803588,4179242,12.581788,0.000000,0.000000,0.000000,events/second
1599803591,4179242,12.581675,0.000000,0.000000,0.000000,events/second
1599803594,4179242,12.581561,0.000000,0.000000,0.000000,events/second
1599803597,4179242,12.581447,0.000000,0.000000,0.000000,events/second
1599803600,4179242,12.581334,0.000000,0.000000,0.000000,events/second
1599803603,4179242,12.581220,0.000000,0.000000,0.000000,events/second
1599803606,4179242,12.581106,0.000000,0.000000,0.000000,events/second
1599803609,4179263,12.581056,0.000000,0.000000,0.000000,events/second
1599803612,4179263,12.580942,0.000000,0.000000,0.000000,events/second
1599803615,4179263,12.580829,0.000000,0.000000,0.000000,events/second
1599803618,4179263,12.580715,0.000000,0.000000,0.000000,events/second
1599803621,4179263,12.580601,0.000000,0.000000,0.000000,events/second
1599803624,4179263,12.580488,0.000000,0.000000,0.000000,events/second
1599803627,4179283,12.580435,0.000000,0.000000,0.000000,events/second
1599803630,4179285,12.580327,0.000000,0.000000,0.000000,events/second
1599803633,4179285,12.580213,0.000000,0.000000,0.000000,events/second
1599803636,4179285,12.580100,0.000000,0.000000,0.000000,events/second
1599803639,4179285,12.579986,0.000000,0.000000,0.000000,events/second
1599803642,4179285,12.579872,0.000000,0.000000,0.000000,events/second
1599803645,4179285,12.579759,0.000000,0.000000,0.000000,events/second
1599803648,4179302,12.579696,0.000000,0.000000,0.000000,events/second
1599803651,4179302,12.579583,0.000000,0.000000,0.000000,events/second
1599803654,4179302,12.579469,0.000000,0.000000,0.000000,events/second
1599803657,4179302,12.579356,0.000000,0.000000,0.000000,events/second
1599803660,4179302,12.579242,0.000000,0.000000,0.000000,events/second
1599803663,4179302,12.579128,0.000000,0.000000,0.000000,events/second
1599803666,4179302,12.579015,0.000000,0.000000,0.000000,events/second
1599803669,4179318,12.578950,0.000000,0.000000,0.000000,events/second
1599803672,4179318,12.578836,0.000000,0.000000,0.000000,events/second
1599803675,4179318,12.578722,0.000000,0.000000,0.000000,events/second
1599803678,4179318,12.578609,0.000000,0.000000,0.000000,events/second
1599803681,4179318,12.578495,0.000000,0.000000,0.000000,events/second
1599803684,4179318,12.578382,0.000000,0.000000,0.000000,events/second
1599803687,4179334,12.578316,0.000000,0.000000,0.000000,events/second
1599803690,4179335,12.578206,0.000000,0.000000,0.000000,events/second
1599803693,4179335,12.578092,0.000000,0.000000,0.000000,events/second
1599803696,4179335,12.577979,0.000000,0.000000,0.000000,events/second
1599803699,4179335,12.577865,0.000000,0.000000,0.000000,events/second
1599803702,4179335,12.577752,0.000000,0.000000,0.000000,events/second
1599803705,4179335,12.577638,0.000000,0.000000,0.000000,events/second
1599803708,4179353,12.577579,0.000000,0.000000,0.000000,events/second
1599803711,4179353,12.577465,0.000000,0.000000,0.000000,events/second
1599803714,4179353,12.577351,0.000000,0.000000,0.000000,events/second
1599803717,4179353,12.577238,0.000000,0.000000,0.000000,events/second
1599803720,4179353,12.577124,0.000000,0.000000,0.000000,events/second
1599803723,4179353,12.577011,0.000000,0.000000,0.000000,events/second
1599803726,4179353,12.576897,0.000000,0.000000,0.000000,events/second
1599803729,4179370,12.576835,0.000000,0.000000,0.000000,events/second
1599803732,4179370,12.576721,0.000000,0.000000,0.000000,events/second
