t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599804536,3846300,11.546498,0.000000,0.000000,0.000000,events/second
1599804539,3846300,11.546394,0.000000,0.000000,0.000000,events/second
1599804542,3846300,11.546290,0.000000,0.000000,0.000000,events/second
1599804545,3846300,11.546186,0.000000,0.000000,0.000000,events/second
1599804548,3846301,11.546085,0.000000,0.000000,0.000000,events/second
1599804551,3846301,11.545981,0.000000,0.000000,0.000000,events/second
1599804554,3846301,11.545877,0.000000,0.000000,0.000000,events/second
1599804557,3846301,11.545773,0.000000,0.000000,0.000000,events/second
1599804560,3846301,11.545669,0.000000,0.000000,0.000000,events/second
1599804563,3846301,11.545565,0.000000,0.000000,0.000000,events/second
1599804566,3846301,11.545461,0.000000,0.000000,0.000000,events/second
1599804569,3846304,11.545367,0.000000,0.000000,0.000000,events/second
1599804572,3846304,11.545263,0.000000,0.000000,0.000000,events/second
1599804575,3846304,11.545159,0.000000,0.000000,0.000000,events/second
1599804578,3846304,11.545055,0.000000,0.000000,0.000000,events/second
1599804581,3846304,11.544951,0.000000,0.000000,0.000000,events/second
1599804584,3846304,11.544847,0.000000,0.000000,0.000000,events/second
1599804587,3846304,11.544743,0.000000,0.000000,0.000000,events/second
1599804590,3846305,11.544642,0.000000,0.000000,0.000000,events/second
1599804593,3846305,11.544538,0.000000,0.000000,0.000000,events/second
1599804596,3846305,11.544434,0.000000,0.000000,0.000000,events/second
1599804599,3846305,11.544330,0.000000,0.000000,0.000000,events/second
1599804602,3846305,11.544226,0.000000,0.000000,0.000000,events/second
1599804605,3846305,11.544122,0.000000,0.000000,0.000000,events/second
1599804608,3846308,11.544027,0.000000,0.000000,0.000000,events/second
1599804611,3846308,11.543923,0.000000,0.000000,0.000000,events/second
1599804614,3846308,11.543819,0.000000,0.000000,0.000000,events/second
1599804617,3846308,11.543715,0.000000,0.000000,0.000000,events/second
1599804620,3846308,11.543611,0.000000,0.000000,0.000000,events/second
1599804623,3846308,11.543507,0.000000,0.000000,0.000000,events/second
1599804626,3846308,11.543403,0.000000,0.000000,0.000000,events/second
1599804629,3846310,11.543306,0.000000,0.000000,0.000000,events/second
1599804632,3846310,11.543202,0.000000,0.000000,0.000000,events/second
1599804635,3846310,11.543098,0.000000,0.000000,0.000000,events/second
1599804638,3846310,11.542994,0.000000,0.000000,0.000000,events/second
1599804641,3846310,11.542890,0.000000,0.000000,0.000000,events/second
1599804644,3846310,11.542786,0.000000,0.000000,0.000000,events/second
1599804647,3846310,11.542682,0.000000,0.000000,0.000000,events/second
1599804650,3846311,11.542581,0.000000,0.000000,0.000000,events/second
1599804653,3846311,11.542477,0.000000,0.000000,0.000000,events/second
1599804656,3846311,11.542373,0.000000,0.000000,0.000000,events/second
1599804659,3846311,11.542269,0.000000,0.000000,0.000000,events/second
1599804662,3846311,11.542165,0.000000,0.000000,0.000000,events/second
1599804665,3846311,11.542062,0.000000,0.000000,0.000000,events/second
1599804668,3846314,11.541967,0.000000,0.000000,0.000000,events/second
1599804671,3846314,11.541863,0.000000,0.000000,0.000000,events/second
1599804674,3846314,11.541759,0.000000,0.000000,0.000000,events/second
1599804677,3846314,11.541655,0.000000,0.000000,0.000000,events/second
1599804680,3846314,11.541551,0.000000,0.000000,0.000000,events/second
1599804683,3846314,11.541447,0.000000,0.000000,0.000000,events/second
1599804686,3846314,11.541343,0.000000,0.000000,0.000000,events/second
