t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599815988,52244,0.151623,0.000000,0.000000,0.000000,events/second
1599815991,52244,0.151622,0.000000,0.000000,0.000000,events/second
1599815994,52247,0.151629,0.000000,0.000000,0.000000,events/second
1599815997,52247,0.151628,0.000000,0.000000,0.000000,events/second
1599816000,52247,0.151626,0.000000,0.000000,0.000000,events/second
1599816003,52247,0.151625,0.000000,0.000000,0.000000,events/second
1599816006,52247,0.151624,0.000000,0.000000,0.000000,events/second
1599816009,52247,0.151623,0.000000,0.000000,0.000000,events/second
1599816012,52250,0.151630,0.000000,0.000000,0.000000,events/second
1599816015,52250,0.151629,0.000000,0.000000,0.000000,events/second
1599816018,52250,0.151627,0.000000,0.000000,0.000000,events/second
1599816021,52250,0.151626,0.000000,0.000000,0.000000,events/second
1599816024,52250,0.151625,0.000000,0.000000,0.000000,events/second
1599816027,52250,0.151623,0.000000,0.000000,0.000000,events/second
1599816030,52250,0.151622,0.000000,0.000000,0.000000,events/second
1599816033,52253,0.151629,0.000000,0.000000,0.000000,events/second
1599816036,52253,0.151628,0.000000,0.000000,0.000000,events/second
1599816039,52253,0.151627,0.000000,0.000000,0.000000,events/second
1599816042,52253,0.151625,0.000000,0.000000,0.000000,events/second
1599816045,52253,0.151624,0.000000,0.000000,0.000000,events/second
1599816048,52253,0.151623,0.000000,0.000000,0.000000,events/second
1599816051,52253,0.151621,0.000000,0.000000,0.000000,events/second
1599816054,52256,0.151629,0.000000,0.000000,0.000000,events/second
1599816057,52256,0.151628,0.000000,0.000000,0.000000,events/second
1599816060,52256,0.151626,0.000000,0.000000,0.000000,events/second
1599816063,52256,0.151625,0.000000,0.000000,0.000000,events/second
1599816066,52256,0.151624,0.000000,0.000000,0.000000,events/second
1599816069,52256,0.151622,0.000000,0.000000,0.000000,events/second
1599816072,52259,0.151630,0.000000,0.000000,0.000000,events/second
1599816075,52259,0.151628,0.000000,0.000000,0.000000,events/second
1599816078,52259,0.151627,0.000000,0.000000,0.000000,events/second
1599816081,52259,0.151626,0.000000,0.000000,0.000000,events/second
1599816084,52259,0.151624,0.000000,0.000000,0.000000,events/second
1599816087,52259,0.151623,0.000000,0.000000,0.000000,events/second
1599816090,52259,0.151622,0.000000,0.000000,0.000000,events/second
1599816093,52262,0.151629,0.000000,0.000000,0.000000,events/second
1599816096,52262,0.151628,0.000000,0.000000,0.000000,events/second
1599816099,52262,0.151626,0.000000,0.000000,0.000000,events/second
1599816102,52262,0.151625,0.000000,0.000000,0.000000,events/second
1599816105,52262,0.151624,0.000000,0.000000,0.000000,events/second
1599816108,52262,0.151623,0.000000,0.000000,0.000000,events/second
1599816111,52262,0.151621,0.000000,0.000000,0.000000,events/second
1599816114,52265,0.151629,0.000000,0.000000,0.000000,events/second
1599816117,52265,0.151627,0.000000,0.000000,0.000000,events/second
1599816120,52265,0.151626,0.000000,0.000000,0.000000,events/second
1599816123,52265,0.151625,0.000000,0.000000,0.000000,events/second
1599816126,52265,0.151623,0.000000,0.000000,0.000000,events/second
1599816129,52265,0.151622,0.000000,0.000000,0.000000,events/second
1599816132,52268,0.151629,0.000000,0.000000,0.000000,events/second
1599816135,52268,0.151628,0.000000,0.000000,0.000000,events/second
1599816138,52268,0.151627,0.000000,0.000000,0.000000,events/second
1599816141,52268,0.151625,0.000000,0.000000,0.000000,events/second
1599816144,52268,0.151624,0.000000,0.000000,0.000000,events/second
1599816147,52268,0.151623,0.000000,0.000000,0.000000,events/second
1599816150,52268,0.151621,0.000000,0.000000,0.000000,events/second
1599816153,52271,0.151629,0.000000,0.000000,0.000000,events/second
1599816156,52271,0.151627,0.000000,0.000000,0.000000,events/second
1599816159,52271,0.151626,0.000000,0.000000,0.000000,events/second
1599816162,52271,0.151625,0.000000,0.000000,0.000000,events/second
1599816165,52271,0.151624,0.000000,0.000000,0.000000,events/second
1599816168,52271,0.151622,0.000000,0.000000,0.000000,events/second
1599816171,52271,0.151621,0.000000,0.000000,0.000000,events/second
1599816174,52274,0.151628,0.000000,0.000000,0.000000,events/second
1599816177,52274,0.151627,0.000000,0.000000,0.000000,events/second
1599816180,52274,0.151626,0.000000,0.000000,0.000000,events/second
1599816183,52274,0.151624,0.000000,0.000000,0.000000,events/second
1599816186,52274,0.151623,0.000000,0.000000,0.000000,events/second
1599816189,52274,0.151622,0.000000,0.000000,0.000000,events/second
1599816192,52277,0.151629,0.000000,0.000000,0.000000,events/second
1599816195,52277,0.151628,0.000000,0.000000,0.000000,events/second
1599816198,52277,0.151626,0.000000,0.000000,0.000000,events/second
1599816201,52277,0.151625,0.000000,0.000000,0.000000,events/second
1599816204,52277,0.151624,0.000000,0.000000,0.000000,events/second
1599816207,52277,0.151622,0.000000,0.000000,0.000000,events/second
1599816210,52277,0.151621,0.000000,0.000000,0.000000,events/second
1599816213,52280,0.151629,0.000000,0.000000,0.000000,events/second
1599816216,52280,0.151627,0.000000,0.000000,0.000000,events/second
1599816219,52280,0.151626,0.000000,0.000000,0.000000,events/second
1599816222,52280,0.151625,0.000000,0.000000,0.000000,events/second
1599816225,52280,0.151623,0.000000,0.000000,0.000000,events/second
1599816228,52280,0.151622,0.000000,0.000000,0.000000,events/second
1599816231,52280,0.151621,0.000000,0.000000,0.000000,events/second
1599816234,52283,0.151628,0.000000,0.000000,0.000000,events/second
1599816237,52283,0.151627,0.000000,0.000000,0.000000,events/second
1599816240,52283,0.151625,0.000000,0.000000,0.000000,events/second
1599816243,52283,0.151624,0.000000,0.000000,0.000000,events/second
1599816246,52283,0.151623,0.000000,0.000000,0.000000,events/second
1599816249,52283,0.151621,0.000000,0.000000,0.000000,events/second
1599816252,52286,0.151629,0.000000,0.000000,0.000000,events/second
1599816255,52286,0.151627,0.000000,0.000000,0.000000,events/second
1599816258,52286,0.151626,0.000000,0.000000,0.000000,events/second
1599816261,52286,0.151625,0.000000,0.000000,0.000000,events/second
1599816264,52286,0.151624,0.000000,0.000000,0.000000,events/second
