t,value
1598171893,0
1598171896,0
1598171899,0
1598171902,0
1598171905,0
1598171908,0
1598171911,0
1598171914,0
1598171917,0
1598171920,0
1598171923,0
1598171926,0
1598171929,0
1598171932,0
1598171935,0
1598171938,0
1598171941,0
1598171944,0
1598171947,0
1598171950,0
1598171953,0
1598171956,0
1598171959,0
1598171962,0
1598171965,0
1598171968,0
1598171971,0
1598171974,0
1598171977,0
1598171980,0
1598171983,0
1598171986,0
1598171989,0
1598171992,0
1598171995,0
1598171998,0
1598172001,0
1598172004,0
1598172007,0
1598172010,0
1598172013,0
1598172016,0
1598172019,0
1598172022,0
1598172025,0
1598172028,0
1598172031,0
1598172034,0
1598172037,0
1598172040,0
1598172043,0
1598172046,0
1598172049,0
1598172052,0
1598172055,0
1598172058,0
1598172061,0
1598172064,0
1598172067,0
1598172070,0
1598172073,0
1598172076,0
1598172079,0
1598172082,0
1598172085,0
1598172088,0
1598172091,0
1598172094,0
1598172097,0
1598172100,0
1598172103,0
1598172106,0
1598172109,0
1598172112,0
1598172115,0
1598172118,0
1598172121,0
1598172124,0
1598172127,0
1598172130,0
1598172133,0
1598172136,0
1598172139,0
1598172142,0
1598172145,0
1598172148,0
1598172151,0
1598172154,0
1598172157,0
1598172160,1
1598172163,6
1598172166,6
1598172169,6
1598172172,6
1598172175,6
1598172178,6
1598172181,6
1598172184,6
1598172187,6
1598172190,6
1598172193,6
1598172196,6
1598172199,6
1598172202,6
1598172205,6
1598172208,6
1598172211,6
1598172214,6
1598172217,6
1598172220,6
1598172223,6
1598172226,6
1598172229,6
1598172232,6
1598172235,6
1598172238,6
1598172241,6
1598172244,6
1598172247,6
1598172250,6
1598172253,6
1598172256,6
1598172259,6
1598172262,6
1598172265,6
1598172268,6
1598172271,6
1598172274,6
1598172277,6
1598172280,6
1598172283,6
1598172286,6
1598172289,6
1598172292,6
1598172295,6
1598172298,6
1598172301,6
1598172304,6
1598172307,6
1598172310,6
1598172313,6
1598172316,6
1598172319,6
1598172322,6
1598172325,6
1598172328,6
1598172331,6
1598172334,6
1598172337,6
1598172340,6
1598172343,6
1598172346,6
1598172349,6
1598172352,6
1598172355,6
1598172358,6
1598172361,6
1598172364,6
1598172367,6
1598172370,6
1598172373,6
1598172376,6
1598172379,6
1598172382,6
1598172385,6
1598172388,6
1598172391,6
1598172394,6
1598172397,6
1598172400,6
1598172403,6
1598172406,6
1598172409,6
1598172412,6
1598172415,6
1598172418,6
1598172421,6
1598172424,6
1598172427,6
1598172430,6
1598172433,6
1598172436,6
1598172439,6
1598172442,6
1598172445,6
1598172448,6
1598172451,6
1598172454,6
1598172457,6
1598172460,6
1598172463,6
1598172466,6
1598172469,6
1598172472,6
1598172475,6
1598172478,6
1598172481,6
1598172484,6
1598172487,6
t,value
1598172513,0
1598172516,1
1598172519,6
1598172522,6
1598172525,6
1598172528,6
1598172531,6
1598172534,6
1598172537,6
1598172540,6
1598172543,6
1598172546,6
1598172549,6
