t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599815985,52246,0.151630,0.000000,0.000000,0.000000,events/second
1599815988,52246,0.151629,0.000000,0.000000,0.000000,events/second
1599815991,52246,0.151628,0.000000,0.000000,0.000000,events/second
1599815994,52249,0.151635,0.000000,0.000000,0.000000,events/second
1599815997,52249,0.151634,0.000000,0.000000,0.000000,events/second
1599816000,52249,0.151632,0.000000,0.000000,0.000000,events/second
1599816003,52249,0.151631,0.000000,0.000000,0.000000,events/second
1599816006,52249,0.151630,0.000000,0.000000,0.000000,events/second
1599816009,52249,0.151628,0.000000,0.000000,0.000000,events/second
1599816012,52252,0.151636,0.000000,0.000000,0.000000,events/second
1599816015,52252,0.151634,0.000000,0.000000,0.000000,events/second
1599816018,52252,0.151633,0.000000,0.000000,0.000000,events/second
1599816021,52252,0.151632,0.000000,0.000000,0.000000,events/second
1599816024,52252,0.151630,0.000000,0.000000,0.000000,events/second
1599816027,52252,0.151629,0.000000,0.000000,0.000000,events/second
1599816030,52252,0.151628,0.000000,0.000000,0.000000,events/second
1599816033,52255,0.151635,0.000000,0.000000,0.000000,events/second
1599816036,52255,0.151634,0.000000,0.000000,0.000000,events/second
1599816039,52255,0.151633,0.000000,0.000000,0.000000,events/second
1599816042,52255,0.151631,0.000000,0.000000,0.000000,events/second
1599816045,52255,0.151630,0.000000,0.000000,0.000000,events/second
1599816048,52255,0.151629,0.000000,0.000000,0.000000,events/second
1599816051,52255,0.151627,0.000000,0.000000,0.000000,events/second
1599816054,52258,0.151635,0.000000,0.000000,0.000000,events/second
1599816057,52258,0.151633,0.000000,0.000000,0.000000,events/second
1599816060,52258,0.151632,0.000000,0.000000,0.000000,events/second
1599816063,52258,0.151631,0.000000,0.000000,0.000000,events/second
1599816066,52258,0.151629,0.000000,0.000000,0.000000,events/second
1599816069,52258,0.151628,0.000000,0.000000,0.000000,events/second
1599816072,52261,0.151635,0.000000,0.000000,0.000000,events/second
1599816075,52261,0.151634,0.000000,0.000000,0.000000,events/second
1599816078,52261,0.151633,0.000000,0.000000,0.000000,events/second
1599816081,52261,0.151631,0.000000,0.000000,0.000000,events/second
1599816084,52261,0.151630,0.000000,0.000000,0.000000,events/second
1599816087,52261,0.151629,0.000000,0.000000,0.000000,events/second
1599816090,52261,0.151628,0.000000,0.000000,0.000000,events/second
1599816093,52264,0.151635,0.000000,0.000000,0.000000,events/second
1599816096,52264,0.151634,0.000000,0.000000,0.000000,events/second
1599816099,52264,0.151632,0.000000,0.000000,0.000000,events/second
1599816102,52264,0.151631,0.000000,0.000000,0.000000,events/second
