t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1623807483,186753,0.585385,0.000000,0.000000,0.000000,events/second
1623807486,186753,0.585379,0.000000,0.000000,0.000000,events/second
1623807489,186753,0.585374,0.000000,0.000000,0.000000,events/second
1623807492,186753,0.585368,0.000000,0.000000,0.000000,events/second
1623807495,186753,0.585363,0.000000,0.000000,0.000000,events/second
1623807498,186753,0.585357,0.000000,0.000000,0.000000,events/second
1623807501,186753,0.585352,0.000000,0.000000,0.000000,events/second
1623807504,186753,0.585346,0.000000,0.000000,0.000000,events/second
1623807507,186753,0.585341,0.000000,0.000000,0.000000,events/second
1623807510,186753,0.585335,0.000000,0.000000,0.000000,events/second
1623807513,186753,0.585330,0.000000,0.000000,0.000000,events/second
1623807516,186753,0.585324,0.000000,0.000000,0.000000,events/second
1623807519,186753,0.585319,0.000000,0.000000,0.000000,events/second
1623807522,186753,0.585313,0.000000,0.000000,0.000000,events/second
1623807525,186753,0.585308,0.000000,0.000000,0.000000,events/second
1623807528,186753,0.585302,0.000000,0.000000,0.000000,events/second
1623807531,186753,0.585297,0.000000,0.000000,0.000000,events/second
1623807534,186753,0.585291,0.000000,0.000000,0.000000,events/second
1623807537,186753,0.585286,0.000000,0.000000,0.000000,events/second
1623807540,186753,0.585280,0.000000,0.000000,0.000000,events/second
1623807543,186753,0.585275,0.000000,0.000000,0.000000,events/second
1623807546,186753,0.585269,0.000000,0.000000,0.000000,events/second
1623807549,186753,0.585264,0.000000,0.000000,0.000000,events/second
1623807552,186753,0.585258,0.000000,0.000000,0.000000,events/second
1623807555,186753,0.585253,0.000000,0.000000,0.000000,events/second
1623807558,186753,0.585247,0.000000,0.000000,0.000000,events/second
1623807561,186753,0.585242,0.000000,0.000000,0.000000,events/second
1623807564,186753,0.585236,0.000000,0.000000,0.000000,events/second
1623807567,186753,0.585231,0.000000,0.000000,0.000000,events/second
1623807570,186753,0.585225,0.000000,0.000000,0.000000,events/second
1623807573,186753,0.585220,0.000000,0.000000,0.000000,events/second
1623807576,186753,0.585214,0.000000,0.000000,0.000000,events/second
1623807579,186753,0.585209,0.000000,0.000000,0.000000,events/second
1623807582,186753,0.585203,0.000000,0.000000,0.000000,events/second
1623807585,186753,0.585198,0.000000,0.000000,0.000000,events/second
1623807588,186753,0.585192,0.000000,0.000000,0.000000,events/second
1623807591,186753,0.585187,0.000000,0.000000,0.000000,events/second
1623807594,186753,0.585181,0.000000,0.000000,0.000000,events/second
1623807597,186753,0.585176,0.000000,0.000000,0.000000,events/second
1623807600,186753,0.585170,0.000000,0.000000,0.000000,events/second
1623807603,186753,0.585165,0.000000,0.000000,0.000000,events/second
1623807606,186753,0.585159,0.000000,0.000000,0.000000,events/second
1623807609,186753,0.585154,0.000000,0.000000,0.000000,events/second
1623807612,186753,0.585148,0.000000,0.000000,0.000000,events/second
