t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1623806541,214702,0.674985,0.000000,0.000000,0.000000,events/second
1623806544,214702,0.674979,0.000000,0.000000,0.000000,events/second
1623806547,214702,0.674973,0.000000,0.000000,0.000000,events/second
1623806550,214702,0.674966,0.000000,0.000000,0.000000,events/second
1623806553,214702,0.674960,0.000000,0.000000,0.000000,events/second
1623806556,214702,0.674953,0.000000,0.000000,0.000000,events/second
1623806559,214702,0.674947,0.000000,0.000000,0.000000,events/second
1623806562,214702,0.674941,0.000000,0.000000,0.000000,events/second
1623806565,214702,0.674934,0.000000,0.000000,0.000000,events/second
1623806568,214702,0.674928,0.000000,0.000000,0.000000,events/second
1623806571,214702,0.674922,0.000000,0.000000,0.000000,events/second
1623806574,214702,0.674915,0.000000,0.000000,0.000000,events/second
1623806577,214702,0.674909,0.000000,0.000000,0.000000,events/second
1623806580,214702,0.674903,0.000000,0.000000,0.000000,events/second
1623806583,214702,0.674896,0.000000,0.000000,0.000000,events/second
1623806586,214702,0.674890,0.000000,0.000000,0.000000,events/second
1623806589,214702,0.674883,0.000000,0.000000,0.000000,events/second
1623806592,214702,0.674877,0.000000,0.000000,0.000000,events/second
1623806595,214702,0.674871,0.000000,0.000000,0.000000,events/second
1623806598,214702,0.674864,0.000000,0.000000,0.000000,events/second
1623806601,214702,0.674858,0.000000,0.000000,0.000000,events/second
1623806604,214702,0.674852,0.000000,0.000000,0.000000,events/second
1623806607,214702,0.674845,0.000000,0.000000,0.000000,events/second
1623806610,214702,0.674839,0.000000,0.000000,0.000000,events/second
1623806613,214702,0.674833,0.000000,0.000000,0.000000,events/second
1623806616,214702,0.674826,0.000000,0.000000,0.000000,events/second
1623806619,214702,0.674820,0.000000,0.000000,0.000000,events/second
1623806622,214702,0.674813,0.000000,0.000000,0.000000,events/second
1623806625,214702,0.674807,0.000000,0.000000,0.000000,events/second
1623806628,214702,0.674801,0.000000,0.000000,0.000000,events/second
1623806631,214702,0.674794,0.000000,0.000000,0.000000,events/second
1623806634,214702,0.674788,0.000000,0.000000,0.000000,events/second
1623806637,214702,0.674782,0.000000,0.000000,0.000000,events/second
1623806640,214702,0.674775,0.000000,0.000000,0.000000,events/second
1623806643,214702,0.674769,0.000000,0.000000,0.000000,events/second
1623806646,214702,0.674763,0.000000,0.000000,0.000000,events/second
1623806649,214702,0.674756,0.000000,0.000000,0.000000,events/second
1623806652,214702,0.674750,0.000000,0.000000,0.000000,events/second
1623806655,214702,0.674743,0.000000,0.000000,0.000000,events/second
1623806658,214702,0.674737,0.000000,0.000000,0.000000,events/second
1623806661,214702,0.674731,0.000000,0.000000,0.000000,events/second
1623806664,214702,0.674724,0.000000,0.000000,0.000000,events/second
1623806667,214702,0.674718,0.000000,0.000000,0.000000,events/second
1623806670,214702,0.674712,0.000000,0.000000,0.000000,events/second
1623806673,214702,0.674705,0.000000,0.000000,0.000000,events/second
1623806676,214702,0.674699,0.000000,0.000000,0.000000,events/second
1623806679,214702,0.674693,0.000000,0.000000,0.000000,events/second
1623806682,214702,0.674686,0.000000,0.000000,0.000000,events/second
1623806685,214702,0.674680,0.000000,0.000000,0.000000,events/second
1623806688,214702,0.674673,0.000000,0.000000,0.000000,events/second
1623806691,214702,0.674667,0.000000,0.000000,0.000000,events/second
1623806694,214702,0.674661,0.000000,0.000000,0.000000,events/second
1623806697,214702,0.674654,0.000000,0.000000,0.000000,events/second
1623806700,214702,0.674648,0.000000,0.000000,0.000000,events/second
1623806703,214702,0.674642,0.000000,0.000000,0.000000,events/second
1623806706,214702,0.674635,0.000000,0.000000,0.000000,events/second
1623806709,214702,0.674629,0.000000,0.000000,0.000000,events/second
1623806712,214702,0.674623,0.000000,0.000000,0.000000,events/second
1623806715,214702,0.674616,0.000000,0.000000,0.000000,events/second
1623806718,214702,0.674610,0.000000,0.000000,0.000000,events/second
1623806721,214702,0.674604,0.000000,0.000000,0.000000,events/second
1623806724,214702,0.674597,0.000000,0.000000,0.000000,events/second
1623806727,214702,0.674591,0.000000,0.000000,0.000000,events/second
1623806730,214702,0.674584,0.000000,0.000000,0.000000,events/second
1623806733,214702,0.674578,0.000000,0.000000,0.000000,events/second
1623806736,214702,0.674572,0.000000,0.000000,0.000000,events/second
1623806739,214702,0.674565,0.000000,0.000000,0.000000,events/second
1623806742,214702,0.674559,0.000000,0.000000,0.000000,events/second
1623806745,214702,0.674553,0.000000,0.000000,0.000000,events/second
1623806748,214702,0.674546,0.000000,0.000000,0.000000,events/second
1623806751,214702,0.674540,0.000000,0.000000,0.000000,events/second
1623806754,214702,0.674534,0.000000,0.000000,0.000000,events/second
1623806757,214702,0.674527,0.000000,0.000000,0.000000,events/second
1623806760,214702,0.674521,0.000000,0.000000,0.000000,events/second
1623806763,214702,0.674514,0.000000,0.000000,0.000000,events/second
1623806766,214702,0.674508,0.000000,0.000000,0.000000,events/second
1623806769,214702,0.674502,0.000000,0.000000,0.000000,events/second
1623806772,214702,0.674495,0.000000,0.000000,0.000000,events/second
1623806775,214702,0.674489,0.000000,0.000000,0.000000,events/second
1623806778,214702,0.674483,0.000000,0.000000,0.000000,events/second
1623806781,214702,0.674476,0.000000,0.000000,0.000000,events/second
1623806784,214702,0.674470,0.000000,0.000000,0.000000,events/second
1623806787,214702,0.674464,0.000000,0.000000,0.000000,events/second
1623806790,214702,0.674457,0.000000,0.000000,0.000000,events/second
1623806793,214702,0.674451,0.000000,0.000000,0.000000,events/second
1623806796,214702,0.674445,0.000000,0.000000,0.000000,events/second
1623806799,214702,0.674438,0.000000,0.000000,0.000000,events/second
1623806802,214702,0.674432,0.000000,0.000000,0.000000,events/second
1623806805,214702,0.674425,0.000000,0.000000,0.000000,events/second
1623806808,214702,0.674419,0.000000,0.000000,0.000000,events/second
1623806811,214702,0.674413,0.000000,0.000000,0.000000,events/second
1623806814,214702,0.674406,0.000000,0.000000,0.000000,events/second
1623806817,214702,0.674400,0.000000,0.000000,0.000000,events/second
1623806820,214702,0.674394,0.000000,0.000000,0.000000,events/second
1623806823,214702,0.674387,0.000000,0.000000,0.000000,events/second
1623806826,214702,0.674381,0.000000,0.000000,0.000000,events/second
1623806829,214702,0.674375,0.000000,0.000000,0.000000,events/second
1623806832,214702,0.674368,0.000000,0.000000,0.000000,events/second
1623806835,214702,0.674362,0.000000,0.000000,0.000000,events/second
1623806838,214702,0.674356,0.000000,0.000000,0.000000,events/second
1623806841,214702,0.674349,0.000000,0.000000,0.000000,events/second
1623806844,214702,0.674343,0.000000,0.000000,0.000000,events/second
1623806847,214702,0.674337,0.000000,0.000000,0.000000,events/second
1623806850,214702,0.674330,0.000000,0.000000,0.000000,events/second
1623806853,214702,0.674324,0.000000,0.000000,0.000000,events/second
1623806856,214702,0.674317,0.000000,0.000000,0.000000,events/second
1623806859,214702,0.674311,0.000000,0.000000,0.000000,events/second
1623806862,214702,0.674305,0.000000,0.000000,0.000000,events/second
1623806865,214702,0.674298,0.000000,0.000000,0.000000,events/second
1623806868,214702,0.674292,0.000000,0.000000,0.000000,events/second
1623806871,214702,0.674286,0.000000,0.000000,0.000000,events/second
1623806874,214702,0.674279,0.000000,0.000000,0.000000,events/second
1623806877,214702,0.674273,0.000000,0.000000,0.000000,events/second
1623806880,214702,0.674267,0.000000,0.000000,0.000000,events/second
1623806883,214702,0.674260,0.000000,0.000000,0.000000,events/second
1623806886,214702,0.674254,0.000000,0.000000,0.000000,events/second
1623806889,214702,0.674248,0.000000,0.000000,0.000000,events/second
1623806892,214702,0.674241,0.000000,0.000000,0.000000,events/second
1623806895,214702,0.674235,0.000000,0.000000,0.000000,events/second
1623806898,214702,0.674229,0.000000,0.000000,0.000000,events/second
1623806901,214702,0.674222,0.000000,0.000000,0.000000,events/second
1623806904,214702,0.674216,0.000000,0.000000,0.000000,events/second
1623806907,214702,0.674209,0.000000,0.000000,0.000000,events/second
1623806910,214702,0.674203,0.000000,0.000000,0.000000,events/second
1623806913,214702,0.674197,0.000000,0.000000,0.000000,events/second
1623806916,214702,0.674190,0.000000,0.000000,0.000000,events/second
1623806919,214702,0.674184,0.000000,0.000000,0.000000,events/second
1623806922,214702,0.674178,0.000000,0.000000,0.000000,events/second
1623806925,214702,0.674171,0.000000,0.000000,0.000000,events/second
1623806928,214702,0.674165,0.000000,0.000000,0.000000,events/second
1623806931,214702,0.674159,0.000000,0.000000,0.000000,events/second
1623806934,214702,0.674152,0.000000,0.000000,0.000000,events/second
1623806937,214702,0.674146,0.000000,0.000000,0.000000,events/second
1623806940,214702,0.674140,0.000000,0.000000,0.000000,events/second
1623806943,214702,0.674133,0.000000,0.000000,0.000000,events/second
1623806946,214702,0.674127,0.000000,0.000000,0.000000,events/second
1623806949,214702,0.674121,0.000000,0.000000,0.000000,events/second
1623806952,214702,0.674114,0.000000,0.000000,0.000000,events/second
1623806955,214702,0.674108,0.000000,0.000000,0.000000,events/second
1623806958,214702,0.674102,0.000000,0.000000,0.000000,events/second
1623806961,214702,0.674095,0.000000,0.000000,0.000000,events/second
1623806964,214702,0.674089,0.000000,0.000000,0.000000,events/second
1623806967,214702,0.674082,0.000000,0.000000,0.000000,events/second
1623806970,214702,0.674076,0.000000,0.000000,0.000000,events/second
1623806973,214702,0.674070,0.000000,0.000000,0.000000,events/second
1623806976,214702,0.674063,0.000000,0.000000,0.000000,events/second
1623806979,214702,0.674057,0.000000,0.000000,0.000000,events/second
1623806982,214702,0.674051,0.000000,0.000000,0.000000,events/second
1623806985,214702,0.674044,0.000000,0.000000,0.000000,events/second
1623806988,214702,0.674038,0.000000,0.000000,0.000000,events/second
1623806991,214702,0.674032,0.000000,0.000000,0.000000,events/second
1623806994,214702,0.674025,0.000000,0.000000,0.000000,events/second
1623806997,214702,0.674019,0.000000,0.000000,0.000000,events/second
1623807000,214702,0.674013,0.000000,0.000000,0.000000,events/second
1623807003,214702,0.674006,0.000000,0.000000,0.000000,events/second
1623807006,214702,0.674000,0.000000,0.000000,0.000000,events/second
1623807009,214702,0.673994,0.000000,0.000000,0.000000,events/second
1623807012,214702,0.673987,0.000000,0.000000,0.000000,events/second
1623807015,214702,0.673981,0.000000,0.000000,0.000000,events/second
1623807018,214702,0.673975,0.000000,0.000000,0.000000,events/second
1623807021,214702,0.673968,0.000000,0.000000,0.000000,events/second
1623807024,214702,0.673962,0.000000,0.000000,0.000000,events/second
1623807027,214702,0.673956,0.000000,0.000000,0.000000,events/second
1623807030,214702,0.673949,0.000000,0.000000,0.000000,events/second
1623807033,214702,0.673943,0.000000,0.000000,0.000000,events/second
1623807036,214702,0.673936,0.000000,0.000000,0.000000,events/second
1623807039,214702,0.673930,0.000000,0.000000,0.000000,events/second
1623807042,214702,0.673924,0.000000,0.000000,0.000000,events/second
1623807045,214702,0.673917,0.000000,0.000000,0.000000,events/second
1623807048,214702,0.673911,0.000000,0.000000,0.000000,events/second
1623807051,214702,0.673905,0.000000,0.000000,0.000000,events/second
1623807054,214702,0.673898,0.000000,0.000000,0.000000,events/second
1623807057,214702,0.673892,0.000000,0.000000,0.000000,events/second
1623807060,214702,0.673886,0.000000,0.000000,0.000000,events/second
1623807063,214702,0.673879,0.000000,0.000000,0.000000,events/second
1623807066,214702,0.673873,0.000000,0.000000,0.000000,events/second
1623807069,214702,0.673867,0.000000,0.000000,0.000000,events/second
1623807072,214702,0.673860,0.000000,0.000000,0.000000,events/second
1623807075,214702,0.673854,0.000000,0.000000,0.000000,events/second
1623807078,214702,0.673848,0.000000,0.000000,0.000000,events/second
1623807081,214702,0.673841,0.000000,0.000000,0.000000,events/second
1623807084,214702,0.673835,0.000000,0.000000,0.000000,events/second
1623807087,214702,0.673829,0.000000,0.000000,0.000000,events/second
1623807090,214702,0.673822,0.000000,0.000000,0.000000,events/second
1623807093,214702,0.673816,0.000000,0.000000,0.000000,events/second
1623807096,214702,0.673810,0.000000,0.000000,0.000000,events/second
1623807099,214702,0.673803,0.000000,0.000000,0.000000,events/second
1623807102,214702,0.673797,0.000000,0.000000,0.000000,events/second
1623807105,214702,0.673791,0.000000,0.000000,0.000000,events/second
1623807108,214702,0.673784,0.000000,0.000000,0.000000,events/second
1623807111,214702,0.673778,0.000000,0.000000,0.000000,events/second
1623807114,214702,0.673772,0.000000,0.000000,0.000000,events/second
1623807117,214702,0.673765,0.000000,0.000000,0.000000,events/second
1623807120,214702,0.673759,0.000000,0.000000,0.000000,events/second
1623807123,214702,0.673752,0.000000,0.000000,0.000000,events/second
1623807126,214702,0.673746,0.000000,0.000000,0.000000,events/second
1623807129,214702,0.673740,0.000000,0.000000,0.000000,events/second
1623807132,214702,0.673733,0.000000,0.000000,0.000000,events/second
1623807135,214702,0.673727,0.000000,0.000000,0.000000,events/second
1623807138,214702,0.673721,0.000000,0.000000,0.000000,events/second
1623807141,214702,0.673714,0.000000,0.000000,0.000000,events/second
1623807144,214702,0.673708,0.000000,0.000000,0.000000,events/second
1623807147,214702,0.673702,0.000000,0.000000,0.000000,events/second
1623807150,214702,0.673695,0.000000,0.000000,0.000000,events/second
1623807153,214702,0.673689,0.000000,0.000000,0.000000,events/second
1623807156,214702,0.673683,0.000000,0.000000,0.000000,events/second
1623807159,214702,0.673676,0.000000,0.000000,0.000000,events/second
1623807162,214702,0.673670,0.000000,0.000000,0.000000,events/second
1623807165,214702,0.673664,0.000000,0.000000,0.000000,events/second
1623807168,214702,0.673657,0.000000,0.000000,0.000000,events/second
1623807171,214702,0.673651,0.000000,0.000000,0.000000,events/second
1623807174,214702,0.673645,0.000000,0.000000,0.000000,events/second
1623807177,214702,0.673638,0.000000,0.000000,0.000000,events/second
1623807180,214702,0.673632,0.000000,0.000000,0.000000,events/second
1623807183,214702,0.673626,0.000000,0.000000,0.000000,events/second
1623807186,214702,0.673619,0.000000,0.000000,0.000000,events/second
1623807189,214702,0.673613,0.000000,0.000000,0.000000,events/second
1623807192,214702,0.673607,0.000000,0.000000,0.000000,events/second
1623807195,214702,0.673600,0.000000,0.000000,0.000000,events/second
1623807198,214702,0.673594,0.000000,0.000000,0.000000,events/second
1623807201,214702,0.673588,0.000000,0.000000,0.000000,events/second
1623807204,214702,0.673581,0.000000,0.000000,0.000000,events/second
1623807207,214702,0.673575,0.000000,0.000000,0.000000,events/second
1623807210,214702,0.673569,0.000000,0.000000,0.000000,events/second
1623807213,214702,0.673562,0.000000,0.000000,0.000000,events/second
1623807216,214702,0.673556,0.000000,0.000000,0.000000,events/second
1623807219,214702,0.673550,0.000000,0.000000,0.000000,events/second
1623807222,214702,0.673543,0.000000,0.000000,0.000000,events/second
1623807225,214702,0.673537,0.000000,0.000000,0.000000,events/second
1623807228,214702,0.673530,0.000000,0.000000,0.000000,events/second
1623807231,214702,0.673524,0.000000,0.000000,0.000000,events/second
1623807234,214702,0.673518,0.000000,0.000000,0.000000,events/second
1623807237,214702,0.673512,0.000000,0.000000,0.000000,events/second
1623807240,214702,0.673505,0.000000,0.000000,0.000000,events/second
1623807243,214702,0.673499,0.000000,0.000000,0.000000,events/second
1623807246,214702,0.673492,0.000000,0.000000,0.000000,events/second
1623807249,214702,0.673486,0.000000,0.000000,0.000000,events/second
1623807252,214702,0.673480,0.000000,0.000000,0.000000,events/second
1623807255,214702,0.673474,0.000000,0.000000,0.000000,events/second
1623807258,214702,0.673467,0.000000,0.000000,0.000000,events/second
1623807261,214702,0.673461,0.000000,0.000000,0.000000,events/second
1623807264,214702,0.673454,0.000000,0.000000,0.000000,events/second
1623807267,214702,0.673448,0.000000,0.000000,0.000000,events/second
1623807270,214702,0.673442,0.000000,0.000000,0.000000,events/second
1623807273,214702,0.673435,0.000000,0.000000,0.000000,events/second
1623807276,214702,0.673429,0.000000,0.000000,0.000000,events/second
1623807279,214702,0.673423,0.000000,0.000000,0.000000,events/second
1623807282,214702,0.673416,0.000000,0.000000,0.000000,events/second
1623807285,214702,0.673410,0.000000,0.000000,0.000000,events/second
1623807288,214702,0.673404,0.000000,0.000000,0.000000,events/second
1623807291,214702,0.673397,0.000000,0.000000,0.000000,events/second
1623807294,214702,0.673391,0.000000,0.000000,0.000000,events/second
1623807297,214702,0.673385,0.000000,0.000000,0.000000,events/second
1623807300,214702,0.673378,0.000000,0.000000,0.000000,events/second
1623807303,214702,0.673372,0.000000,0.000000,0.000000,events/second
1623807306,214702,0.673366,0.000000,0.000000,0.000000,events/second
1623807309,214702,0.673359,0.000000,0.000000,0.000000,events/second
1623807312,214702,0.673353,0.000000,0.000000,0.000000,events/second
1623807315,214702,0.673347,0.000000,0.000000,0.000000,events/second
