t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1623840679,28006,0.079530,0.000000,0.000000,0.000000,events/second
1623840682,28006,0.079529,0.000000,0.000000,0.000000,events/second
1623840685,28006,0.079528,0.000000,0.000000,0.000000,events/second
1623840688,28006,0.079527,0.000000,0.000000,0.000000,events/second
1623840691,28006,0.079527,0.000000,0.000000,0.000000,events/second
1623840694,28006,0.079526,0.000000,0.000000,0.000000,events/second
1623840697,28006,0.079525,0.000000,0.000000,0.000000,events/second
1623840700,28006,0.079525,0.000000,0.000000,0.000000,events/second
1623840703,28006,0.079524,0.000000,0.000000,0.000000,events/second
1623840706,28006,0.079523,0.000000,0.000000,0.000000,events/second
1623840709,28006,0.079523,0.000000,0.000000,0.000000,events/second
1623840712,28006,0.079522,0.000000,0.000000,0.000000,events/second
1623840715,28006,0.079521,0.000000,0.000000,0.000000,events/second
1623840718,28006,0.079521,0.000000,0.000000,0.000000,events/second
1623840721,28006,0.079520,0.000000,0.000000,0.000000,events/second
1623840724,28006,0.079519,0.000000,0.000000,0.000000,events/second
1623840727,28006,0.079519,0.000000,0.000000,0.000000,events/second
1623840730,28006,0.079518,0.000000,0.000000,0.000000,events/second
1623840733,28006,0.079517,0.000000,0.000000,0.000000,events/second
1623840736,28006,0.079517,0.000000,0.000000,0.000000,events/second
1623840739,28006,0.079516,0.000000,0.000000,0.000000,events/second
1623840742,28006,0.079515,0.000000,0.000000,0.000000,events/second
1623840745,28006,0.079515,0.000000,0.000000,0.000000,events/second
1623840748,28006,0.079514,0.000000,0.000000,0.000000,events/second
1623840751,28006,0.079513,0.000000,0.000000,0.000000,events/second
1623840754,28006,0.079513,0.000000,0.000000,0.000000,events/second
1623840757,28006,0.079512,0.000000,0.000000,0.000000,events/second
1623840760,28006,0.079511,0.000000,0.000000,0.000000,events/second
1623840763,28006,0.079511,0.000000,0.000000,0.000000,events/second
1623840766,28006,0.079510,0.000000,0.000000,0.000000,events/second
1623840769,28006,0.079509,0.000000,0.000000,0.000000,events/second
1623840772,28006,0.079509,0.000000,0.000000,0.000000,events/second
1623840775,28006,0.079508,0.000000,0.000000,0.000000,events/second
1623840778,28006,0.079507,0.000000,0.000000,0.000000,events/second
1623840781,28006,0.079506,0.000000,0.000000,0.000000,events/second
