t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1624291596,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291599,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291602,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291605,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291608,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291611,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291614,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291617,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291620,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291623,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291626,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291629,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291632,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291635,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291638,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291641,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291644,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291647,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291650,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291653,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291656,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291659,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291662,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291665,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291668,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291671,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291674,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291677,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291680,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291683,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291686,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291689,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291692,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291695,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291698,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291701,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291704,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291707,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291710,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291713,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291716,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291719,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291722,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291725,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291728,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291731,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291734,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291737,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291740,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291743,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291746,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291749,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291752,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291755,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291758,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291761,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291764,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291767,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291770,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291773,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291776,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291779,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291782,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291785,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291788,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291791,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291794,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291797,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291800,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291803,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291806,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291809,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291812,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291815,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291818,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291821,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291853,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291856,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291859,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291862,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291865,2,0.000004,0.000000,0.000000,0.000000,events/second
1624291868,2,0.000004,0.000000,0.000000,0.000000,events/second
1624298996,2,0.000004,0.000000,0.000000,0.000000,events/second
1624298999,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299044,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299057,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299057,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299057,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299057,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299057,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299057,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299057,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299057,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299057,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299057,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299057,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299057,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299057,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299058,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299058,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299058,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299058,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299058,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299059,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299062,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299065,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299068,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299080,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299080,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299080,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299080,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299083,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299086,2,0.000004,0.000000,0.000000,0.000000,events/second
1624299089,2,0.000004,0.000000,0.000000,0.000000,events/second
1624320901,2,0.000004,0.000000,0.000000,0.000000,events/second
1624320903,2,0.000004,0.000000,0.000000,0.000000,events/second
1624320906,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335054,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335057,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335060,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335063,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335109,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335111,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335111,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335111,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335111,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335111,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335111,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335111,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335111,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335111,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335111,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335111,2,0.000004,0.000000,0.000000,0.000000,events/second
1624335111,2,0.000004,0.000000,0.000000,0.000000,events/second
