t,value
1598171893,3145728
1598171896,3145728
1598171899,3145728
1598171902,3145728
1598171905,3145728
1598171908,3145728
1598171911,3145728
1598171914,3145728
1598171917,3145728
1598171920,3145728
1598171923,3145728
1598171926,3145728
1598171929,3145728
1598171932,3145728
1598171935,3145728
1598171938,3145728
1598171941,3145728
1598171944,3145728
1598171947,3145728
1598171950,3145728
1598171953,3145728
1598171956,3145728
1598171959,3145728
1598171962,3145728
1598171965,3145728
1598171968,3145728
1598171971,3145728
1598171974,3145728
1598171977,3145728
1598171980,3145728
1598171983,3145728
1598171986,3145728
1598171989,3145728
1598171992,3145728
1598171995,3145728
1598171998,3145728
1598172001,3145728
1598172004,3145728
1598172007,3145728
1598172010,3145728
1598172013,3145728
1598172016,3145728
1598172019,3145728
1598172022,3145728
1598172025,3145728
1598172028,3145728
1598172031,3145728
1598172034,3145728
1598172037,3145728
1598172040,3145728
1598172043,3145728
1598172046,3145728
1598172049,3145728
1598172052,3145728
1598172055,3145728
1598172058,3145728
1598172061,3145728
1598172064,3145728
1598172067,3145728
1598172070,3145728
1598172073,3145728
1598172076,3145728
1598172079,3145728
1598172082,3145728
1598172085,3145728
1598172088,3145728
1598172091,3145728
1598172094,3145728
1598172097,3145728
1598172100,3145728
1598172103,3145728
1598172106,3145728
1598172109,3145728
1598172112,3145728
1598172115,3145728
1598172118,3145728
1598172121,3145728
1598172124,3145728
1598172127,3145728
1598172130,3145728
1598172133,3145728
1598172136,3145728
1598172139,3145728
1598172142,3145728
1598172145,3145728
1598172148,3145728
1598172151,3145728
1598172154,3145728
1598172157,3145728
1598172160,3145728
1598172163,3145728
1598172166,3145728
1598172169,3145728
1598172172,3145728
1598172175,3145728
1598172178,3145728
1598172181,3145728
1598172184,3145728
1598172187,3145728
1598172190,3145728
1598172193,3145728
1598172196,3145728
1598172199,3145728
1598172202,3145728
1598172205,3145728
1598172208,3145728
1598172211,3145728
1598172214,3145728
1598172217,3145728
1598172220,3145728
1598172223,3145728
1598172226,3145728
1598172229,3145728
1598172232,3145728
1598172235,3145728
1598172238,3145728
1598172241,3145728
1598172244,3145728
1598172247,3145728
1598172250,3145728
1598172253,3145728
1598172256,3145728
1598172259,3145728
1598172262,3145728
1598172265,3145728
1598172268,3145728
1598172271,3145728
1598172274,3145728
1598172277,3145728
1598172280,3145728
1598172283,3145728
1598172286,3145728
1598172289,3145728
1598172292,3145728
1598172295,3145728
1598172298,3145728
1598172301,3145728
1598172304,3145728
1598172307,3145728
1598172310,3145728
1598172313,3145728
1598172316,3145728
1598172319,3145728
1598172322,3145728
1598172325,3145728
1598172328,3145728
1598172331,3145728
1598172334,3145728
1598172337,3145728
1598172340,3145728
1598172343,3145728
1598172346,3145728
1598172349,3145728
1598172352,3145728
1598172355,3145728
1598172358,3145728
1598172361,3145728
1598172364,3145728
1598172367,3145728
1598172370,3145728
1598172373,3145728
1598172376,3145728
1598172379,3145728
1598172382,3145728
1598172385,3145728
1598172388,3145728
1598172391,3145728
1598172394,3145728
1598172397,3145728
1598172400,3145728
1598172403,3145728
1598172406,3145728
1598172409,3145728
1598172412,3145728
1598172415,3145728
1598172418,3145728
1598172421,3145728
1598172424,3145728
1598172427,3145728
1598172430,3145728
1598172433,3145728
1598172436,3145728
1598172439,3145728
1598172442,3145728
1598172445,3145728
1598172448,3145728
1598172451,3145728
1598172454,3145728
1598172457,3145728
1598172460,3145728
1598172463,3145728
1598172466,3145728
1598172469,3145728
1598172472,3145728
1598172475,3145728
1598172478,3145728
1598172481,3145728
1598172484,3145728
1598172487,3145728
t,value
1598172513,3145728
1598172516,3145728
1598172519,3145728
1598172522,3145728
1598172525,3145728
1598172528,3145728
1598172531,3145728
1598172534,3145728
1598172537,3145728
1598172540,3145728
1598172543,3145728
1598172546,3145728
1598172549,3145728
1598172552,3145728
1598172555,3145728
1598172558,3145728
1598172561,3145728
1598172564,3145728
1598172567,3145728
1598172570,3145728
1598172573,3145728
1598172576,3145728
1598172579,3145728
1598172582,3145728
1598172585,3145728
1598172588,3145728
1598172591,3145728
1598172594,3145728
1598172597,3145728
1598172600,3145728
1598172603,3145728
1598172606,3145728
1598172609,3145728
1598172612,3145728
1598172615,3145728
1598172618,3145728
1598172621,3145728
1598172624,3145728
1598172627,3145728
1598172630,3145728
1598172633,3145728
1598172636,3145728
1598172639,3145728
1598172642,3145728
1598172645,3145728
1598172648,3145728
1598172651,3145728
1598172654,3145728
1598172657,3145728
1598172660,3145728
1598172663,3145728
1598172666,3145728
1598172669,3145728
1598172672,3145728
1598172675,3145728
1598172678,3145728
1598172681,3145728
1598172684,3145728
1598172687,3145728
1598172690,3145728
1598172693,3145728
1598172696,3145728
1598172699,3145728
1598172702,3145728
1598172705,3145728
1598172708,3145728
1598172711,3145728
1598172714,3145728
1598172717,3145728
1598172720,3145728
1598172723,3145728
1598172726,3145728
1598172729,3145728
1598172732,3145728
1598172735,3145728
1598172738,3145728
1598172741,3145728
1598172744,3145728
