t,value
1598171893,4194304
1598171896,4194304
1598171899,4194304
1598171902,4194304
1598171905,4194304
1598171908,4194304
1598171911,4194304
1598171914,4194304
1598171917,4194304
1598171920,4194304
1598171923,4194304
1598171926,4194304
1598171929,4194304
1598171932,4194304
1598171935,4194304
1598171938,4194304
1598171941,4194304
1598171944,4194304
1598171947,4194304
1598171950,4194304
1598171953,4194304
1598171956,4194304
1598171959,4194304
1598171962,4194304
1598171965,4194304
1598171968,4194304
1598171971,4194304
1598171974,4194304
1598171977,4194304
1598171980,4194304
1598171983,4194304
1598171986,4194304
1598171989,4194304
1598171992,4194304
1598171995,4194304
1598171998,4194304
1598172001,4194304
1598172004,4194304
1598172007,4194304
1598172010,4194304
1598172013,4194304
1598172016,4194304
1598172019,4194304
1598172022,4194304
1598172025,4194304
1598172028,4194304
1598172031,4194304
1598172034,4194304
1598172037,4194304
1598172040,4194304
1598172043,4194304
1598172046,4194304
1598172049,4194304
1598172052,4194304
1598172055,4194304
1598172058,4194304
1598172061,4194304
1598172064,4194304
1598172067,4194304
1598172070,4194304
1598172073,4194304
1598172076,4194304
1598172079,4194304
1598172082,4194304
1598172085,4194304
1598172088,4194304
1598172091,4194304
1598172094,4194304
1598172097,4194304
1598172100,4194304
1598172103,4194304
1598172106,4194304
1598172109,4194304
1598172112,4194304
1598172115,4194304
1598172118,4194304
1598172121,4194304
1598172124,4194304
1598172127,4194304
1598172130,4194304
1598172133,4194304
1598172136,4194304
1598172139,4194304
1598172142,4194304
1598172145,4194304
1598172148,4194304
1598172151,4194304
1598172154,4194304
1598172157,4194304
1598172160,4194304
1598172163,4194304
1598172166,4194304
1598172169,4194304
1598172172,4194304
1598172175,4194304
1598172178,4194304
1598172181,4194304
1598172184,4194304
1598172187,4194304
1598172190,4194304
1598172193,4194304
1598172196,4194304
1598172199,4194304
1598172202,4194304
1598172205,4194304
1598172208,4194304
1598172211,4194304
1598172214,4194304
1598172217,4194304
1598172220,4194304
1598172223,4194304
1598172226,4194304
1598172229,4194304
1598172232,4194304
1598172235,4194304
1598172238,4194304
1598172241,4194304
1598172244,4194304
1598172247,4194304
1598172250,4194304
1598172253,4194304
1598172256,4194304
1598172259,4194304
1598172262,4194304
1598172265,4194304
1598172268,4194304
1598172271,4194304
1598172274,4194304
1598172277,4194304
1598172280,4194304
1598172283,4194304
1598172286,4194304
1598172289,4194304
1598172292,4194304
1598172295,4194304
1598172298,4194304
1598172301,4194304
1598172304,4194304
1598172307,4194304
1598172310,4194304
1598172313,4194304
1598172316,4194304
1598172319,4194304
1598172322,4194304
1598172325,4194304
1598172328,4194304
1598172331,4194304
1598172334,4194304
1598172337,4194304
1598172340,4194304
1598172343,4194304
1598172346,4194304
1598172349,4194304
1598172352,4194304
1598172355,4194304
1598172358,4194304
1598172361,4194304
1598172364,4194304
1598172367,4194304
1598172370,4194304
1598172373,4194304
1598172376,4194304
1598172379,4194304
1598172382,4194304
1598172385,4194304
1598172388,4194304
1598172391,4194304
1598172394,4194304
1598172397,4194304
1598172400,4194304
1598172403,4194304
1598172406,4194304
1598172409,4194304
1598172412,4194304
1598172415,4194304
1598172418,4194304
1598172421,4194304
1598172424,4194304
1598172427,4194304
1598172430,4194304
1598172433,4194304
1598172436,4194304
1598172439,4194304
1598172442,4194304
1598172445,4194304
1598172448,4194304
1598172451,4194304
1598172454,4194304
1598172457,4194304
1598172460,4194304
1598172463,4194304
1598172466,4194304
1598172469,4194304
1598172472,4194304
