t,value
1598171893,229520
1598171896,230592
1598171899,230592
1598171902,230592
1598171905,230592
1598171908,230592
1598171911,230592
1598171914,230592
1598171917,230592
1598171920,230592
1598171923,230592
1598171926,230592
1598171929,230592
1598171932,230592
1598171935,230592
1598171938,230592
1598171941,230592
1598171944,230592
1598171947,230592
1598171950,230592
1598171953,230592
1598171956,230592
1598171959,230592
1598171962,230592
1598171965,230592
1598171968,230592
1598171971,230592
1598171974,230592
1598171977,230592
1598171980,230592
1598171983,230592
1598171986,230592
1598171989,230592
1598171992,230592
1598171995,230592
1598171998,230592
1598172001,230592
1598172004,230592
1598172007,230592
1598172010,230592
1598172013,230592
1598172016,230592
1598172019,230592
1598172022,230592
1598172025,230592
1598172028,230592
1598172031,230592
1598172034,230592
1598172037,230592
1598172040,230592
1598172043,230592
1598172046,230592
1598172049,230592
1598172052,230592
1598172055,230592
1598172058,230592
1598172061,230592
1598172064,230592
1598172067,230592
1598172070,230592
1598172073,230592
1598172076,230592
1598172079,230592
1598172082,230592
1598172085,230592
1598172088,230592
1598172091,230592
1598172094,230592
1598172097,230592
1598172100,230592
1598172103,230592
1598172106,230592
1598172109,230592
1598172112,230592
1598172115,230592
1598172118,230592
1598172121,230592
1598172124,230592
1598172127,230592
1598172130,230592
1598172133,230592
1598172136,230592
1598172139,230592
1598172142,230592
1598172145,230592
1598172148,230592
1598172151,230592
1598172154,230592
1598172157,230592
1598172160,231168
1598172163,233512
1598172166,233512
1598172169,233512
1598172172,233512
1598172175,233512
1598172178,233512
1598172181,234944
1598172184,234944
1598172187,234944
1598172190,234944
1598172193,234944
1598172196,234944
1598172199,234944
1598172202,236808
1598172205,236808
1598172208,236808
1598172211,236968
1598172214,237160
1598172217,238768
1598172220,242416
1598172223,242416
1598172226,242416
1598172229,242416
1598172232,242416
1598172235,242416
1598172238,242416
1598172241,244424
1598172244,244720
1598172247,244720
1598172250,244720
1598172253,244720
1598172256,244720
1598172259,244912
1598172262,246344
1598172265,246344
1598172268,246344
1598172271,246344
1598172274,246344
1598172277,246344
1598172280,247776
1598172283,247776
1598172286,247776
1598172289,247776
1598172292,247776
1598172295,247776
1598172298,247776
1598172301,249208
1598172304,249208
1598172307,249208
1598172310,249208
1598172313,249208
1598172316,249208
1598172319,249208
1598172322,250640
1598172325,250640
1598172328,250640
1598172331,250640
1598172334,250640
1598172337,250640
1598172340,252072
1598172343,252072
1598172346,252072
1598172349,252072
1598172352,252272
1598172355,252272
1598172358,252272
1598172361,253704
1598172364,253704
1598172367,253704
1598172370,253704
1598172373,253704
1598172376,253704
1598172379,253704
1598172382,255136
1598172385,255136
1598172388,255136
1598172391,255136
1598172394,255136
1598172397,255136
1598172400,256568
1598172403,256568
1598172406,256568
1598172409,256568
1598172412,256568
1598172415,256568
1598172418,256568
1598172421,259432
1598172424,259432
1598172427,259432
1598172430,259432
1598172433,259432
1598172436,259432
1598172439,259432
1598172442,260864
1598172445,262296
1598172448,262296
1598172451,262296
1598172454,262296
1598172457,262296
1598172460,263728
1598172463,263728
1598172466,263728
1598172469,263728
1598172472,263728
1598172475,263728
1598172478,263728
1598172481,265160
1598172484,265160
1598172487,265160
t,value
1598172513,229520
1598172516,230592
1598172519,233512
1598172522,235728
1598172525,236696
1598172528,236696
1598172531,236696
1598172534,236696
1598172537,236696
1598172540,238128
1598172543,238128
1598172546,238128
1598172549,238128
1598172552,238128
1598172555,238128
1598172558,238128
1598172561,239560
1598172564,239560
1598172567,239560
1598172570,239560
1598172573,239560
1598172576,239560
1598172579,242424
1598172582,242424
1598172585,242616
