t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599841776,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841779,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841782,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841785,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841788,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841791,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841794,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841797,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841800,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841803,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841806,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841809,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841812,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841815,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841818,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841821,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841824,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841827,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841830,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841833,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841836,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841839,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841842,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841845,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841848,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841851,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841854,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841857,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841860,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841863,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841866,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841869,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841872,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841875,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841878,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841881,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841884,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841887,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841890,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841893,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841896,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841899,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841902,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841905,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841908,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841911,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841914,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841917,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841920,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841923,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841926,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841929,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841932,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841935,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841938,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841941,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841944,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841947,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841950,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841953,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841956,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841959,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841962,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841965,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841968,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841971,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841974,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841977,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841980,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841983,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841986,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841989,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841992,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841995,3,0.000008,0.000000,0.000000,0.000000,events/second
1599841998,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842001,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842004,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842007,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842010,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842013,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842016,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842019,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842022,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842025,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842028,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842031,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842034,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842037,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842040,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842043,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842046,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842049,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842052,3,0.000008,0.000000,0.000000,0.000000,events/second
1599842055,3,0.000008,0.000000,0.000000,0.000000,events/second
