t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599827961,791,0.002219,0.000000,0.000000,0.000000,events/second
1599827964,791,0.002218,0.000000,0.000000,0.000000,events/second
1599827967,791,0.002218,0.000000,0.000000,0.000000,events/second
1599827970,791,0.002218,0.000000,0.000000,0.000000,events/second
1599827973,791,0.002218,0.000000,0.000000,0.000000,events/second
1599827976,791,0.002218,0.000000,0.000000,0.000000,events/second
1599827979,791,0.002218,0.000000,0.000000,0.000000,events/second
1599827982,791,0.002218,0.000000,0.000000,0.000000,events/second
1599827985,791,0.002218,0.000000,0.000000,0.000000,events/second
1599827988,791,0.002218,0.000000,0.000000,0.000000,events/second
1599827991,791,0.002218,0.000000,0.000000,0.000000,events/second
1599827994,791,0.002218,0.000000,0.000000,0.000000,events/second
1599827997,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828000,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828003,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828006,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828009,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828012,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828015,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828018,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828021,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828024,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828027,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828030,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828033,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828036,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828039,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828042,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828045,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828048,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828051,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828054,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828057,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828060,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828063,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828066,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828069,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828072,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828075,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828078,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828081,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828084,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828087,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828090,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828093,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828096,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828099,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828102,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828105,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828108,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828111,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828114,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828117,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828120,791,0.002218,0.000000,0.000000,0.000000,events/second
1599828123,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828126,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828129,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828132,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828135,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828138,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828141,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828144,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828147,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828150,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828153,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828156,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828159,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828162,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828165,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828168,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828171,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828174,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828177,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828180,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828183,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828186,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828189,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828192,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828195,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828198,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828201,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828204,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828207,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828210,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828213,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828216,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828219,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828222,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828225,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828228,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828231,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828234,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828237,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828240,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828243,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828246,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828249,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828252,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828255,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828258,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828261,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828264,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828267,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828270,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828273,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828276,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828279,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828282,791,0.002217,0.000000,0.000000,0.000000,events/second
1599828285,791,0.002216,0.000000,0.000000,0.000000,events/second
1599828288,791,0.002216,0.000000,0.000000,0.000000,events/second
1599828291,791,0.002216,0.000000,0.000000,0.000000,events/second
1599828294,791,0.002216,0.000000,0.000000,0.000000,events/second
1599828297,791,0.002216,0.000000,0.000000,0.000000,events/second
1599828300,791,0.002216,0.000000,0.000000,0.000000,events/second
1599828303,791,0.002216,0.000000,0.000000,0.000000,events/second
1599828306,791,0.002216,0.000000,0.000000,0.000000,events/second
1599828309,791,0.002216,0.000000,0.000000,0.000000,events/second
1599828312,791,0.002216,0.000000,0.000000,0.000000,events/second
1599828315,791,0.002216,0.000000,0.000000,0.000000,events/second
1599828318,791,0.002216,0.000000,0.000000,0.000000,events/second
1599828321,791,0.002216,0.000000,0.000000,0.000000,events/second
1599828324,791,0.002216,0.000000,0.000000,0.000000,events/second
1599828327,791,0.002216,0.000000,0.000000,0.000000,events/second
1599828330,791,0.002216,0.000000,0.000000,0.000000,events/second
