t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1624290816,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290819,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290822,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290825,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290828,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290831,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290834,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290837,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290840,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290843,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290846,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290849,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290852,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290855,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290858,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290861,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290864,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290867,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290870,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290873,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290876,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290879,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290882,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290885,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290888,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290891,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290894,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290897,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290900,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290903,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290906,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290909,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290912,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290915,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290918,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290921,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290924,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290927,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290930,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290933,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290936,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290939,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290942,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290945,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290948,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290951,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290954,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290957,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290960,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290963,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290966,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290969,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290972,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290975,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290978,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290981,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290984,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290987,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290990,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290993,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290996,0,0.000000,0.000000,0.000000,0.000000,events/second
1624290999,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291002,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291005,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291008,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291011,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291014,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291017,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291020,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291023,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291026,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291029,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291032,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291035,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291038,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291041,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291044,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291047,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291050,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291053,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291056,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291059,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291062,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291065,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291068,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291071,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291074,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291077,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291080,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291083,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291086,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291089,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291092,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291095,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291098,0,0.000000,0.000000,0.000000,0.000000,events/second
1624291101,0,0.000000,0.000000,0.000000,0.000000,events/second
