t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1624278723,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278726,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278729,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278732,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278735,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278738,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278741,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278744,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278747,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278750,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278753,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278756,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278759,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278762,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278765,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278768,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278771,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278774,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278777,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278780,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278783,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278786,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278789,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278792,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278795,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278798,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278801,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278804,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278807,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278810,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278813,0,0.000000,0.000000,0.000000,0.000000,events/second
1624278816,0,0.000000,0.000000,0.000000,0.000000,events/second
