t,value
1612620659,11319
1612620662,11319
1612620665,11319
1612620668,11319
1612620671,11319
1612620674,11319
1612620677,11319
1612620680,11319
1612620683,11319
1612620686,11319
1612620689,11319
1612620692,11319
1612620695,11319
1612620698,11319
1612620701,11319
1612620704,11319
1612620707,11319
1612620710,11319
1612620713,11319
1612620716,11319
1612620719,11319
1612620722,11319
1612620725,11319
1612620728,11319
1612620731,11319
1612620734,11319
1612620737,11319
1612620740,11319
1612620743,11319
1612620746,11319
1612620749,11319
1612620752,11319
1612620755,11319
1612620758,11319
1612620761,11319
1612620764,11319
1612620767,11319
1612620770,11319
1612620773,11319
1612620776,11319
1612620779,11319
1612620782,11319
1612620785,11319
1612620788,11319
1612620791,11319
1612620794,11319
1612620797,11319
1612620800,11319
1612620803,11319
1612620806,11319
1612620809,11319
1612620812,11319
1612620815,11319
1612620818,11319
1612620821,11319
1612620824,11319
1612620827,11319
1612620830,11319
1612620833,11319
1612620836,11319
1612620839,11319
1612620842,11319
1612620845,11319
1612620848,11319
1612620851,11319
1612620854,11319
1612620857,11319
1612620860,11319
1612620863,11319
1612620866,11319
1612620869,11319
1612620872,11319
1612620875,11319
1612620878,11319
1612620881,11319
1612620884,11319
1612620887,11319
1612620890,11319
1612620893,11319
1612620896,11319
1612620899,11319
1612620902,11319
1612620905,11319
1612620908,11319
1612620911,11319
1612620914,11319
1612620917,11319
1612620920,11319
1612620923,11319
1612620926,11319
1612620929,11319
1612620932,11319
1612620935,11319
1612620938,11319
1612620941,11319
1612620944,11319
1612620947,11319
1612620950,11319
1612620953,11319
1612620956,11319
1612620959,11319
1612620962,11319
1612620965,11319
1612620968,11319
1612620971,11319
1612620974,11319
1612620977,11319
1612620980,11319
1612620983,11319
1612620986,11319
1612620989,11319
1612620992,11319
1612620995,11319
1612620998,11319
1612621001,11319
1612621004,11319
1612621007,11319
1612621010,11319
1612621013,11319
1612621016,11319
1612621019,11319
1612621022,11319
1612621025,11319
1612621028,11319
1612621031,11319
1612621034,11319
1612621037,11319
1612621040,11319
1612621043,11319
1612621046,11319
1612621049,11319
1612621052,11319
1612621055,11319
1612621058,11319
1612621061,11319
1612621064,11319
1612621067,11319
1612621070,11319
1612621073,11319
1612621076,11319
1612621079,11319
1612621082,11319
1612621085,11319
1612621088,11319
1612621091,11319
1612621094,11319
1612621097,11319
1612621100,11319
1612621103,11319
1612621106,11319
1612621109,11319
1612621112,11319
1612621115,11319
1612621118,11319
1612621121,11319
1612621124,11319
1612621127,11319
