t,value
1624106380,3
1624106383,3
1624106386,3
1624106389,3
1624106392,3
1624106395,3
1624106398,3
1624106401,3
1624106404,3
1624106407,3
1624106410,3
1624106413,3
1624106416,3
1624106419,3
1624106422,3
1624106425,3
1624106428,3
1624106431,3
1624106434,3
1624106437,3
1624106440,3
1624106443,3
1624106446,3
1624106449,3
1624106452,3
1624106455,3
1624106458,3
1624106461,3
1624106464,3
1624106467,3
1624106470,3
1624106473,3
1624106476,3
1624106479,3
1624106482,3
1624106485,3
1624106488,3
1624106491,3
1624106494,3
1624106497,3
1624106500,3
1624106503,3
1624106506,3
1624106509,3
1624106512,3
1624106515,3
1624106518,3
1624106521,3
1624106524,3
1624106527,3
1624106530,3
1624106533,3
1624106536,3
1624106539,3
1624106542,3
1624106545,3
1624106548,3
1624106551,3
1624106554,3
1624106557,3
1624106560,3
1624106563,3
1624106566,3
1624106569,3
1624106572,3
1624106575,3
1624106578,3
1624106581,3
1624106584,3
1624106587,3
1624106590,3
1624106593,3
1624106596,3
1624106599,3
1624106602,3
1624106605,3
1624106608,3
1624106611,3
1624106614,3
1624106617,3
1624106620,3
1624106623,3
1624106626,3
1624106629,3
1624106632,3
1624106635,3
1624106638,3
1624106641,3
1624106644,3
1624106647,3
1624106650,3
1624106653,3
1624106656,3
1624106659,3
1624106662,3
1624106665,3
1624106668,3
1624106671,3
1624106674,3
1624106677,3
1624106680,3
1624106683,3
1624106686,3
1624106689,3
1624106692,3
1624106695,3
1624106698,3
1624106701,3
1624106704,3
1624106707,3
1624106710,3
1624106713,3
1624106716,3
1624106719,3
1624106722,3
1624106725,3
1624106728,3
1624106731,3
1624106734,3
1624106737,3
1624106740,3
1624106743,3
1624106746,3
1624106749,3
1624106752,3
1624106755,3
1624106758,3
1624106761,3
1624106764,3
1624106767,3
1624106770,3
1624106773,3
1624106776,3
1624106779,3
1624106782,3
1624106785,3
1624106788,3
1624106791,3
1624106826,3
1624106826,3
1624106826,3
1624106826,3
1624106826,3
1624106826,3
1624106826,3
1624106826,3
1624106826,3
1624106826,3
1624106827,3
1624106830,3
1624106833,3
1624106836,3
1624106839,3
1624106842,3
1624106845,3
1624106848,3
1624106851,3
1624106854,3
1624106857,3
1624106860,3
1624106863,3
1624106866,3
1624106869,3
1624106872,3
1624106875,3
1624106878,3
1624106881,3
1624106885,3
1624106888,3
1624106891,3
1624106893,3
1624106898,3
1624106902,3
1624106906,3
1624106909,3
1624106913,3
1624106916,3
1624106919,3
1624106921,3
1624106922,3
1624106923,3
1624106926,3
1624106929,3
1624106932,3
1624106935,3
1624106938,3
1624106941,3
1624106944,3
1624106947,3
1624106950,3
1624106953,3
1624106956,3
1624106959,3
1624106962,3
1624106965,3
1624106968,3
1624106971,3
1624106974,3
1624106977,3
1624106980,3
1624106983,3
1624106986,3
1624106989,3
1624106992,3
1624106995,3
1624106998,3
1624107001,3
1624107004,3
1624107007,3
1624107010,3
1624107013,3
1624107016,3
1624107019,3
1624107022,3
1624107025,3
1624107028,3
1624107031,3
1624107034,3
1624107037,3
1624107040,3
1624107043,3
1624107046,3
1624107049,3
1624107052,3
1624107055,3
1624107058,3
1624107061,3
1624107064,3
1624107067,3
1624107070,3
1624107073,3
1624107076,3
1624107079,3
1624107082,3
1624107085,3
1624107088,3
1624107091,3
1624107094,3
1624107097,3
1624107100,3
1624107103,3
1624107106,3
1624107109,3
1624107112,3
1624107115,3
1624107118,3
1624107121,3
1624107124,3
1624107127,3
1624107130,3
1624107133,3
1624107136,3
1624107139,3
1624107142,3
1624107145,3
1624107148,3
1624107151,3
1624107154,3
1624107157,3
1624107160,3
1624107163,3
1624107166,3
1624107169,3
1624107172,3
1624107175,3
1624107178,3
1624107181,3
1624107184,3
1624107187,3
1624107190,3
1624107193,3
1624107196,3
1624107199,3
1624107202,3
1624107205,3
1624107208,3
1624107211,3
1624107214,3
1624107217,3
1624107220,3
1624107223,3
1624107226,3
1624107229,3
1624107232,3
1624107235,3
