t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599800486,1880748,5.715298,0.000000,0.000000,0.000000,events/second
1599800489,1880748,5.715246,0.000000,0.000000,0.000000,events/second
1599800492,1880748,5.715194,0.000000,0.000000,0.000000,events/second
1599800495,1880748,5.715142,0.000000,0.000000,0.000000,events/second
1599800498,1880748,5.715090,0.000000,0.000000,0.000000,events/second
1599800501,1880748,5.715038,0.000000,0.000000,0.000000,events/second
1599800504,1880748,5.714986,0.000000,0.000000,0.000000,events/second
1599800507,1880748,5.714933,0.000000,0.000000,0.000000,events/second
1599800510,1880748,5.714881,0.000000,0.000000,0.000000,events/second
1599800513,1880748,5.714829,0.000000,0.000000,0.000000,events/second
1599800516,1880748,5.714777,0.000000,0.000000,0.000000,events/second
1599800519,1880748,5.714725,0.000000,0.000000,0.000000,events/second
1599800522,1880748,5.714673,0.000000,0.000000,0.000000,events/second
1599800525,1880748,5.714621,0.000000,0.000000,0.000000,events/second
1599800528,1880748,5.714569,0.000000,0.000000,0.000000,events/second
1599800531,1880748,5.714517,0.000000,0.000000,0.000000,events/second
1599800534,1880748,5.714465,0.000000,0.000000,0.000000,events/second
1599800537,1880748,5.714412,0.000000,0.000000,0.000000,events/second
1599800540,1880748,5.714360,0.000000,0.000000,0.000000,events/second
1599800543,1880748,5.714308,0.000000,0.000000,0.000000,events/second
1599800546,1880748,5.714256,0.000000,0.000000,0.000000,events/second
1599800549,1880748,5.714204,0.000000,0.000000,0.000000,events/second
1599800552,1880748,5.714152,0.000000,0.000000,0.000000,events/second
1599800555,1880748,5.714100,0.000000,0.000000,0.000000,events/second
1599800558,1880748,5.714048,0.000000,0.000000,0.000000,events/second
1599800561,1880748,5.713996,0.000000,0.000000,0.000000,events/second
1599800564,1880748,5.713944,0.000000,0.000000,0.000000,events/second
1599800567,1880748,5.713892,0.000000,0.000000,0.000000,events/second
1599800570,1880748,5.713840,0.000000,0.000000,0.000000,events/second
1599800573,1880748,5.713788,0.000000,0.000000,0.000000,events/second
1599800576,1880748,5.713735,0.000000,0.000000,0.000000,events/second
1599800579,1880748,5.713683,0.000000,0.000000,0.000000,events/second
1599800582,1880748,5.713631,0.000000,0.000000,0.000000,events/second
1599800585,1880748,5.713579,0.000000,0.000000,0.000000,events/second
1599800588,1880748,5.713527,0.000000,0.000000,0.000000,events/second
1599800591,1880748,5.713475,0.000000,0.000000,0.000000,events/second
1599800594,1880748,5.713423,0.000000,0.000000,0.000000,events/second
