t,value
1612620683,11003
1612620686,11003
1612620689,11003
1612620692,11003
1612620695,11003
1612620698,11003
1612620701,11003
1612620704,11003
1612620707,11003
1612620710,11003
1612620713,11003
1612620716,11003
1612620719,11003
1612620722,11003
1612620725,11003
1612620728,11003
1612620731,11003
1612620734,11003
1612620737,11003
1612620740,11003
1612620743,11003
1612620746,11003
1612620749,11003
1612620752,11003
1612620755,11003
1612620758,11003
1612620761,11003
1612620764,11003
1612620767,11003
1612620770,11003
1612620773,11003
1612620776,11003
1612620779,11003
1612620782,11003
1612620785,11003
1612620788,11003
1612620791,11003
1612620794,11003
1612620797,11003
1612620800,11003
1612620803,11003
1612620806,11003
1612620809,11003
1612620812,11003
1612620815,11003
1612620818,11003
1612620821,11003
1612620824,11003
1612620827,11003
1612620830,11003
1612620833,11003
1612620836,11003
1612620839,11003
1612620842,11003
1612620845,11003
1612620848,11003
1612620851,11003
1612620854,11003
1612620857,11003
1612620860,11003
1612620863,11003
1612620866,11003
1612620869,11003
1612620872,11003
1612620875,11003
1612620878,11003
1612620881,11003
1612620884,11003
1612620887,11003
1612620890,11003
1612620893,11003
1612620896,11003
1612620899,11003
1612620902,11003
1612620905,11003
1612620908,11003
1612620911,11003
1612620914,11003
1612620917,11003
1612620920,11003
1612620923,11003
1612620926,11003
1612620929,11003
1612620932,11003
1612620935,11003
1612620938,11003
1612620941,11003
1612620944,11003
1612620947,11003
1612620950,11003
1612620953,11003
1612620956,11003
1612620959,11003
1612620962,11003
1612620965,11003
1612620968,11003
1612620971,11003
1612620974,11003
1612620977,11003
1612620980,11003
1612620983,11003
1612620986,11003
1612620989,11003
1612620992,11003
1612620995,11003
1612620998,11003
1612621001,11003
1612621004,11003
1612621007,11003
1612621010,11003
1612621013,11003
1612621016,11003
1612621019,11003
1612621022,11003
1612621025,11003
1612621028,11003
1612621031,11003
1612621034,11003
1612621037,11003
1612621040,11003
1612621043,11003
1612621046,11003
1612621049,11003
1612621052,11003
1612621055,11003
1612621058,11003
1612621061,11003
1612621064,11003
1612621067,11003
1612621070,11003
1612621073,11003
1612621076,11003
1612621079,11003
1612621082,11003
1612621085,11003
1612621088,11003
1612621091,11003
1612621094,11003
1612621097,11003
1612621100,11003
1612621103,11003
1612621106,11003
1612621109,11003
1612621112,11003
1612621115,11003
1612621118,11003
1612621121,11003
1612621124,11003
1612621127,11003
1612621130,11003
1612621133,11003
1612621136,11003
1612621139,11003
1612621142,11003
1612621145,11003
1612621148,11003
1612621151,11003
1612621154,11003
1612621157,11003
1612621160,11003
1612621163,11003
1612621166,11003
1612621169,11003
1612621172,11003
1612621175,11003
1612621178,11003
1612621181,11003
1612621184,11003
1612621187,11003
1612621190,11003
1612621193,11003
1612621196,11003
1612621199,11003
1612621202,11003
1612621205,11003
1612621208,11003
1612621211,11003
1612621214,11003
1612621217,11003
1612621220,11003
1612621223,11003
1612621226,11003
1612621229,11003
1612621232,11003
1612621235,11003
1612621238,11003
1612621241,11003
1612621244,11003
1612621247,11003
1612621250,11003
1612621253,11003
1612621256,11003
1612621259,11003
1612621262,11003
1612621265,11003
1612621268,11003
1612621271,11003
1612621274,11003
1612621277,11003
1612621280,11003
1612621283,11003
1612621286,11003
1612621289,11003
1612621292,11003
1612621295,11003
1612621298,11003
1612621301,11003
1612621304,11003
1612621307,11003
1612621310,11003
1612621313,11003
1612621316,11003
1612621319,11003
1612621322,11003
1612621325,11003
1612621328,11003
1612621331,11003
1612621334,11003
1612621337,11003
1612621340,11003
1612621343,11003
1612621346,11003
1612621349,11003
1612621352,11003
1612621355,11003
1612621358,11003
1612621361,11003
1612621364,11003
1612621367,11003
1612621370,11003
1612621373,11003
1612621376,11003
1612621379,11003
1612621382,11003
1612621385,11003
1612621388,11003
1612621391,11003
1612621394,11003
1612621397,11003
1612621400,11003
1612621403,11003
1612621406,11003
1612621409,11003
