t,value
1612620758,11203
1612620761,11203
1612620764,11203
1612620767,11203
1612620770,11203
1612620773,11203
1612620776,11203
1612620779,11203
1612620782,11203
1612620785,11203
1612620788,11203
1612620791,11203
1612620794,11203
1612620797,11203
1612620800,11203
1612620803,11203
1612620806,11203
1612620809,11203
1612620812,11203
1612620815,11203
1612620818,11203
1612620821,11203
1612620824,11203
1612620827,11203
1612620830,11203
1612620833,11203
1612620836,11203
1612620839,11203
1612620842,11203
1612620845,11203
1612620848,11203
1612620851,11203
1612620854,11203
1612620857,11203
1612620860,11203
1612620863,11203
1612620866,11203
1612620869,11203
1612620872,11203
1612620875,11203
1612620878,11203
1612620881,11203
1612620884,11203
1612620887,11203
1612620890,11203
1612620893,11203
1612620896,11203
1612620899,11203
1612620902,11203
1612620905,11203
1612620908,11203
1612620911,11203
1612620914,11203
1612620917,11203
1612620920,11203
1612620923,11203
1612620926,11203
1612620929,11203
1612620932,11203
1612620935,11203
1612620938,11203
1612620941,11203
1612620944,11203
1612620947,11203
1612620950,11203
1612620953,11203
1612620956,11203
1612620959,11203
1612620962,11203
1612620965,11203
1612620968,11203
1612620971,11203
1612620974,11203
1612620977,11203
1612620980,11203
1612620983,11203
1612620986,11203
1612620989,11203
1612620992,11203
1612620995,11203
1612620998,11203
1612621001,11203
1612621004,11203
1612621007,11203
1612621010,11203
1612621013,11203
1612621016,11203
1612621019,11203
1612621022,11203
1612621025,11203
1612621028,11203
1612621031,11203
1612621034,11203
1612621037,11203
1612621040,11203
1612621043,11203
1612621046,11203
1612621049,11203
1612621052,11203
1612621055,11203
1612621058,11203
1612621061,11203
1612621064,11203
1612621067,11203
1612621070,11203
1612621073,11203
1612621076,11203
1612621079,11203
1612621082,11203
1612621085,11203
1612621088,11203
1612621091,11203
1612621094,11203
1612621097,11203
1612621100,11203
1612621103,11203
1612621106,11203
1612621109,11203
1612621112,11203
1612621115,11203
1612621118,11203
1612621121,11203
1612621124,11203
1612621127,11203
1612621130,11203
1612621133,11203
1612621136,11203
1612621139,11203
1612621142,11203
1612621145,11203
1612621148,11203
1612621151,11203
1612621154,11203
1612621157,11203
1612621160,11203
1612621163,11203
1612621166,11203
1612621169,11203
1612621172,11203
1612621175,11203
1612621178,11203
1612621181,11203
1612621184,11203
1612621187,11203
1612621190,11203
1612621193,11203
1612621196,11203
1612621199,11203
1612621202,11203
1612621205,11203
1612621208,11203
1612621211,11203
1612621214,11203
1612621217,11203
1612621220,11203
1612621223,11203
1612621226,11203
1612621229,11203
1612621232,11203
1612621235,11203
1612621238,11203
1612621241,11203
1612621244,11203
1612621247,11203
1612621250,11203
1612621253,11203
1612621256,11203
1612621259,11203
1612621262,11203
1612621265,11203
1612621268,11203
1612621271,11203
1612621274,11203
1612621277,11203
1612621280,11203
1612621283,11203
1612621286,11203
1612621289,11203
1612621292,11203
1612621295,11203
1612621298,11203
1612621301,11203
1612621304,11203
1612621307,11203
1612621310,11203
1612621313,11203
1612621316,11203
1612621319,11203
1612621322,11203
1612621325,11203
1612621328,11203
1612621331,11203
1612621334,11203
1612621337,11203
1612621340,11203
1612621343,11203
1612621346,11203
1612621349,11203
1612621352,11203
1612621355,11203
1612621358,11203
1612621361,11203
1612621364,11203
1612621367,11203
1612621370,11203
1612621373,11203
1612621376,11203
1612621379,11203
1612621382,11203
1612621385,11203
1612621388,11203
1612621391,11203
1612621394,11203
1612621397,11203
1612621400,11203
1612621403,11203
1612621406,11203
1612621409,11203
1612621412,11203
1612621415,11203
1612621418,11203
1612621421,11203
1612621424,11203
1612621427,11203
1612621430,11203
1612621433,11203
1612621436,11203
1612621439,11203
1612621442,11203
1612621445,11203
1612621448,11203
1612621451,11203
1612621454,11203
1612621457,11203
1612621460,11203
1612621463,11203
1612621466,11203
1612621469,11203
1612621472,11203
1612621475,11203
1612621478,11203
1612621481,11203
1612621484,11203
1612621487,11203
1612621490,11203
1612621493,11203
1612621496,11203
1612621499,11203
1612621502,11203
1612621505,11203
1612621508,11203
1612621511,11203
1612621514,11203
1612621517,11203
1612621520,11203
1612621523,11203
1612621526,11203
1612621529,11203
1612621532,11203
1612621535,11203
1612621538,11203
1612621541,11203
1612621544,11203
1612621547,11203
1612621550,11203
1612621553,11203
1612621556,11203
1612621559,11203
1612621562,11203
1612621565,11203
1612621568,11203
1612621571,11203
1612621574,11203
1612621577,11203
1612621580,11203
1612621583,11203
1612621586,11203
1612621589,11203
1612621592,11203
1612621595,11203
1612621598,11203
1612621601,11203
1612621604,11203
1612621607,11203
1612621610,11203
1612621613,11203
1612621616,11203
1612621619,11203
1612621622,11203
1612621625,11203
1612621628,11203
1612621631,11203
1612621634,11203
1612621637,11203
1612621640,11203
1612621643,11203
1612621646,11203
1612621649,11203
1612621652,11203
1612621655,11203
1612621658,11203
1612621661,11203
1612621664,11203
1612621667,11203
1612621670,11203
1612621673,11203
1612621676,11203
1612621679,11203
1612621682,11203
1612621685,11203
1612621688,11203
1612621691,11203
1612621694,11203
1612621697,11203
1612621700,11203
1612621703,11203
1612621706,11203
1612621709,11203
1612621712,11203
1612621715,11203
1612621718,11203
1612621721,11203
1612621724,11203
1612621727,11203
1612621730,11203
1612621733,11203
1612621736,11203
1612621739,11203
1612621742,11203
1612621745,11203
1612621748,11203
1612621751,11203
1612621754,11203
1612621757,11203
1612621760,11203
1612621763,11203
1612621766,11203
1612621769,11203
1612621772,11203
1612621775,11203
1612621778,11203
1612621781,11203
1612621784,11203
1612621787,11203
1612621790,11203
1612621793,11203
1612621796,11203
1612621799,11203
1612621802,11203
1612621805,11203
1612621808,11203
1612621811,11203
1612621814,11203
1612621817,11203
1612621820,11203
1612621823,11203
1612621826,11203
1612621829,11203
1612621832,11203
1612621835,11203
1612621838,11203
1612621841,11203
1612621844,11203
1612621847,11203
1612621850,11203
1612621853,11203
1612621856,11203
1612621859,11203
1612621862,11203
1612621865,11203
1612621868,11203
1612621871,11203
1612621874,11203
1612621877,11203
1612621880,11203
1612621883,11203
1612621886,11203
1612621889,11203
1612621892,11203
1612621895,11203
1612621898,11203
1612621901,11203
1612621904,11203
1612621907,11203
1612621910,11203
1612621913,11203
1612621916,11203
1612621919,11203
1612621922,11203
1612621925,11203
1612621928,11203
1612621931,11203
1612621934,11203
1612621937,11203
1612621940,11203
1612621943,11203
1612621946,11203
1612621949,11203
1612621952,11203
1612621955,11203
1612621958,11203
1612621961,11203
1612621964,11203
1612621967,11203
1612621970,11203
1612621973,11203
1612621976,11203
1612621979,11203
1612621982,11203
1612621985,11203
1612621988,11203
1612621991,11203
1612621994,11203
1612621997,11203
1612622000,11203
1612622003,11203
1612622006,11203
1612622009,11203
1612622012,11203
1612622015,11203
1612622018,11203
1612622021,11203
1612622024,11203
1612622027,11203
1612622030,11203
1612622033,11203
1612622036,11203
1612622039,11203
1612622042,11203
1612622045,11203
1612622048,11203
1612622051,11203
1612622054,11203
1612622057,11203
1612622060,11203
1612622063,11203
1612622066,11203
1612622069,11203
1612622072,11203
1612622075,11203
1612622078,11203
1612622081,11203
1612622084,11203
1612622087,11203
1612622090,11203
1612622093,11203
1612622096,11203
1612622099,11203
1612622102,11203
1612622105,11203
1612622108,11203
1612622111,11203
1612622114,11203
1612622117,11203
1612622120,11203
1612622123,11203
1612622126,11203
1612622129,11203
1612622132,11203
1612622135,11203
1612622138,11203
1612622141,11203
1612622144,11203
1612622147,11203
1612622150,11203
1612622153,11203
1612622156,11203
1612622159,11203
1612622162,11203
1612622165,11203
1612622168,11203
1612622171,11203
1612622174,11203
1612622177,11203
1612622180,11203
1612622183,11203
1612622186,11203
1612622189,11203
1612622192,11203
1612622195,11203
1612622198,11203
1612622201,11203
1612622204,11203
1612622207,11203
1612622210,11203
1612622213,11203
1612622216,11203
1612622219,11203
1612622222,11203
1612622225,11203
1612622228,11203
1612622231,11203
1612622234,11203
1612622237,11203
1612622240,11203
1612622243,11203
1612622246,11203
1612622249,11203
1612622252,11203
1612622255,11203
1612622258,11203
1612622261,11203
1612622264,11203
1612622267,11203
1612622270,11203
1612622273,11203
1612622276,11203
1612622279,11203
1612622282,11203
1612622285,11203
1612622288,11203
1612622291,11203
1612622294,11203
1612622297,11203
1612622300,11203
1612622303,11203
1612622306,11203
1612622309,11203
1612622312,11203
1612622315,11203
1612622318,11203
1612622321,11203
1612622324,11203
1612622327,11203
1612622330,11203
1612622333,11203
1612622336,11203
1612622339,11203
1612622342,11203
1612622345,11203
1612622348,11203
1612622351,11203
1612622354,11203
1612622357,11203
1612622360,11203
1612622363,11203
1612622366,11203
1612622369,11203
1612622372,11203
1612622375,11203
1612622378,11203
1612622381,11203
1612622384,11203
1612622387,11203
1612622390,11203
1612622393,11203
1612622396,11203
1612622399,11203
1612622402,11203
1612622405,11203
1612622408,11203
1612622411,11203
1612622414,11203
1612622417,11203
1612622420,11203
1612622423,11203
1612622426,11203
1612622429,11203
1612622432,11203
1612622435,11203
1612622438,11203
1612622441,11203
1612622444,11203
1612622447,11203
1612622450,11203
1612622453,11203
1612622456,11203
1612622459,11203
1612622462,11203
1612622465,11203
1612622468,11203
1612622471,11203
1612622474,11203
1612622477,11203
1612622480,11203
1612622483,11203
1612622486,11203
1612622489,11203
1612622492,11203
1612622495,11203
1612622498,11203
1612622501,11203
1612622504,11203
1612622507,11203
1612622510,11203
1612622513,11203
1612622516,11203
1612622519,11203
1612622522,11203
1612622525,11203
1612622528,11203
1612622531,11203
1612622534,11203
1612622537,11203
1612622540,11203
1612622543,11203
1612622546,11203
1612622549,11203
1612622552,11203
1612622555,11203
1612622558,11203
1612622561,11203
1612622564,11203
1612622567,11203
1612622570,11203
1612622573,11203
1612622576,11203
1612622579,11203
1612622582,11203
1612622585,11203
1612622588,11203
1612622591,11203
1612622594,11203
1612622597,11203
1612622600,11203
1612622603,11203
1612622606,11203
1612622609,11203
1612622612,11203
1612622615,11203
1612622618,11203
1612622621,11203
1612622624,11203
1612622627,11203
1612622630,11203
1612622633,11203
1612622636,11203
1612622639,11203
1612622642,11203
1612622645,11203
1612622648,11203
1612622651,11203
1612622654,11203
1612622657,11203
1612622660,11203
1612622663,11203
1612622666,11203
1612622669,11203
1612622672,11203
1612622675,11203
1612622678,11203
1612622681,11203
1612622684,11203
1612622687,11203
1612622690,11203
1612622693,11203
1612622696,11203
1612622699,11203
1612622702,11203
1612622705,11203
1612622708,11203
1612622711,11203
1612622714,11203
1612622717,11203
1612622720,11203
1612622723,11203
1612622726,11203
1612622729,11203
1612622732,11203
1612622735,11203
1612622738,11203
1612622741,11203
1612622744,11203
1612622747,11203
1612622750,11203
1612622753,11203
1612622756,11203
1612622759,11203
1612622762,11203
1612622765,11203
1612622768,11203
1612622771,11203
1612622774,11203
1612622777,11203
1612622780,11203
1612622783,11203
1612622786,11203
1612622789,11203
1612622792,11203
1612622795,11203
1612622798,11203
1612622801,11203
1612622804,11203
1612622807,11203
1612622810,11203
1612622813,11203
1612622816,11203
1612622819,11203
1612622822,11203
1612622825,11203
1612622828,11203
1612622831,11203
1612622834,11203
1612622837,11203
1612622840,11203
1612622843,11203
1612622846,11203
1612622849,11203
1612622852,11203
1612622855,11203
1612622858,11203
1612622861,11203
1612622864,11203
1612622867,11203
1612622870,11203
1612622873,11203
1612622876,11203
1612622879,11203
1612622882,11203
1612622885,11203
1612622888,11203
1612622891,11203
1612622894,11203
1612622897,11203
1612622900,11203
1612622903,11203
1612622906,11203
1612622909,11203
1612622912,11203
1612622915,11203
1612622918,11203
1612622921,11203
1612622924,11203
1612622927,11203
1612622930,11203
1612622933,11203
1612622936,11203
1612622939,11203
1612622942,11203
1612622945,11203
1612622948,11203
1612622951,11203
1612622954,11203
1612622957,11203
1612622960,11203
1612622963,11203
1612622966,11203
1612622969,11203
1612622972,11203
1612622975,11203
1612622978,11203
1612622981,11203
1612622984,11203
1612622987,11203
1612622990,11203
1612622993,11203
1612622996,11203
1612622999,11203
1612623002,11203
1612623005,11203
1612623008,11203
1612623011,11203
1612623014,11203
1612623017,11203
1612623020,11203
1612623023,11203
1612623026,11203
1612623029,11203
1612623032,11203
1612623035,11203
1612623038,11203
1612623041,11203
1612623044,11203
1612623047,11203
1612623050,11203
1612623053,11203
1612623056,11203
1612623059,11203
1612623062,11203
1612623065,11203
1612623068,11203
1612623071,11203
1612623074,11203
1612623077,11203
1612623080,11203
1612623083,11203
1612623086,11203
1612623089,11203
1612623092,11203
1612623095,11203
1612623098,11203
1612623101,11203
1612623104,11203
1612623107,11203
1612623110,11203
1612623113,11203
1612623116,11203
1612623119,11203
1612623122,11203
1612623125,11203
1612623128,11203
1612623131,11203
1612623134,11203
1612623137,11203
1612623140,11203
1612623143,11203
1612623146,11203
1612623149,11203
1612623152,11203
1612623155,11203
1612623158,11203
1612623161,11203
1612623164,11203
1612623167,11203
1612623170,11203
1612623173,11203
1612623176,11203
1612623179,11203
1612623182,11203
1612623185,11203
1612623188,11203
1612623191,11203
1612623194,11203
1612623197,11203
1612623200,11203
1612623203,11203
1612623206,11203
1612623209,11203
1612623212,11203
1612623215,11203
1612623218,11203
1612623221,11203
1612623224,11203
1612623227,11203
1612623230,11203
1612623233,11203
1612623236,11203
1612623239,11203
1612623242,11203
1612623245,11203
1612623248,11203
1612623251,11203
1612623254,11203
1612623257,11203
1612623260,11203
1612623263,11203
1612623266,11203
1612623269,11203
1612623272,11203
1612623275,11203
1612623278,11203
1612623281,11203
1612623284,11203
1612623287,11203
1612623290,11203
1612623293,11203
1612623296,11203
1612623299,11203
1612623302,11203
1612623305,11203
1612623308,11203
1612623311,11203
1612623314,11203
1612623317,11203
1612623320,11203
1612623323,11203
1612623326,11203
1612623329,11203
1612623332,11203
1612623335,11203
1612623338,11203
1612623341,11203
1612623344,11203
1612623347,11203
1612623350,11203
1612623353,11203
1612623356,11203
1612623359,11203
1612623362,11203
1612623365,11203
1612623368,11203
1612623371,11203
1612623374,11203
1612623377,11203
1612623380,11203
1612623383,11203
1612623386,11203
1612623389,11203
1612623392,11203
1612623395,11203
1612623398,11203
1612623401,11203
1612623404,11203
1612623407,11203
1612623410,11203
1612623413,11203
1612623416,11203
1612623419,11203
1612623422,11203
1612623425,11203
1612623428,11203
1612623431,11203
1612623434,11203
1612623437,11203
1612623440,11203
1612623443,11203
1612623446,11203
1612623449,11203
1612623452,11203
1612623455,11203
1612623458,11203
1612623461,11203
1612623464,11203
1612623467,11203
1612623470,11203
1612623473,11203
1612623476,11203
1612623479,11203
1612623482,11203
1612623485,11203
1612623488,11203
1612623491,11203
1612623494,11203
1612623497,11203
1612623500,11203
1612623503,11203
1612623506,11203
1612623509,11203
1612623512,11203
1612623515,11203
1612623518,11203
1612623521,11203
1612623524,11203
1612623527,11203
1612623530,11203
1612623533,11203
1612623536,11203
1612623539,11203
1612623542,11203
1612623545,11203
1612623548,11203
1612623551,11203
1612623554,11203
1612623557,11203
1612623560,11203
1612623563,11203
1612623566,11203
1612623569,11203
1612623572,11203
1612623575,11203
1612623578,11203
1612623581,11203
1612623584,11203
1612623587,11203
1612623590,11203
1612623593,11203
1612623596,11203
1612623599,11203
1612623602,11203
1612623605,11203
1612623608,11203
1612623611,11203
1612623614,11203
1612623617,11203
1612623620,11203
1612623623,11203
1612623626,11203
1612623629,11203
1612623632,11203
1612623635,11203
1612623638,11203
1612623641,11203
1612623644,11203
1612623647,11203
1612623650,11203
1612623653,11203
1612623656,11203
1612623659,11203
1612623662,11203
1612623665,11203
1612623668,11203
1612623671,11203
1612623674,11203
1612623677,11203
1612623680,11203
1612623683,11203
1612623686,11203
1612623689,11203
1612623692,11203
1612623695,11203
1612623698,11203
1612623701,11203
1612623704,11203
1612623707,11203
1612623710,11203
1612623713,11203
1612623716,11203
1612623719,11203
1612623722,11203
1612623725,11203
1612623728,11203
1612623731,11203
1612623734,11203
1612623737,11203
1612623740,11203
1612623743,11203
1612623746,11203
1612623749,11203
1612623752,11203
1612623755,11203
1612623758,11203
1612623761,11203
1612623764,11203
1612623767,11203
1612623770,11203
1612623773,11203
1612623776,11203
1612623779,11203
1612623782,11203
1612623785,11203
1612623788,11203
1612623791,11203
1612623794,11203
1612623797,11203
1612623800,11203
1612623803,11203
1612623806,11203
1612623809,11203
1612623812,11203
1612623815,11203
1612623818,11203
1612623821,11203
1612623824,11203
1612623827,11203
1612623830,11203
1612623833,11203
1612623836,11203
1612623839,11203
1612623842,11203
1612623845,11203
1612623848,11203
1612623851,11203
1612623854,11203
1612623857,11203
1612623860,11203
1612623863,11203
1612623866,11203
1612623869,11203
1612623872,11203
1612623875,11203
1612623878,11203
1612623881,11203
1612623884,11203
1612623887,11203
1612623890,11203
1612623893,11203
1612623896,11203
1612623899,11203
1612623902,11203
1612623905,11203
1612623908,11203
1612623911,11203
1612623914,11203
1612623917,11203
1612623920,11203
1612623923,11203
1612623926,11203
1612623929,11203
1612623932,11203
1612623935,11203
1612623938,11203
1612623941,11203
1612623944,11203
1612623947,11203
1612623950,11203
1612623953,11203
1612623956,11203
1612623959,11203
1612623962,11203
1612623965,11203
1612623968,11203
1612623971,11203
1612623974,11203
1612623977,11203
1612623980,11203
1612623983,11203
1612623986,11203
1612623989,11203
1612623992,11203
1612623995,11203
1612623998,11203
1612624001,11203
1612624004,11203
1612624007,11203
1612624010,11203
1612624013,11203
1612624016,11203
1612624019,11203
1612624022,11203
1612624025,11203
1612624028,11203
1612624031,11203
1612624034,11203
1612624037,11203
1612624040,11203
1612624043,11203
1612624046,11203
1612624049,11203
1612624052,11203
1612624055,11203
1612624058,11203
1612624061,11203
1612624064,11203
1612624067,11203
1612624070,11203
1612624073,11203
1612624076,11203
1612624079,11203
1612624082,11203
1612624085,11203
1612624088,11203
1612624091,11203
1612624094,11203
1612624097,11203
1612624100,11203
1612624103,11203
1612624106,11203
1612624109,11203
1612624112,11203
1612624115,11203
1612624118,11203
1612624121,11203
1612624124,11203
1612624127,11203
1612624130,11203
1612624133,11203
1612624136,11203
1612624139,11203
1612624142,11203
1612624145,11203
1612624148,11203
1612624151,11203
1612624154,11203
1612624157,11203
1612624160,11203
1612624163,11203
1612624166,11203
1612624169,11203
1612624172,11203
1612624175,11203
1612624178,11203
1612624181,11203
1612624184,11203
1612624187,11203
1612624190,11203
1612624193,11203
1612624196,11203
1612624199,11203
1612624202,11203
1612624205,11203
1612624208,11203
1612624211,11203
1612624214,11203
1612624217,11203
1612624220,11203
1612624223,11203
1612624226,11203
1612624229,11203
1612624232,11203
1612624235,11203
1612624238,11203
1612624241,11203
1612624244,11203
1612624247,11203
1612624250,11203
1612624253,11203
1612624256,11203
1612624259,11203
1612624262,11203
1612624265,11203
1612624268,11203
1612624271,11203
1612624274,11203
1612624277,11203
1612624280,11203
1612624283,11203
1612624286,11203
1612624289,11203
1612624292,11203
1612624295,11203
1612624298,11203
1612624301,11203
1612624304,11203
1612624307,11203
1612624310,11203
1612624313,11203
1612624316,11203
1612624319,11203
1612624322,11203
1612624325,11203
1612624328,11203
1612624331,11203
1612624334,11203
1612624337,11203
1612624340,11203
1612624343,11203
1612624346,11203
1612624349,11203
1612624352,11203
1612624355,11203
1612624358,11203
1612624361,11203
1612624364,11203
1612624367,11203
1612624370,11203
1612624373,11203
1612624376,11203
1612624379,11203
1612624382,11203
1612624385,11203
1612624388,11203
1612624391,11203
1612624394,11203
1612624397,11203
1612624400,11203
1612624403,11203
1612624406,11203
1612624409,11203
1612624412,11203
1612624415,11203
1612624418,11203
1612624421,11203
1612624424,11203
1612624427,11203
1612624430,11203
1612624433,11203
1612624436,11203
1612624439,11203
1612624442,11203
1612624445,11203
1612624448,11203
1612624451,11203
1612624454,11203
1612624457,11203
1612624460,11203
1612624463,11203
1612624466,11203
1612624469,11203
1612624472,11203
1612624475,11203
1612624478,11203
1612624481,11203
1612624484,11203
1612624487,11203
1612624490,11203
1612624493,11203
1612624496,11203
1612624499,11203
1612624502,11203
1612624505,11203
1612624508,11203
1612624511,11203
1612624514,11203
1612624517,11203
1612624520,11203
1612624523,11203
1612624526,11203
1612624529,11203
1612624532,11203
1612624535,11203
1612624538,11203
1612624541,11203
1612624544,11203
1612624547,11203
1612624550,11203
1612624553,11203
1612624556,11203
1612624559,11203
1612624562,11203
1612624565,11203
1612624568,11203
1612624571,11203
1612624574,11203
1612624577,11203
1612624580,11203
1612624583,11203
1612624586,11203
1612624589,11203
1612624592,11203
1612624595,11203
1612624598,11203
1612624601,11203
1612624604,11203
1612624607,11203
1612624610,11203
1612624613,11203
1612624616,11203
1612624619,11203
1612624622,11203
1612624625,11203
1612624628,11203
1612624631,11203
1612624634,11203
1612624637,11203
1612624640,11203
1612624643,11203
1612624646,11203
1612624649,11203
1612624652,11203
1612624655,11203
1612624658,11203
1612624661,11203
1612624664,11203
1612624667,11203
1612624670,11203
1612624673,11203
1612624676,11203
1612624679,11203
1612624682,11203
1612624685,11203
1612624688,11203
1612624691,11203
1612624694,11203
1612624697,11203
1612624700,11203
1612624703,11203
1612624706,11203
1612624709,11203
1612624712,11203
1612624715,11203
1612624718,11203
1612624721,11203
1612624724,11203
1612624727,11203
1612624730,11203
1612624733,11203
