t,value
1598171893,810925
1598171896,810925
1598171899,810925
1598171902,810925
1598171905,810925
1598171908,810925
1598171911,810925
1598171914,810925
1598171917,810925
1598171920,810925
1598171923,810925
1598171926,810925
1598171929,810925
1598171932,810925
1598171935,810925
1598171938,810925
1598171941,810925
1598171944,810925
1598171947,810925
1598171950,810925
1598171953,810925
1598171956,810925
1598171959,810925
1598171962,810925
1598171965,810925
1598171968,810925
1598171971,810925
1598171974,810925
1598171977,810925
1598171980,810925
1598171983,810925
1598171986,810925
1598171989,810925
1598171992,810925
1598171995,810925
1598171998,810925
1598172001,810925
1598172004,810925
1598172007,810925
1598172010,810925
1598172013,810925
1598172016,810925
1598172019,810925
1598172022,810925
1598172025,810925
1598172028,810925
1598172031,810925
1598172034,810925
1598172037,810925
1598172040,810925
1598172043,810925
1598172046,810925
1598172049,810925
1598172052,810925
1598172055,810925
1598172058,810925
1598172061,810925
1598172064,810925
1598172067,810925
1598172070,810925
1598172073,810925
1598172076,810925
1598172079,810925
1598172082,810925
1598172085,810925
1598172088,810925
1598172091,810925
1598172094,810925
1598172097,810925
1598172100,810925
1598172103,810925
1598172106,810925
1598172109,810925
1598172112,810925
1598172115,810925
1598172118,810925
1598172121,810925
1598172124,810925
1598172127,810925
1598172130,810925
1598172133,810925
1598172136,810925
1598172139,810925
1598172142,810925
1598172145,810925
1598172148,810925
1598172151,810925
1598172154,810925
1598172157,810925
1598172160,810925
1598172163,810925
1598172166,810925
1598172169,810925
1598172172,810925
1598172175,810925
1598172178,810925
1598172181,810925
1598172184,810925
1598172187,810925
1598172190,810925
1598172193,810925
1598172196,810925
1598172199,810925
1598172202,810925
1598172205,810925
1598172208,810925
1598172211,810925
1598172214,810925
1598172217,810925
1598172220,810925
1598172223,810925
1598172226,810925
1598172229,810925
1598172232,810925
1598172235,810925
1598172238,810925
1598172241,810925
1598172244,810925
1598172247,810925
1598172250,810925
1598172253,810925
1598172256,810925
1598172259,810925
1598172262,810925
1598172265,810925
1598172268,810925
1598172271,810925
1598172274,810925
1598172277,810925
1598172280,810925
1598172283,810925
1598172286,810925
1598172289,810925
1598172292,810925
1598172295,810925
1598172298,810925
1598172301,810925
1598172304,810925
1598172307,810925
1598172310,810925
1598172313,810925
1598172316,810925
1598172319,810925
1598172322,810925
1598172325,810925
1598172328,810925
1598172331,810925
1598172334,810925
1598172337,810925
1598172340,810925
1598172343,810925
1598172346,810925
1598172349,810925
1598172352,810925
1598172355,810925
1598172358,810925
1598172361,810925
1598172364,810925
1598172367,810925
1598172370,810925
1598172373,810925
1598172376,810925
1598172379,810925
1598172382,810925
1598172385,810925
1598172388,810925
1598172391,810925
1598172394,810925
1598172397,810925
1598172400,810925
1598172403,810925
1598172406,810925
1598172409,810925
1598172412,810925
1598172415,810925
1598172418,810925
1598172421,810925
1598172424,810925
1598172427,810925
1598172430,810925
1598172433,810925
1598172436,810925
1598172439,810925
1598172442,810925
1598172445,810925
1598172448,810925
1598172451,810925
1598172454,810925
1598172457,810925
1598172460,810925
1598172463,810925
1598172466,810925
1598172469,810925
1598172472,810925
1598172475,810925
1598172478,810925
1598172481,810925
1598172484,810925
1598172487,810925
t,value
1598172513,868923
1598172516,868923
1598172519,868923
1598172522,868923
1598172525,868923
1598172528,868923
1598172531,868923
1598172534,868923
1598172537,868923
1598172540,868923
1598172543,868923
1598172546,868923
1598172549,868923
1598172552,868923
1598172555,868923
1598172558,868923
1598172561,868923
1598172564,868923
1598172567,868923
1598172570,868923
1598172573,868923
1598172576,868923
1598172579,868923
1598172582,868923
1598172585,868923
1598172588,868923
1598172591,868923
1598172594,868923
1598172597,868923
1598172600,868923
1598172603,868923
1598172606,868923
1598172609,868923
1598172612,868923
1598172615,868923
1598172618,868923
1598172621,868923
1598172624,868923
1598172627,868923
1598172630,868923
1598172633,868923
1598172636,868923
1598172639,868923
1598172642,868923
1598172645,868923
1598172648,868923
1598172651,868923
1598172654,868923
1598172657,868923
1598172660,868923
1598172663,868923
1598172666,868923
1598172669,868923
1598172672,868923
1598172675,868923
1598172678,868923
1598172681,868923
1598172684,868923
1598172687,868923
1598172690,868923
1598172693,868923
1598172696,868923
1598172699,868923
1598172702,868923
1598172705,868923
1598172708,868923
1598172711,868923
1598172714,868923
1598172717,868923
1598172720,868923
1598172723,868923
1598172726,868923
1598172729,868923
1598172732,868923
1598172735,868923
1598172738,868923
1598172741,868923
1598172744,868923
1598172747,868923
1598172750,868923
1598172753,868923
1598172756,868923
1598172759,868923
1598172762,868923
1598172765,868923
1598172768,868923
1598172771,868923
1598172774,868923
1598172777,868923
1598172780,868923
1598172783,868923
1598172786,868923
1598172789,868923
1598172792,868923
1598172795,868923
1598172798,868923
1598172801,868923
1598172804,868923
1598172807,868923
1598172810,868923
1598172813,868923
1598172816,868923
1598172819,868923
1598172822,868923
1598172825,868923
1598172828,868923
1598172831,868923
1598172834,868923
1598172837,868923
1598172840,868923
1598172843,868923
1598172846,868923
1598172849,868923
1598172852,868923
1598172855,868923
1598172858,868923
1598172861,868923
1598172864,868923
1598172867,868923
1598172870,868923
1598172873,868923
1598172876,868923
1598172879,868923
1598172882,868923
1598172885,868923
1598172888,868923
1598172891,868923
1598172894,868923
1598172897,868923
1598172900,868923
1598172903,868923
1598172906,868923
1598172909,868923
1598172912,868923
1598172915,868923
1598172918,868923
1598172921,868923
1598172924,868923
1598172927,868923
1598172930,868923
1598172933,868923
1598172936,868923
1598172939,868923
1598172942,868923
1598172945,868923
1598172948,868923
1598172951,868923
1598172954,868923
1598172957,868923
1598172960,868923
1598172963,868923
1598172966,868923
1598172969,868923
1598172972,868923
1598172975,868923
1598172978,868923
1598172981,868923
1598172984,868923
1598172987,868923
1598172990,868923
1598172993,868923
1598172996,868923
1598172999,868923
1598173002,868923
1598173005,868923
1598173008,868923
1598173011,868923
1598173014,868923
1598173017,868923
1598173020,868923
1598173023,868923
1598173026,868923
1598173029,868923
1598173032,868923
1598173035,868923
1598173038,868923
1598173041,868923
1598173044,868923
1598173047,868923
1598173050,868923
1598173053,868923
1598173056,868923
1598173059,868923
1598173062,868923
1598173065,868923
1598173068,868923
1598173071,868923
1598173074,868923
1598173077,868923
1598173080,868923
1598173083,868923
1598173086,868923
1598173089,868923
1598173092,868923
1598173095,868923
1598173098,868923
1598173101,868923
1598173104,868923
1598173107,868923
1598173110,868923
1598173113,868923
1598173116,868923
1598173119,868923
1598173122,868923
1598173125,868923
1598173128,868923
1598173131,868923
1598173134,868923
1598173137,868923
1598173140,868923
1598173143,868923
1598173146,868923
1598173149,868923
1598173152,868923
1598173155,868923
1598173158,868923
1598173161,868923
1598173164,868923
1598173167,868923
1598173170,868923
1598173173,868923
1598173176,868923
1598173179,868923
1598173182,868923
1598173185,868923
1598173188,868923
1598173191,868923
1598173194,868923
1598173197,868923
1598173200,868923
1598173203,868923
1598173206,868923
1598173209,868923
1598173212,868923
1598173215,868923
1598173218,868923
1598173221,868923
1598173224,868923
1598173227,868923
1598173230,868923
1598173233,868923
1598173236,868923
1598173239,868923
1598173242,868923
1598173245,868923
1598173248,868923
1598173251,868923
1598173254,868923
1598173257,868923
1598173260,868923
1598173263,868923
1598173266,868923
1598173269,868923
1598173272,868923
1598173275,868923
1598173278,868923
1598173281,868923
1598173284,868923
1598173287,868923
1598173290,868923
1598173293,868923
1598173296,868923
1598173299,868923
1598173302,868923
1598173305,868923
1598173308,868923
1598173311,868923
1598173314,868923
1598173317,868923
1598173320,868923
1598173323,868923
1598173326,868923
1598173329,868923
1598173332,868923
1598173335,868923
1598173338,868923
1598173341,868923
1598173344,868923
1598173347,868923
1598173350,868923
1598173353,868923
1598173356,868923
1598173359,868923
1598173362,868923
1598173365,868923
1598173368,868923
1598173371,868923
1598173374,868923
1598173377,868923
1598173380,868923
1598173383,868923
1598173386,868923
1598173389,868923
1598173392,868923
1598173395,868923
1598173398,868923
1598173401,868923
1598173404,868923
1598173407,868923
1598173410,868923
1598173413,868923
1598173416,868923
1598173419,868923
1598173422,868923
1598173425,868923
1598173428,868923
1598173431,868923
1598173434,868923
1598173437,868923
1598173440,868923
1598173443,868923
1598173446,868923
1598173449,868923
1598173452,868923
1598173455,868923
1598173458,868923
1598173461,868923
1598173464,868923
1598173467,868923
1598173470,868923
1598173473,868923
1598173476,868923
1598173479,868923
1598173482,868923
1598173485,868923
1598173488,868923
1598173491,868923
1598173494,868923
1598173497,868923
1598173500,868923
1598173503,868923
1598173506,868923
1598173509,868923
1598173512,868923
1598173515,868923
1598173518,868923
1598173521,868923
1598173524,868923
1598173527,868923
1598173530,868923
1598173533,868923
1598173536,868923
1598173539,868923
1598173542,868923
1598173545,868923
1598173548,868923
1598173551,868923
1598173554,868923
1598173557,868923
1598173560,868923
1598173563,868923
1598173566,868923
1598173569,868923
1598173572,868923
1598173575,868923
1598173578,868923
1598173581,868923
1598173584,868923
1598173587,868923
1598173590,868923
1598173593,868923
1598173596,868923
1598173599,868923
1598173602,868923
1598173605,868923
1598173608,868923
1598173611,868923
1598173614,868923
1598173617,868923
1598173620,868923
1598173623,868923
1598173626,868923
1598173629,868923
1598173632,868923
1598173635,868923
1598173638,868923
1598173641,868923
1598173644,868923
1598173647,868923
1598173650,868923
1598173653,868923
1598173656,868923
1598173659,868923
1598173662,868923
1598173665,868923
1598173668,868923
1598173671,868923
1598173674,868923
1598173677,868923
1598173680,868923
1598173683,868923
1598173686,868923
1598173689,868923
1598173692,868923
1598173695,868923
1598173698,868923
1598173701,868923
1598173704,868923
1598173707,868923
1598173710,909849
1598173713,909849
1598173716,909849
1598173719,909849
1598173722,909849
1598173725,909849
1598173728,909849
1598173731,909849
1598173734,909849
1598173737,909849
1598173740,909849
1598173743,909849
1598173746,909849
1598173749,909849
1598173752,909849
1598173755,909849
1598173758,909849
1598173761,909849
1598173764,909849
1598173767,909849
1598173770,909849
1598173773,909849
1598173776,909849
1598173779,909849
1598173782,909849
1598173785,909849
1598173788,909849
1598173791,909849
1598173794,909849
1598173797,909849
1598173800,909849
1598173803,909849
1598173806,909849
1598173809,909849
1598173812,909849
1598173815,909849
1598173818,909849
1598173821,909849
1598173824,909849
1598173827,909849
1598173830,909849
1598173833,909849
1598173836,909849
1598173839,909849
