t,value
1624106380,0
1624106383,0
1624106386,0
1624106389,0
1624106392,0
1624106395,0
1624106398,0
1624106401,0
1624106404,0
1624106407,0
1624106410,0
1624106413,0
1624106416,0
1624106419,0
1624106422,0
1624106425,0
1624106428,0
1624106431,0
1624106434,0
1624106437,0
1624106440,0
1624106443,0
1624106446,0
1624106449,0
1624106452,0
1624106455,0
1624106458,0
1624106461,0
1624106464,0
1624106467,0
1624106470,0
1624106473,0
1624106476,0
1624106479,0
1624106482,0
1624106485,0
1624106488,0
1624106491,0
1624106494,0
1624106497,0
1624106500,0
1624106503,0
1624106506,0
1624106509,0
1624106512,0
1624106515,0
1624106518,0
1624106521,0
1624106524,0
1624106527,0
1624106530,0
1624106533,0
1624106536,0
1624106539,0
1624106542,0
1624106545,0
1624106548,0
1624106551,0
1624106554,0
1624106557,0
1624106560,0
1624106563,0
1624106566,0
1624106569,0
1624106572,0
1624106575,0
1624106578,0
1624106581,0
1624106584,0
1624106587,0
1624106590,0
1624106593,0
1624106596,0
1624106599,0
1624106602,0
1624106605,0
1624106608,0
1624106611,0
1624106614,0
1624106617,0
1624106620,0
1624106623,0
1624106626,0
1624106629,0
1624106632,0
1624106635,0
1624106638,0
1624106641,0
1624106644,0
1624106647,0
1624106650,0
1624106653,0
1624106656,0
1624106659,0
1624106662,0
1624106665,0
1624106668,0
1624106671,0
1624106674,0
1624106677,0
1624106680,0
1624106683,0
1624106686,0
1624106689,0
1624106692,0
1624106695,0
1624106698,0
1624106701,0
1624106704,0
1624106707,0
1624106710,0
1624106713,0
1624106716,0
1624106719,0
1624106722,0
1624106725,0
1624106728,0
1624106731,0
1624106734,0
1624106737,0
1624106740,0
1624106743,0
1624106746,0
1624106749,0
1624106752,0
1624106755,0
1624106758,0
1624106761,0
1624106764,0
1624106767,0
1624106770,0
1624106773,0
1624106776,0
1624106779,0
1624106782,0
1624106785,0
1624106788,0
1624106791,0
1624106794,0
1624106826,0
1624106826,0
1624106826,0
1624106826,0
1624106826,0
1624106826,0
1624106826,0
1624106826,0
1624106826,0
1624106826,0
1624106827,0
1624106830,0
1624106833,0
1624106836,0
1624106839,0
1624106842,0
1624106845,0
1624106848,0
1624106851,0
1624106854,0
1624106857,0
1624106860,0
1624106863,0
1624106866,0
1624106869,0
1624106872,0
