t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1623851558,9468,0.026080,0.000000,0.000000,0.000000,events/second
1623851561,9468,0.026080,0.000000,0.000000,0.000000,events/second
1623851564,9468,0.026080,0.000000,0.000000,0.000000,events/second
1623851567,9468,0.026079,0.000000,0.000000,0.000000,events/second
1623851570,9468,0.026079,0.000000,0.000000,0.000000,events/second
1623851573,9468,0.026079,0.000000,0.000000,0.000000,events/second
1623851576,9468,0.026079,0.000000,0.000000,0.000000,events/second
1623851579,9468,0.026079,0.000000,0.000000,0.000000,events/second
1623851582,9468,0.026078,0.000000,0.000000,0.000000,events/second
1623851585,9468,0.026078,0.000000,0.000000,0.000000,events/second
1623851588,9468,0.026078,0.000000,0.000000,0.000000,events/second
1623851591,9468,0.026078,0.000000,0.000000,0.000000,events/second
1623851594,9468,0.026078,0.000000,0.000000,0.000000,events/second
1623851597,9468,0.026077,0.000000,0.000000,0.000000,events/second
1623851600,9468,0.026077,0.000000,0.000000,0.000000,events/second
1623851603,9468,0.026077,0.000000,0.000000,0.000000,events/second
1623851606,9468,0.026077,0.000000,0.000000,0.000000,events/second
1623851609,9468,0.026076,0.000000,0.000000,0.000000,events/second
1623851612,9468,0.026076,0.000000,0.000000,0.000000,events/second
1623851615,9468,0.026076,0.000000,0.000000,0.000000,events/second
1623851618,9468,0.026076,0.000000,0.000000,0.000000,events/second
1623851621,9468,0.026076,0.000000,0.000000,0.000000,events/second
1623851624,9468,0.026075,0.000000,0.000000,0.000000,events/second
1623851627,9468,0.026075,0.000000,0.000000,0.000000,events/second
1623851630,9468,0.026075,0.000000,0.000000,0.000000,events/second
1623851633,9468,0.026075,0.000000,0.000000,0.000000,events/second
1623851636,9468,0.026075,0.000000,0.000000,0.000000,events/second
1623851639,9468,0.026074,0.000000,0.000000,0.000000,events/second
1623851642,9468,0.026074,0.000000,0.000000,0.000000,events/second
1623851645,9468,0.026074,0.000000,0.000000,0.000000,events/second
1623851648,9468,0.026074,0.000000,0.000000,0.000000,events/second
1623851651,9468,0.026073,0.000000,0.000000,0.000000,events/second
1623851654,9468,0.026073,0.000000,0.000000,0.000000,events/second
1623851657,9468,0.026073,0.000000,0.000000,0.000000,events/second
1623851660,9468,0.026073,0.000000,0.000000,0.000000,events/second
1623851663,9468,0.026073,0.000000,0.000000,0.000000,events/second
1623851666,9468,0.026072,0.000000,0.000000,0.000000,events/second
1623851669,9468,0.026072,0.000000,0.000000,0.000000,events/second
1623851672,9468,0.026072,0.000000,0.000000,0.000000,events/second
1623851675,9468,0.026072,0.000000,0.000000,0.000000,events/second
1623851678,9468,0.026072,0.000000,0.000000,0.000000,events/second
1623851681,9468,0.026071,0.000000,0.000000,0.000000,events/second
1623851684,9468,0.026071,0.000000,0.000000,0.000000,events/second
1623851687,9468,0.026071,0.000000,0.000000,0.000000,events/second
1623851690,9468,0.026071,0.000000,0.000000,0.000000,events/second
1623851693,9468,0.026070,0.000000,0.000000,0.000000,events/second
1623851696,9468,0.026070,0.000000,0.000000,0.000000,events/second
1623851699,9468,0.026070,0.000000,0.000000,0.000000,events/second
1623851702,9468,0.026070,0.000000,0.000000,0.000000,events/second
1623851705,9468,0.026070,0.000000,0.000000,0.000000,events/second
1623851708,9468,0.026069,0.000000,0.000000,0.000000,events/second
1623851711,9468,0.026069,0.000000,0.000000,0.000000,events/second
1623851714,9468,0.026069,0.000000,0.000000,0.000000,events/second
1623851717,9468,0.026069,0.000000,0.000000,0.000000,events/second
1623851720,9468,0.026068,0.000000,0.000000,0.000000,events/second
1623851723,9468,0.026068,0.000000,0.000000,0.000000,events/second
1623851726,9468,0.026068,0.000000,0.000000,0.000000,events/second
1623851729,9468,0.026068,0.000000,0.000000,0.000000,events/second
1623851732,9468,0.026068,0.000000,0.000000,0.000000,events/second
1623851735,9468,0.026067,0.000000,0.000000,0.000000,events/second
1623851738,9468,0.026067,0.000000,0.000000,0.000000,events/second
1623851741,9468,0.026067,0.000000,0.000000,0.000000,events/second
1623851744,9468,0.026067,0.000000,0.000000,0.000000,events/second
1623851747,9468,0.026067,0.000000,0.000000,0.000000,events/second
1623851750,9468,0.026066,0.000000,0.000000,0.000000,events/second
