t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599818415,17692,0.050986,0.000000,0.000000,0.000000,events/second
1599818418,17692,0.050985,0.000000,0.000000,0.000000,events/second
1599818421,17692,0.050985,0.000000,0.000000,0.000000,events/second
1599818424,17692,0.050984,0.000000,0.000000,0.000000,events/second
1599818427,17692,0.050984,0.000000,0.000000,0.000000,events/second
1599818430,17692,0.050983,0.000000,0.000000,0.000000,events/second
1599818433,17693,0.050986,0.000000,0.000000,0.000000,events/second
1599818436,17693,0.050985,0.000000,0.000000,0.000000,events/second
1599818439,17693,0.050985,0.000000,0.000000,0.000000,events/second
1599818442,17693,0.050984,0.000000,0.000000,0.000000,events/second
1599818445,17693,0.050984,0.000000,0.000000,0.000000,events/second
1599818448,17693,0.050984,0.000000,0.000000,0.000000,events/second
1599818451,17693,0.050983,0.000000,0.000000,0.000000,events/second
1599818454,17694,0.050986,0.000000,0.000000,0.000000,events/second
1599818457,17694,0.050985,0.000000,0.000000,0.000000,events/second
1599818460,17694,0.050985,0.000000,0.000000,0.000000,events/second
1599818463,17694,0.050984,0.000000,0.000000,0.000000,events/second
1599818466,17694,0.050984,0.000000,0.000000,0.000000,events/second
1599818469,17694,0.050983,0.000000,0.000000,0.000000,events/second
1599818472,17695,0.050986,0.000000,0.000000,0.000000,events/second
1599818475,17695,0.050985,0.000000,0.000000,0.000000,events/second
1599818478,17695,0.050985,0.000000,0.000000,0.000000,events/second
1599818481,17695,0.050984,0.000000,0.000000,0.000000,events/second
1599818484,17695,0.050984,0.000000,0.000000,0.000000,events/second
1599818487,17695,0.050984,0.000000,0.000000,0.000000,events/second
1599818490,17695,0.050983,0.000000,0.000000,0.000000,events/second
1599818493,17696,0.050986,0.000000,0.000000,0.000000,events/second
1599818496,17696,0.050985,0.000000,0.000000,0.000000,events/second
1599818499,17696,0.050985,0.000000,0.000000,0.000000,events/second
1599818502,17696,0.050984,0.000000,0.000000,0.000000,events/second
1599818505,17696,0.050984,0.000000,0.000000,0.000000,events/second
1599818508,17696,0.050983,0.000000,0.000000,0.000000,events/second
1599818511,17696,0.050983,0.000000,0.000000,0.000000,events/second
1599818514,17697,0.050985,0.000000,0.000000,0.000000,events/second
1599818517,17697,0.050985,0.000000,0.000000,0.000000,events/second
1599818520,17697,0.050984,0.000000,0.000000,0.000000,events/second
1599818523,17697,0.050984,0.000000,0.000000,0.000000,events/second
1599818526,17697,0.050984,0.000000,0.000000,0.000000,events/second
1599818529,17697,0.050983,0.000000,0.000000,0.000000,events/second
1599818532,17698,0.050986,0.000000,0.000000,0.000000,events/second
1599818535,17698,0.050985,0.000000,0.000000,0.000000,events/second
1599818538,17698,0.050985,0.000000,0.000000,0.000000,events/second
1599818541,17698,0.050984,0.000000,0.000000,0.000000,events/second
1599818544,17698,0.050984,0.000000,0.000000,0.000000,events/second
1599818547,17698,0.050983,0.000000,0.000000,0.000000,events/second
1599818550,17698,0.050983,0.000000,0.000000,0.000000,events/second
1599818553,17699,0.050985,0.000000,0.000000,0.000000,events/second
1599818556,17699,0.050985,0.000000,0.000000,0.000000,events/second
1599818559,17699,0.050985,0.000000,0.000000,0.000000,events/second
1599818562,17699,0.050984,0.000000,0.000000,0.000000,events/second
1599818565,17699,0.050984,0.000000,0.000000,0.000000,events/second
1599818568,17699,0.050983,0.000000,0.000000,0.000000,events/second
1599818571,17699,0.050983,0.000000,0.000000,0.000000,events/second
1599818574,17700,0.050985,0.000000,0.000000,0.000000,events/second
1599818577,17700,0.050985,0.000000,0.000000,0.000000,events/second
1599818580,17700,0.050984,0.000000,0.000000,0.000000,events/second
1599818583,17700,0.050984,0.000000,0.000000,0.000000,events/second
1599818586,17700,0.050983,0.000000,0.000000,0.000000,events/second
1599818589,17700,0.050983,0.000000,0.000000,0.000000,events/second
1599818592,17701,0.050985,0.000000,0.000000,0.000000,events/second
1599818595,17701,0.050985,0.000000,0.000000,0.000000,events/second
1599818598,17701,0.050985,0.000000,0.000000,0.000000,events/second
1599818601,17701,0.050984,0.000000,0.000000,0.000000,events/second
1599818604,17701,0.050984,0.000000,0.000000,0.000000,events/second
1599818607,17701,0.050983,0.000000,0.000000,0.000000,events/second
1599818610,17701,0.050983,0.000000,0.000000,0.000000,events/second
1599818613,17702,0.050985,0.000000,0.000000,0.000000,events/second
1599818616,17702,0.050985,0.000000,0.000000,0.000000,events/second
1599818619,17702,0.050984,0.000000,0.000000,0.000000,events/second
1599818622,17702,0.050984,0.000000,0.000000,0.000000,events/second
1599818625,17702,0.050983,0.000000,0.000000,0.000000,events/second
1599818628,17702,0.050983,0.000000,0.000000,0.000000,events/second
1599818631,17702,0.050983,0.000000,0.000000,0.000000,events/second
1599818634,17703,0.050985,0.000000,0.000000,0.000000,events/second
1599818637,17703,0.050985,0.000000,0.000000,0.000000,events/second
1599818640,17703,0.050984,0.000000,0.000000,0.000000,events/second
1599818643,17703,0.050984,0.000000,0.000000,0.000000,events/second
1599818646,17703,0.050983,0.000000,0.000000,0.000000,events/second
1599818649,17703,0.050983,0.000000,0.000000,0.000000,events/second
1599818652,17704,0.050985,0.000000,0.000000,0.000000,events/second
