t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599840651,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840654,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840657,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840660,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840663,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840666,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840669,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840672,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840675,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840678,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840681,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840684,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840687,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840690,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840693,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840696,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840699,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840702,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840705,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840708,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840711,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840714,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840717,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840720,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840723,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840726,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840729,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840732,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840735,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840738,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840741,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840744,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840747,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840750,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840753,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840756,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840759,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840762,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840765,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840768,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840771,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840774,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840777,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840780,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840783,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840786,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840789,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840792,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840795,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840798,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840801,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840804,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840807,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840810,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840813,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840816,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840819,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840822,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840825,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840828,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840831,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840834,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840837,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840840,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840843,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840846,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840849,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840852,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840855,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840858,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840861,8,0.000022,0.000000,0.000000,0.000000,events/second
1599840864,8,0.000022,0.000000,0.000000,0.000000,events/second
