t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599827520,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827523,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827526,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827529,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827532,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827535,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827538,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827541,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827544,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827547,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827550,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827553,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827556,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827559,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827562,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827565,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827568,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827571,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827574,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827577,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827580,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827583,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827586,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827589,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827592,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827595,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827598,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827601,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827604,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827607,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827610,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827613,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827616,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827619,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827622,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827625,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827628,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827631,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827634,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827637,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827640,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827643,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827646,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827649,186,0.000522,0.000000,0.000000,0.000000,events/second
1599827652,186,0.000522,0.000000,0.000000,0.000000,events/second
