t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1624106947,338,0.000819,0.000000,0.000000,0.000000,events/second
1624106950,338,0.000818,0.000000,0.000000,0.000000,events/second
1624106953,338,0.000818,0.000000,0.000000,0.000000,events/second
1624106956,338,0.000818,0.000000,0.000000,0.000000,events/second
1624106959,338,0.000818,0.000000,0.000000,0.000000,events/second
1624106962,338,0.000818,0.000000,0.000000,0.000000,events/second
1624106965,338,0.000818,0.000000,0.000000,0.000000,events/second
1624106968,338,0.000818,0.000000,0.000000,0.000000,events/second
1624106971,338,0.000818,0.000000,0.000000,0.000000,events/second
1624106974,338,0.000818,0.000000,0.000000,0.000000,events/second
1624106977,338,0.000818,0.000000,0.000000,0.000000,events/second
1624106980,338,0.000818,0.000000,0.000000,0.000000,events/second
1624106983,338,0.000818,0.000000,0.000000,0.000000,events/second
1624106986,338,0.000818,0.000000,0.000000,0.000000,events/second
1624106989,338,0.000818,0.000000,0.000000,0.000000,events/second
1624106992,338,0.000818,0.000000,0.000000,0.000000,events/second
1624106995,338,0.000818,0.000000,0.000000,0.000000,events/second
1624106998,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107001,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107004,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107007,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107010,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107013,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107016,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107019,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107022,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107025,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107028,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107031,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107034,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107037,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107040,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107043,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107046,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107049,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107052,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107055,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107058,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107061,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107064,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107067,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107070,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107073,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107076,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107079,338,0.000818,0.000000,0.000000,0.000000,events/second
1624107082,338,0.000818,0.000000,0.000000,0.000000,events/second
