t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1624356321,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356324,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356327,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356330,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356333,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356336,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356339,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356342,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356345,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356348,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356351,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356354,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356357,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356360,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356363,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356366,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356369,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356372,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356375,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356378,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356381,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356384,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356387,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356390,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356393,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356396,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356399,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356402,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356405,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356408,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356411,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356414,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356417,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356420,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356423,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356426,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356429,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356432,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356435,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356438,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356441,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356444,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356447,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356450,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356453,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356456,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356459,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356462,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356465,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356468,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356471,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356474,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356477,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356480,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356483,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356486,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356489,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356492,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356495,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356498,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356501,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356504,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356507,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356510,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356513,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356516,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356519,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356522,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356525,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356528,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356531,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356534,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356537,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356540,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356543,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356546,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356549,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356552,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356555,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356558,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356561,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356564,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356567,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356570,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356573,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356576,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356579,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356582,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356585,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356588,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356591,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356594,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356597,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356600,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356603,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356606,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356609,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356612,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356615,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356618,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356621,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356624,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356627,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356630,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356633,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356636,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356639,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356642,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356645,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356648,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356651,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356654,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356657,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356660,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356663,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356666,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356669,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356672,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356675,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356678,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356681,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356684,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356687,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356690,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356693,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356696,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356699,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356702,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356705,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356708,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356711,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356714,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356717,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356720,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356723,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356726,1,0.000002,0.000000,0.000000,0.000000,events/second
1624356729,1,0.000002,0.000000,0.000000,0.000000,events/second
