t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1624285161,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285164,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285167,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285170,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285173,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285176,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285179,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285182,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285185,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285188,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285191,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285194,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285197,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285200,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285203,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285206,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285209,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285212,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285215,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285218,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285221,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285224,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285227,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285230,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285233,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285236,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285239,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285242,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285245,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285248,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285251,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285254,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285257,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285260,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285263,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285266,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285269,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285272,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285275,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285278,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285281,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285284,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285287,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285290,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285293,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285296,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285299,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285302,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285305,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285308,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285311,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285314,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285317,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285320,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285323,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285326,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285329,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285332,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285335,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285338,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285341,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285344,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285347,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285350,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285353,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285356,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285359,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285362,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285365,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285368,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285371,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285374,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285377,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285380,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285383,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285386,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285389,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285392,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285395,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285398,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285401,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285404,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285407,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285410,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285413,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285416,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285419,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285422,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285425,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285428,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285431,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285434,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285437,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285440,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285443,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285446,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285449,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285452,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285455,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285458,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285461,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285464,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285467,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285470,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285473,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285476,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285479,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285482,6,0.000012,0.000000,0.000000,0.000000,events/second
1624285485,6,0.000012,0.000000,0.000000,0.000000,events/second
