t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599842544,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842547,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842550,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842553,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842556,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842559,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842562,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842565,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842568,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842571,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842574,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842577,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842580,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842583,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842586,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842589,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842592,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842595,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842598,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842601,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842604,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842607,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842610,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842613,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842616,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842619,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842622,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842625,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842628,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842631,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842634,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842637,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842640,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842643,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842646,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842649,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842652,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842655,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842658,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842661,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842664,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842667,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842670,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842673,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842676,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842679,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842682,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842685,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842688,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842691,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842694,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842697,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842700,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842703,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842706,0,0.000000,0.000000,0.000000,0.000000,events/second
1599842709,0,0.000000,0.000000,0.000000,0.000000,events/second
