t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599818367,17726,0.051091,0.000000,0.000000,0.000000,events/second
1599818370,17726,0.051090,0.000000,0.000000,0.000000,events/second
1599818373,17727,0.051093,0.000000,0.000000,0.000000,events/second
1599818376,17727,0.051092,0.000000,0.000000,0.000000,events/second
1599818379,17727,0.051092,0.000000,0.000000,0.000000,events/second
1599818382,17727,0.051091,0.000000,0.000000,0.000000,events/second
1599818385,17727,0.051091,0.000000,0.000000,0.000000,events/second
1599818388,17727,0.051090,0.000000,0.000000,0.000000,events/second
1599818391,17727,0.051090,0.000000,0.000000,0.000000,events/second
1599818394,17728,0.051092,0.000000,0.000000,0.000000,events/second
1599818397,17728,0.051092,0.000000,0.000000,0.000000,events/second
1599818400,17728,0.051091,0.000000,0.000000,0.000000,events/second
1599818403,17728,0.051091,0.000000,0.000000,0.000000,events/second
1599818406,17728,0.051091,0.000000,0.000000,0.000000,events/second
1599818409,17728,0.051090,0.000000,0.000000,0.000000,events/second
1599818412,17729,0.051093,0.000000,0.000000,0.000000,events/second
1599818415,17729,0.051092,0.000000,0.000000,0.000000,events/second
1599818418,17729,0.051092,0.000000,0.000000,0.000000,events/second
1599818421,17729,0.051091,0.000000,0.000000,0.000000,events/second
1599818424,17729,0.051091,0.000000,0.000000,0.000000,events/second
1599818427,17729,0.051090,0.000000,0.000000,0.000000,events/second
1599818430,17729,0.051090,0.000000,0.000000,0.000000,events/second
1599818433,17730,0.051092,0.000000,0.000000,0.000000,events/second
1599818436,17730,0.051092,0.000000,0.000000,0.000000,events/second
1599818439,17730,0.051091,0.000000,0.000000,0.000000,events/second
1599818442,17730,0.051091,0.000000,0.000000,0.000000,events/second
1599818445,17730,0.051091,0.000000,0.000000,0.000000,events/second
1599818448,17730,0.051090,0.000000,0.000000,0.000000,events/second
1599818451,17730,0.051090,0.000000,0.000000,0.000000,events/second
1599818454,17731,0.051092,0.000000,0.000000,0.000000,events/second
1599818457,17731,0.051092,0.000000,0.000000,0.000000,events/second
1599818460,17731,0.051091,0.000000,0.000000,0.000000,events/second
1599818463,17731,0.051091,0.000000,0.000000,0.000000,events/second
1599818466,17731,0.051090,0.000000,0.000000,0.000000,events/second
1599818469,17731,0.051090,0.000000,0.000000,0.000000,events/second
1599818472,17732,0.051092,0.000000,0.000000,0.000000,events/second
1599818475,17732,0.051092,0.000000,0.000000,0.000000,events/second
1599818478,17732,0.051092,0.000000,0.000000,0.000000,events/second
1599818481,17732,0.051091,0.000000,0.000000,0.000000,events/second
1599818484,17732,0.051091,0.000000,0.000000,0.000000,events/second
1599818487,17732,0.051090,0.000000,0.000000,0.000000,events/second
1599818490,17732,0.051090,0.000000,0.000000,0.000000,events/second
1599818493,17733,0.051092,0.000000,0.000000,0.000000,events/second
1599818496,17733,0.051092,0.000000,0.000000,0.000000,events/second
1599818499,17733,0.051091,0.000000,0.000000,0.000000,events/second
1599818502,17733,0.051091,0.000000,0.000000,0.000000,events/second
1599818505,17733,0.051090,0.000000,0.000000,0.000000,events/second
1599818508,17733,0.051090,0.000000,0.000000,0.000000,events/second
1599818511,17733,0.051090,0.000000,0.000000,0.000000,events/second
1599818514,17734,0.051092,0.000000,0.000000,0.000000,events/second
1599818517,17734,0.051092,0.000000,0.000000,0.000000,events/second
1599818520,17734,0.051091,0.000000,0.000000,0.000000,events/second
1599818523,17734,0.051091,0.000000,0.000000,0.000000,events/second
1599818526,17734,0.051090,0.000000,0.000000,0.000000,events/second
1599818529,17734,0.051090,0.000000,0.000000,0.000000,events/second
1599818532,17735,0.051092,0.000000,0.000000,0.000000,events/second
1599818535,17735,0.051092,0.000000,0.000000,0.000000,events/second
1599818538,17735,0.051091,0.000000,0.000000,0.000000,events/second
1599818541,17735,0.051091,0.000000,0.000000,0.000000,events/second
1599818544,17735,0.051090,0.000000,0.000000,0.000000,events/second
1599818547,17735,0.051090,0.000000,0.000000,0.000000,events/second
1599818550,17735,0.051090,0.000000,0.000000,0.000000,events/second
1599818553,17736,0.051092,0.000000,0.000000,0.000000,events/second
1599818556,17736,0.051092,0.000000,0.000000,0.000000,events/second
1599818559,17736,0.051091,0.000000,0.000000,0.000000,events/second
1599818562,17736,0.051091,0.000000,0.000000,0.000000,events/second
1599818565,17736,0.051090,0.000000,0.000000,0.000000,events/second
1599818568,17736,0.051090,0.000000,0.000000,0.000000,events/second
1599818571,17736,0.051089,0.000000,0.000000,0.000000,events/second
1599818574,17737,0.051092,0.000000,0.000000,0.000000,events/second
1599818577,17737,0.051091,0.000000,0.000000,0.000000,events/second
1599818580,17737,0.051091,0.000000,0.000000,0.000000,events/second
1599818583,17737,0.051090,0.000000,0.000000,0.000000,events/second
1599818586,17737,0.051090,0.000000,0.000000,0.000000,events/second
1599818589,17737,0.051090,0.000000,0.000000,0.000000,events/second
1599818592,17738,0.051092,0.000000,0.000000,0.000000,events/second
1599818595,17738,0.051092,0.000000,0.000000,0.000000,events/second
1599818598,17738,0.051091,0.000000,0.000000,0.000000,events/second
1599818601,17738,0.051091,0.000000,0.000000,0.000000,events/second
1599818604,17738,0.051090,0.000000,0.000000,0.000000,events/second
1599818607,17738,0.051090,0.000000,0.000000,0.000000,events/second
1599818610,17738,0.051089,0.000000,0.000000,0.000000,events/second
1599818613,17739,0.051092,0.000000,0.000000,0.000000,events/second
1599818616,17739,0.051091,0.000000,0.000000,0.000000,events/second
1599818619,17739,0.051091,0.000000,0.000000,0.000000,events/second
1599818622,17739,0.051090,0.000000,0.000000,0.000000,events/second
1599818625,17739,0.051090,0.000000,0.000000,0.000000,events/second
1599818628,17739,0.051090,0.000000,0.000000,0.000000,events/second
1599818631,17739,0.051089,0.000000,0.000000,0.000000,events/second
1599818634,17740,0.051092,0.000000,0.000000,0.000000,events/second
1599818637,17740,0.051091,0.000000,0.000000,0.000000,events/second
1599818640,17740,0.051091,0.000000,0.000000,0.000000,events/second
1599818643,17740,0.051090,0.000000,0.000000,0.000000,events/second
1599818646,17740,0.051090,0.000000,0.000000,0.000000,events/second
1599818649,17740,0.051089,0.000000,0.000000,0.000000,events/second
1599818652,17741,0.051092,0.000000,0.000000,0.000000,events/second
1599818655,17741,0.051091,0.000000,0.000000,0.000000,events/second
1599818658,17741,0.051091,0.000000,0.000000,0.000000,events/second
1599818661,17741,0.051090,0.000000,0.000000,0.000000,events/second
1599818664,17741,0.051090,0.000000,0.000000,0.000000,events/second
1599818667,17741,0.051090,0.000000,0.000000,0.000000,events/second
1599818670,17741,0.051089,0.000000,0.000000,0.000000,events/second
1599818673,17742,0.051092,0.000000,0.000000,0.000000,events/second
1599818676,17742,0.051091,0.000000,0.000000,0.000000,events/second
1599818679,17742,0.051091,0.000000,0.000000,0.000000,events/second
1599818682,17742,0.051090,0.000000,0.000000,0.000000,events/second
1599818685,17742,0.051090,0.000000,0.000000,0.000000,events/second
1599818688,17742,0.051089,0.000000,0.000000,0.000000,events/second
1599818691,17742,0.051089,0.000000,0.000000,0.000000,events/second
1599818694,17743,0.051091,0.000000,0.000000,0.000000,events/second
1599818697,17743,0.051091,0.000000,0.000000,0.000000,events/second
1599818700,17743,0.051091,0.000000,0.000000,0.000000,events/second
1599818703,17743,0.051090,0.000000,0.000000,0.000000,events/second
1599818706,17743,0.051090,0.000000,0.000000,0.000000,events/second
1599818709,17743,0.051089,0.000000,0.000000,0.000000,events/second
1599818712,17744,0.051092,0.000000,0.000000,0.000000,events/second
1599818715,17744,0.051091,0.000000,0.000000,0.000000,events/second
1599818718,17744,0.051091,0.000000,0.000000,0.000000,events/second
1599818721,17744,0.051090,0.000000,0.000000,0.000000,events/second
1599818724,17744,0.051090,0.000000,0.000000,0.000000,events/second
1599818727,17744,0.051089,0.000000,0.000000,0.000000,events/second
1599818730,17744,0.051089,0.000000,0.000000,0.000000,events/second
1599818733,17745,0.051091,0.000000,0.000000,0.000000,events/second
1599818736,17745,0.051091,0.000000,0.000000,0.000000,events/second
1599818739,17745,0.051091,0.000000,0.000000,0.000000,events/second
1599818742,17745,0.051090,0.000000,0.000000,0.000000,events/second
1599818745,17745,0.051090,0.000000,0.000000,0.000000,events/second
1599818748,17745,0.051089,0.000000,0.000000,0.000000,events/second
1599818751,17745,0.051089,0.000000,0.000000,0.000000,events/second
1599818754,17746,0.051091,0.000000,0.000000,0.000000,events/second
1599818757,17746,0.051091,0.000000,0.000000,0.000000,events/second
1599818760,17746,0.051090,0.000000,0.000000,0.000000,events/second
1599818763,17746,0.051090,0.000000,0.000000,0.000000,events/second
1599818766,17746,0.051089,0.000000,0.000000,0.000000,events/second
1599818769,17746,0.051089,0.000000,0.000000,0.000000,events/second
1599818772,17747,0.051091,0.000000,0.000000,0.000000,events/second
1599818775,17747,0.051091,0.000000,0.000000,0.000000,events/second
1599818778,17747,0.051091,0.000000,0.000000,0.000000,events/second
1599818781,17747,0.051090,0.000000,0.000000,0.000000,events/second
1599818784,17747,0.051090,0.000000,0.000000,0.000000,events/second
1599818787,17747,0.051089,0.000000,0.000000,0.000000,events/second
1599818790,17747,0.051089,0.000000,0.000000,0.000000,events/second
1599818793,17748,0.051091,0.000000,0.000000,0.000000,events/second
1599818796,17748,0.051091,0.000000,0.000000,0.000000,events/second
1599818799,17748,0.051090,0.000000,0.000000,0.000000,events/second
1599818802,17748,0.051090,0.000000,0.000000,0.000000,events/second
1599818805,17748,0.051089,0.000000,0.000000,0.000000,events/second
1599818808,17748,0.051089,0.000000,0.000000,0.000000,events/second
1599818811,17748,0.051089,0.000000,0.000000,0.000000,events/second
1599818814,17749,0.051091,0.000000,0.000000,0.000000,events/second
1599818817,17749,0.051091,0.000000,0.000000,0.000000,events/second
1599818820,17749,0.051090,0.000000,0.000000,0.000000,events/second
1599818823,17749,0.051090,0.000000,0.000000,0.000000,events/second
1599818826,17749,0.051089,0.000000,0.000000,0.000000,events/second
1599818829,17749,0.051089,0.000000,0.000000,0.000000,events/second
1599818832,17750,0.051091,0.000000,0.000000,0.000000,events/second
1599818835,17750,0.051091,0.000000,0.000000,0.000000,events/second
1599818838,17750,0.051090,0.000000,0.000000,0.000000,events/second
1599818841,17750,0.051090,0.000000,0.000000,0.000000,events/second
1599818844,17750,0.051089,0.000000,0.000000,0.000000,events/second
1599818847,17750,0.051089,0.000000,0.000000,0.000000,events/second
1599818850,17750,0.051089,0.000000,0.000000,0.000000,events/second
1599818853,17751,0.051091,0.000000,0.000000,0.000000,events/second
1599818856,17751,0.051091,0.000000,0.000000,0.000000,events/second
1599818859,17751,0.051090,0.000000,0.000000,0.000000,events/second
1599818862,17751,0.051090,0.000000,0.000000,0.000000,events/second
1599818865,17751,0.051089,0.000000,0.000000,0.000000,events/second
1599818868,17751,0.051089,0.000000,0.000000,0.000000,events/second
1599818871,17751,0.051088,0.000000,0.000000,0.000000,events/second
1599818874,17752,0.051091,0.000000,0.000000,0.000000,events/second
1599818877,17752,0.051090,0.000000,0.000000,0.000000,events/second
1599818880,17752,0.051090,0.000000,0.000000,0.000000,events/second
1599818883,17752,0.051090,0.000000,0.000000,0.000000,events/second
1599818886,17752,0.051089,0.000000,0.000000,0.000000,events/second
1599818889,17752,0.051089,0.000000,0.000000,0.000000,events/second
1599818892,17753,0.051091,0.000000,0.000000,0.000000,events/second
1599818895,17753,0.051091,0.000000,0.000000,0.000000,events/second
1599818898,17753,0.051090,0.000000,0.000000,0.000000,events/second
1599818901,17753,0.051090,0.000000,0.000000,0.000000,events/second
1599818904,17753,0.051089,0.000000,0.000000,0.000000,events/second
1599818907,17753,0.051089,0.000000,0.000000,0.000000,events/second
1599818910,17753,0.051088,0.000000,0.000000,0.000000,events/second
1599818913,17754,0.051091,0.000000,0.000000,0.000000,events/second
1599818916,17754,0.051090,0.000000,0.000000,0.000000,events/second
1599818919,17754,0.051090,0.000000,0.000000,0.000000,events/second
1599818922,17754,0.051090,0.000000,0.000000,0.000000,events/second
1599818925,17754,0.051089,0.000000,0.000000,0.000000,events/second
1599818928,17754,0.051089,0.000000,0.000000,0.000000,events/second
1599818931,17754,0.051088,0.000000,0.000000,0.000000,events/second
1599818934,17755,0.051091,0.000000,0.000000,0.000000,events/second
1599818937,17755,0.051090,0.000000,0.000000,0.000000,events/second
1599818940,17755,0.051090,0.000000,0.000000,0.000000,events/second
1599818943,17755,0.051089,0.000000,0.000000,0.000000,events/second
1599818946,17755,0.051089,0.000000,0.000000,0.000000,events/second
1599818949,17755,0.051088,0.000000,0.000000,0.000000,events/second
1599818952,17756,0.051091,0.000000,0.000000,0.000000,events/second
1599818955,17756,0.051090,0.000000,0.000000,0.000000,events/second
1599818958,17756,0.051090,0.000000,0.000000,0.000000,events/second
1599818961,17756,0.051090,0.000000,0.000000,0.000000,events/second
1599818964,17756,0.051089,0.000000,0.000000,0.000000,events/second
1599818967,17756,0.051089,0.000000,0.000000,0.000000,events/second
1599818970,17756,0.051088,0.000000,0.000000,0.000000,events/second
1599818973,17757,0.051091,0.000000,0.000000,0.000000,events/second
1599818976,17757,0.051090,0.000000,0.000000,0.000000,events/second
1599818979,17757,0.051090,0.000000,0.000000,0.000000,events/second
1599818982,17757,0.051089,0.000000,0.000000,0.000000,events/second
1599818985,17757,0.051089,0.000000,0.000000,0.000000,events/second
1599818988,17757,0.051088,0.000000,0.000000,0.000000,events/second
1599818991,17757,0.051088,0.000000,0.000000,0.000000,events/second
1599818994,17758,0.051090,0.000000,0.000000,0.000000,events/second
1599818997,17758,0.051090,0.000000,0.000000,0.000000,events/second
1599819000,17758,0.051090,0.000000,0.000000,0.000000,events/second
1599819003,17758,0.051089,0.000000,0.000000,0.000000,events/second
1599819006,17758,0.051089,0.000000,0.000000,0.000000,events/second
1599819009,17758,0.051088,0.000000,0.000000,0.000000,events/second
1599819012,17759,0.051091,0.000000,0.000000,0.000000,events/second
1599819015,17759,0.051090,0.000000,0.000000,0.000000,events/second
1599819018,17759,0.051090,0.000000,0.000000,0.000000,events/second
1599819021,17759,0.051089,0.000000,0.000000,0.000000,events/second
1599819024,17759,0.051089,0.000000,0.000000,0.000000,events/second
1599819027,17759,0.051088,0.000000,0.000000,0.000000,events/second
1599819030,17759,0.051088,0.000000,0.000000,0.000000,events/second
1599819033,17760,0.051090,0.000000,0.000000,0.000000,events/second
1599819036,17760,0.051090,0.000000,0.000000,0.000000,events/second
1599819039,17760,0.051090,0.000000,0.000000,0.000000,events/second
1599819042,17760,0.051089,0.000000,0.000000,0.000000,events/second
1599819045,17760,0.051089,0.000000,0.000000,0.000000,events/second
1599819048,17760,0.051088,0.000000,0.000000,0.000000,events/second
1599819051,17760,0.051088,0.000000,0.000000,0.000000,events/second
1599819054,17761,0.051090,0.000000,0.000000,0.000000,events/second
1599819057,17761,0.051090,0.000000,0.000000,0.000000,events/second
1599819060,17761,0.051089,0.000000,0.000000,0.000000,events/second
1599819063,17761,0.051089,0.000000,0.000000,0.000000,events/second
1599819066,17761,0.051089,0.000000,0.000000,0.000000,events/second
1599819069,17761,0.051088,0.000000,0.000000,0.000000,events/second
1599819072,17762,0.051090,0.000000,0.000000,0.000000,events/second
1599819075,17762,0.051090,0.000000,0.000000,0.000000,events/second
1599819078,17762,0.051090,0.000000,0.000000,0.000000,events/second
1599819081,17762,0.051089,0.000000,0.000000,0.000000,events/second
1599819084,17762,0.051089,0.000000,0.000000,0.000000,events/second
1599819087,17762,0.051088,0.000000,0.000000,0.000000,events/second
1599819090,17762,0.051088,0.000000,0.000000,0.000000,events/second
1599819093,17763,0.051090,0.000000,0.000000,0.000000,events/second
1599819096,17763,0.051090,0.000000,0.000000,0.000000,events/second
1599819099,17763,0.051089,0.000000,0.000000,0.000000,events/second
1599819102,17763,0.051089,0.000000,0.000000,0.000000,events/second
1599819105,17763,0.051089,0.000000,0.000000,0.000000,events/second
1599819108,17763,0.051088,0.000000,0.000000,0.000000,events/second
1599819111,17763,0.051088,0.000000,0.000000,0.000000,events/second
1599819114,17764,0.051090,0.000000,0.000000,0.000000,events/second
1599819117,17764,0.051090,0.000000,0.000000,0.000000,events/second
1599819120,17764,0.051089,0.000000,0.000000,0.000000,events/second
1599819123,17764,0.051089,0.000000,0.000000,0.000000,events/second
1599819126,17764,0.051088,0.000000,0.000000,0.000000,events/second
1599819129,17764,0.051088,0.000000,0.000000,0.000000,events/second
1599819132,17765,0.051090,0.000000,0.000000,0.000000,events/second
1599819135,17765,0.051090,0.000000,0.000000,0.000000,events/second
1599819138,17765,0.051089,0.000000,0.000000,0.000000,events/second
1599819141,17765,0.051089,0.000000,0.000000,0.000000,events/second
