t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599842541,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842544,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842547,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842550,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842553,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842556,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842559,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842562,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842565,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842568,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842571,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842574,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842577,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842580,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842583,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842586,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842589,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842592,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842595,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842598,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842601,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842604,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842607,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842610,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842613,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842616,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842619,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842622,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842625,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842628,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842631,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842634,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842637,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842640,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842643,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842646,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842649,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842652,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842655,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842658,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842661,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842664,6,0.000016,0.000000,0.000000,0.000000,events/second
1599842667,6,0.000016,0.000000,0.000000,0.000000,events/second
