t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1624137324,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137327,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137330,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137333,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137336,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137339,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137342,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137345,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137348,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137351,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137354,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137357,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137360,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137363,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137366,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137369,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137372,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137375,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137378,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137381,39,0.000093,0.000000,0.000000,0.000000,events/second
1624137384,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140569,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140571,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140574,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140577,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140580,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140583,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140586,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140589,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140592,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140595,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140598,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140601,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140604,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140607,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140610,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140613,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140616,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140619,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140622,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140625,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140628,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140631,39,0.000093,0.000000,0.000000,0.000000,events/second
1624140634,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143819,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143821,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143824,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143827,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143830,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143833,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143836,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143839,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143842,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143845,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143848,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143851,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143854,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143857,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143860,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143863,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143866,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143869,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143872,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143875,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143878,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143881,39,0.000093,0.000000,0.000000,0.000000,events/second
1624143884,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147071,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147073,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147076,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147079,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147082,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147085,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147088,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147091,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147094,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147097,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147100,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147103,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147106,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147109,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147112,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147115,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147118,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147121,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147124,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147127,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147130,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147133,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147136,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147139,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147142,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147145,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147148,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147151,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147154,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147157,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147160,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147163,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147166,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147169,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147172,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147175,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147178,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147181,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147184,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147187,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147190,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147193,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147196,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147199,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147202,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147205,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147208,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147211,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147214,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147217,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147220,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147223,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147226,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147229,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147232,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147235,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147238,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147241,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147244,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147247,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147250,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147253,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147256,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147259,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147262,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147265,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147268,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147271,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147274,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147277,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147280,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147283,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147286,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147289,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147292,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147295,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147298,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147301,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147304,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147307,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147310,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147313,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147316,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147319,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147322,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147325,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147328,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147331,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147334,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147337,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147340,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147343,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147346,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147349,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147352,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147355,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147358,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147361,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147364,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147367,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147370,39,0.000093,0.000000,0.000000,0.000000,events/second
1624147373,39,0.000092,0.000000,0.000000,0.000000,events/second
1624147376,39,0.000092,0.000000,0.000000,0.000000,events/second
1624147379,39,0.000092,0.000000,0.000000,0.000000,events/second
1624147382,39,0.000092,0.000000,0.000000,0.000000,events/second
1624147385,39,0.000092,0.000000,0.000000,0.000000,events/second
1624147388,39,0.000092,0.000000,0.000000,0.000000,events/second
1624147391,39,0.000092,0.000000,0.000000,0.000000,events/second
1624147394,39,0.000092,0.000000,0.000000,0.000000,events/second
1624147397,39,0.000092,0.000000,0.000000,0.000000,events/second
1624147400,39,0.000092,0.000000,0.000000,0.000000,events/second
1624147403,39,0.000092,0.000000,0.000000,0.000000,events/second
1624147406,39,0.000092,0.000000,0.000000,0.000000,events/second
