t,value
1622048158,1.0
1622048161,1.0
1622048164,1.0
1622048167,1.0
1622048170,1.0
1622048173,1.0
1622048176,1.0
1622048179,1.0
1622048182,1.0
1622048185,1.0
1622048188,1.0
1622048191,1.0
1622048194,1.0
1622048197,1.0
1622048200,1.0
1622048203,1.0
1622048206,1.0
1622048209,1.0
1622048212,1.0
1622048215,1.0
1622048218,1.0
1622048221,1.0
1622048224,1.0
1622048227,1.0
1622048230,1.0
1622048233,1.0
1622048236,1.0
1622048239,1.0
1622048242,1.0
1622048245,1.0
1622048248,1.0
1622048251,1.0
1622048254,1.0
1622048257,1.0
1622048260,1.0
1622048263,1.0
1622048266,1.0
1622048269,1.0
1622048272,1.0
1622048275,1.0
1622048278,1.0
1622048281,1.0
1622048284,1.0
1622048287,1.0
1622048290,1.0
1622048293,1.0
1622048296,1.0
1622048299,1.0
1622048302,1.0
1622048305,1.0
1622048308,1.0
1622048311,1.0
1622048314,1.0
1622048317,1.0
1622048320,1.0
1622048323,1.0
1622048326,1.0
1622048329,1.0
1622048332,1.0
1622048335,1.0
1622048338,1.0
1622048341,1.0
1622048344,1.0
1622048347,1.0
1622048350,1.0
1622048353,1.0
1622048356,1.0
1622048359,1.0
1622048362,1.0
1622048365,1.0
1622048368,1.0
1622048371,1.0
1622048374,1.0
1622048377,1.0
1622048380,1.0
1622048383,1.0
1622048386,1.0
1622048389,1.0
1622048392,1.0
1622048395,1.0
1622048398,1.0
1622048401,1.0
1622048404,1.0
1622048407,1.0
1622048410,1.0
1622048413,1.0
1622048416,1.0
1622048419,1.0
1622048422,1.0
1622048425,1.0
1622048428,1.0
1622048431,1.0
1622048434,1.0
1622048437,1.0
1622048440,1.0
1622048443,1.0
1622048446,1.0
1622048449,1.0
1622048452,1.0
1622048455,1.0
1622048458,1.0
1622048461,1.0
1622048464,1.0
1622048467,1.0
1622048470,1.0
1622048473,1.0
1622048476,1.0
1622048479,1.0
1622048482,1.0
1622048485,1.0
1622048488,1.0
1622048491,1.0
1622048494,1.0
1622048497,1.0
1622048500,1.0
1622048503,1.0
1622048506,1.0
1622048509,1.0
1622048512,1.0
1622048515,1.0
1622048518,1.0
1622048521,1.0
1622048524,1.0
1622048527,1.0
1622048530,1.0
1622048533,1.0
1622048536,1.0
1622048539,1.0
1622048542,1.0
1622048545,1.0
1622048548,1.0
