t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599827187,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827190,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827193,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827196,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827199,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827202,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827205,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827208,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827211,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827214,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827217,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827220,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827223,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827226,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827229,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827232,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827235,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827238,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827241,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827244,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827247,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827250,319,0.000897,0.000000,0.000000,0.000000,events/second
1599827253,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827256,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827259,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827262,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827265,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827268,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827271,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827274,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827277,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827280,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827283,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827286,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827289,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827292,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827295,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827298,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827301,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827304,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827307,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827310,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827313,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827316,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827319,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827322,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827325,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827328,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827331,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827334,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827337,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827340,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827343,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827346,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827349,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827352,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827355,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827358,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827361,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827364,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827367,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827370,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827373,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827376,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827379,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827382,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827385,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827388,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827391,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827394,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827397,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827400,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827403,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827406,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827409,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827412,319,0.000896,0.000000,0.000000,0.000000,events/second
1599827415,319,0.000896,0.000000,0.000000,0.000000,events/second
