t,value
1598171893,12
1598171896,12
1598171899,12
1598171902,12
1598171905,12
1598171908,12
1598171911,12
1598171914,12
1598171917,12
1598171920,12
1598171923,12
1598171926,12
1598171929,12
1598171932,12
1598171935,12
1598171938,12
1598171941,12
1598171944,12
1598171947,12
1598171950,12
1598171953,12
1598171956,12
1598171959,12
1598171962,12
1598171965,12
1598171968,12
1598171971,12
1598171974,12
1598171977,12
1598171980,12
1598171983,12
1598171986,12
1598171989,12
1598171992,12
1598171995,12
1598171998,12
1598172001,12
1598172004,12
1598172007,12
1598172010,12
1598172013,12
1598172016,12
1598172019,12
1598172022,12
1598172025,12
1598172028,12
1598172031,12
1598172034,12
1598172037,12
1598172040,12
1598172043,12
1598172046,12
1598172049,12
1598172052,12
1598172055,12
1598172058,12
1598172061,12
1598172064,12
1598172067,12
1598172070,12
1598172073,12
1598172076,12
1598172079,12
1598172082,12
1598172085,12
1598172088,12
1598172091,12
1598172094,12
1598172097,12
1598172100,12
1598172103,12
1598172106,12
1598172109,12
1598172112,12
1598172115,12
1598172118,12
1598172121,12
1598172124,12
1598172127,12
1598172130,12
1598172133,12
1598172136,12
1598172139,12
1598172142,12
1598172145,12
1598172148,12
1598172151,12
1598172154,12
1598172157,12
1598172160,12
1598172163,12
1598172166,12
1598172169,12
1598172172,12
1598172175,12
1598172178,12
1598172181,12
1598172184,12
1598172187,12
1598172190,12
1598172193,12
1598172196,12
1598172199,12
1598172202,12
1598172205,12
1598172208,12
1598172211,12
1598172214,12
1598172217,12
1598172220,12
1598172223,12
1598172226,12
1598172229,12
1598172232,12
1598172235,12
1598172238,12
1598172241,12
1598172244,12
1598172247,12
1598172250,12
1598172253,12
1598172256,12
1598172259,12
1598172262,12
1598172265,12
1598172268,12
1598172271,12
1598172274,12
1598172277,12
1598172280,12
1598172283,12
1598172286,12
1598172289,12
1598172292,12
1598172295,12
1598172298,12
1598172301,12
1598172304,12
1598172307,12
1598172310,12
1598172313,12
1598172316,12
1598172319,12
1598172322,12
1598172325,12
1598172328,12
1598172331,12
1598172334,12
1598172337,12
1598172340,12
1598172343,12
1598172346,12
1598172349,12
1598172352,12
1598172355,12
1598172358,12
1598172361,12
1598172364,12
1598172367,12
1598172370,12
1598172373,12
1598172376,12
1598172379,12
1598172382,12
1598172385,12
1598172388,12
1598172391,12
1598172394,12
1598172397,12
1598172400,12
1598172403,12
1598172406,12
1598172409,12
1598172412,12
1598172415,12
1598172418,12
1598172421,12
1598172424,12
1598172427,12
1598172430,12
1598172433,12
1598172436,12
1598172439,12
1598172442,12
1598172445,12
1598172448,12
1598172451,12
1598172454,12
1598172457,12
1598172460,12
1598172463,12
1598172466,12
1598172469,12
1598172472,12
1598172475,12
1598172478,12
1598172481,12
1598172484,12
1598172487,12
t,value
1598172513,12
1598172516,12
1598172519,12
1598172522,12
1598172525,12
1598172528,12
1598172531,12
1598172534,12
1598172537,12
1598172540,12
1598172543,12
1598172546,12
1598172549,12
1598172552,12
1598172555,12
1598172558,12
1598172561,12
1598172564,12
1598172567,12
1598172570,12
1598172573,12
1598172576,12
1598172579,12
1598172582,12
1598172585,12
1598172588,12
1598172591,12
1598172594,12
1598172597,12
1598172600,12
1598172603,12
1598172606,12
1598172609,12
1598172612,12
1598172615,12
1598172618,12
1598172621,12
1598172624,12
1598172627,12
1598172630,12
1598172633,12
1598172636,12
1598172639,12
1598172642,12
1598172645,12
1598172648,12
1598172651,12
1598172654,12
1598172657,12
1598172660,12
1598172663,12
1598172666,12
1598172669,12
1598172672,12
1598172675,12
1598172678,12
1598172681,12
1598172684,12
1598172687,12
1598172690,12
1598172693,12
1598172696,12
1598172699,12
1598172702,12
1598172705,12
1598172708,12
1598172711,12
1598172714,12
1598172717,12
1598172720,12
1598172723,12
1598172726,12
1598172729,12
1598172732,12
1598172735,12
1598172738,12
1598172741,12
1598172744,12
1598172747,12
1598172750,12
1598172753,12
1598172756,12
1598172759,12
1598172762,12
1598172765,12
1598172768,12
1598172771,12
1598172774,12
1598172777,12
1598172780,12
1598172783,12
1598172786,12
1598172789,12
1598172792,12
1598172795,12
1598172798,12
1598172801,12
1598172804,12
1598172807,12
1598172810,12
1598172813,12
1598172816,12
1598172819,12
1598172822,12
1598172825,12
1598172828,12
1598172831,12
1598172834,12
1598172837,12
1598172840,12
1598172843,12
1598172846,12
1598172849,12
1598172852,12
1598172855,12
1598172858,12
1598172861,12
1598172864,12
1598172867,12
1598172870,12
1598172873,12
1598172876,12
1598172879,12
1598172882,12
1598172885,12
1598172888,12
1598172891,12
1598172894,12
1598172897,12
1598172900,12
1598172903,12
1598172906,12
1598172909,12
1598172912,12
1598172915,12
1598172918,12
1598172921,12
1598172924,12
1598172927,12
1598172930,12
1598172933,12
1598172936,12
1598172939,12
1598172942,12
1598172945,12
1598172948,12
1598172951,12
1598172954,12
1598172957,12
1598172960,12
1598172963,12
1598172966,12
1598172969,12
1598172972,12
1598172975,12
1598172978,12
1598172981,12
1598172984,12
1598172987,12
1598172990,12
1598172993,12
1598172996,12
1598172999,12
1598173002,12
1598173005,12
1598173008,12
1598173011,12
1598173014,12
1598173017,12
1598173020,12
1598173023,12
1598173026,12
1598173029,12
1598173032,12
1598173035,12
1598173038,12
1598173041,12
1598173044,12
1598173047,12
1598173050,12
1598173053,12
1598173056,12
1598173059,12
1598173062,12
1598173065,12
1598173068,12
1598173071,12
1598173074,12
1598173077,12
1598173080,12
1598173083,12
1598173086,12
1598173089,12
1598173092,12
1598173095,12
1598173098,12
1598173101,12
1598173104,12
1598173107,12
1598173110,12
1598173113,12
1598173116,12
1598173119,12
1598173122,12
1598173125,12
1598173128,12
1598173131,12
1598173134,12
1598173137,12
1598173140,12
1598173143,12
1598173146,12
1598173149,12
1598173152,12
1598173155,12
1598173158,12
1598173161,12
1598173164,12
1598173167,12
1598173170,12
1598173173,12
1598173176,12
1598173179,12
1598173182,12
1598173185,12
1598173188,12
1598173191,12
1598173194,12
1598173197,12
1598173200,12
1598173203,12
1598173206,12
1598173209,12
1598173212,12
1598173215,12
