t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599838890,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838893,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838896,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838899,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838902,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838905,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838908,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838911,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838914,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838917,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838920,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838923,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838926,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838929,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838932,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838935,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838938,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838941,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838944,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838947,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838950,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838953,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838956,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838959,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838962,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838965,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838968,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838971,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838974,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838977,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838980,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838983,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838986,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838989,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838992,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838995,0,0.000000,0.000000,0.000000,0.000000,events/second
1599838998,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839001,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839004,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839007,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839010,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839013,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839016,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839019,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839022,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839025,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839028,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839031,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839034,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839037,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839040,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839043,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839046,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839049,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839052,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839055,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839058,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839061,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839064,0,0.000000,0.000000,0.000000,0.000000,events/second
1599839067,0,0.000000,0.000000,0.000000,0.000000,events/second
