t,value
1623562254,32
1623562257,32
1623562260,32
1623562263,32
1623562266,32
1623562269,32
1623562272,32
1623562275,32
1623562278,32
1623562281,32
1623562284,32
1623562287,32
1623562290,32
1623562293,32
1623562296,32
1623562299,32
1623562302,32
1623562305,32
1623562308,32
1623562311,32
1623562314,32
1623562317,32
1623562320,32
1623562323,32
1623562326,32
1623562329,32
1623562332,32
1623562335,32
1623562338,32
1623562341,32
1623562344,32
1623562347,32
1623562350,32
1623562353,32
1623562356,32
1623562359,32
1623562362,32
1623562365,32
1623562368,32
1623562371,32
1623562374,32
1623562377,32
1623562380,32
1623562383,32
1623562386,32
1623562389,32
1623562392,32
1623562395,32
1623562398,32
1623562401,32
1623562404,32
1623562407,32
1623562410,32
1623562413,32
1623562416,32
1623562419,32
1623562422,32
1623562425,32
1623562428,32
1623562431,32
1623562434,32
1623562437,32
1623562440,32
1623562443,32
1623562446,32
1623562449,32
1623562452,32
1623562455,32
1623562458,32
1623562461,32
1623562464,32
1623562467,32
1623562470,32
1623562473,32
1623562476,32
1623562479,32
1623562482,32
1623562485,32
1623562488,32
1623562491,32
1623562494,32
1623562497,32
1623562500,32
1623562503,32
1623562506,32
1623562509,32
1623562512,32
1623562515,32
1623562518,32
1623562521,32
1623562524,32
1623562527,32
1623562530,32
1623562533,32
1623562536,32
1623562539,32
1623562542,32
1623562545,32
1623562548,32
1623562551,32
1623562554,32
1623562557,32
1623562560,32
1623562563,32
1623562566,32
1623562569,32
1623562572,32
1623562575,32
1623562578,32
1623562581,32
1623562584,32
1623562587,32
1623562590,32
1623562593,32
1623562596,32
1623562599,32
1623562602,32
1623562605,32
1623562608,32
1623562611,32
1623562614,32
1623562617,32
1623562620,32
1623562623,32
1623562626,32
1623562629,32
1623562632,32
1623562635,32
1623562638,32
1623562641,32
1623562644,32
1623562647,32
1623562650,32
1623562653,32
1623562656,32
1623562659,32
1623562662,32
1623562665,32
1623562668,32
1623562671,32
1623562674,32
1623562677,32
1623562680,32
1623562683,32
1623562686,32
1623562689,32
1623562692,32
1623562695,32
1623562698,32
1623562701,32
1623562704,32
1623562707,32
1623562710,32
1623562713,32
1623562716,32
1623562719,32
1623562722,32
1623562725,32
1623562728,32
1623562731,32
1623562734,32
1623562737,32
1623562740,32
1623562743,32
1623562746,32
1623562749,32
1623562752,32
1623562755,32
1623562758,32
1623562761,32
1623562764,32
1623562767,32
1623562770,32
1623562773,32
1623562776,32
1623562779,32
1623562782,32
1623562785,32
1623562788,32
1623562791,32
1623562794,32
1623562797,32
1623562800,32
1623562803,32
1623562806,32
1623562809,32
1623562812,32
1623562815,32
1623562818,32
1623562821,32
1623562824,32
1623562827,32
1623562830,32
1623562833,32
1623562836,32
1623562839,32
1623562842,32
1623562845,32
1623562848,32
1623562851,32
