t,value
1623562254,80
1623562257,80
1623562260,80
1623562263,80
1623562266,80
1623562269,80
1623562272,80
1623562275,80
1623562278,80
1623562281,80
1623562284,80
1623562287,80
1623562290,80
1623562293,80
1623562296,80
1623562299,80
1623562302,80
1623562305,80
1623562308,80
1623562311,80
1623562314,80
1623562317,80
1623562320,80
1623562323,80
1623562326,80
1623562329,80
1623562332,80
1623562335,80
1623562338,80
1623562341,80
1623562344,80
1623562347,80
1623562350,80
1623562353,80
1623562356,80
1623562359,80
1623562362,80
1623562365,80
1623562368,80
1623562371,80
1623562374,80
1623562377,80
1623562380,80
1623562383,80
1623562386,80
1623562389,80
1623562392,80
1623562395,80
1623562398,80
1623562401,80
1623562404,80
1623562407,80
1623562410,80
1623562413,80
1623562416,80
1623562419,80
1623562422,80
1623562425,80
1623562428,80
1623562431,80
1623562434,80
1623562437,80
1623562440,80
1623562443,80
1623562446,80
1623562449,80
1623562452,80
1623562455,80
1623562458,80
1623562461,80
1623562464,80
1623562467,80
1623562470,80
1623562473,80
1623562476,80
1623562479,80
1623562482,80
1623562485,80
1623562488,80
1623562491,80
1623562494,80
1623562497,80
1623562500,80
1623562503,80
1623562506,80
1623562509,80
1623562512,80
1623562515,80
1623562518,80
1623562521,80
1623562524,80
1623562527,80
1623562530,80
1623562533,80
1623562536,80
1623562539,80
1623562542,80
1623562545,80
1623562548,80
1623562551,80
1623562554,80
1623562557,80
1623562560,80
1623562563,80
1623562566,80
1623562569,80
1623562572,80
1623562575,80
1623562578,80
1623562581,80
1623562584,80
1623562587,80
1623562590,80
1623562593,80
1623562596,80
1623562599,80
1623562602,80
1623562605,80
1623562608,80
1623562611,80
1623562614,80
1623562617,80
1623562620,80
1623562623,80
1623562626,80
1623562629,80
1623562632,80
1623562635,80
1623562638,80
1623562641,80
1623562644,80
1623562647,80
1623562650,80
1623562653,80
1623562656,80
1623562659,80
1623562662,80
1623562665,80
1623562668,80
1623562671,80
1623562674,80
1623562677,80
1623562680,80
1623562683,80
1623562686,80
1623562689,80
1623562692,80
1623562695,80
1623562698,80
1623562701,80
1623562704,80
1623562707,80
1623562710,80
1623562713,80
1623562716,80
1623562719,80
1623562722,80
1623562725,80
1623562728,80
1623562731,80
1623562734,80
1623562737,80
1623562740,80
1623562743,80
1623562746,80
1623562749,80
1623562752,80
1623562755,80
1623562758,80
1623562761,80
1623562764,80
1623562767,80
1623562770,80
1623562773,80
1623562776,80
1623562779,80
1623562782,80
1623562785,80
1623562788,80
1623562791,80
1623562794,80
1623562797,80
1623562800,80
1623562803,80
1623562806,80
1623562809,80
1623562812,80
1623562815,80
1623562818,80
1623562821,80
1623562824,80
1623562827,80
1623562830,80
1623562833,80
1623562836,80
1623562839,80
1623562842,80
1623562845,80
1623562848,80
1623562851,80
1623562854,80
1623562857,80
1623562860,80
1623562863,80
1623562866,80
1623562869,80
1623562872,80
1623562875,80
1623562878,80
1623562881,80
1623562884,80
1623562887,80
1623562890,80
1623562893,80
1623562896,80
1623562899,80
1623562902,80
1623562905,80
1623562908,80
1623562911,80
1623562914,80
1623562917,80
1623562920,80
1623562923,80
1623562926,80
1623562929,80
1623562932,80
1623562935,80
1623562938,80
1623562941,80
1623562944,80
1623562947,80
1623562950,80
1623562953,80
1623562956,80
1623562959,80
1623562962,80
1623562965,80
1623562968,80
1623562971,80
1623562974,80
1623562977,80
1623562980,80
1623562983,80
1623562986,80
1623562989,80
1623562992,80
1623562995,80
1623562998,80
1623563001,80
1623563004,80
1623563007,80
1623563010,80
1623563013,80
1623563016,80
1623563019,80
1623563022,80
1623563025,80
1623563028,80
1623563031,80
1623563034,80
1623563037,80
1623563040,80
1623563043,80
1623563046,80
1623563049,80
1623563052,80
1623563055,80
1623563058,80
1623563061,80
1623563064,80
1623563067,80
1623563070,80
1623563073,80
1623563076,80
