t,value
1598171893,61
1598171896,61
1598171899,61
1598171902,61
1598171905,61
1598171908,61
1598171911,61
1598171914,61
1598171917,61
1598171920,61
1598171923,61
1598171926,61
1598171929,61
1598171932,61
1598171935,61
1598171938,61
1598171941,61
1598171944,61
1598171947,61
1598171950,61
1598171953,61
1598171956,61
1598171959,61
1598171962,61
1598171965,61
1598171968,61
1598171971,61
1598171974,61
1598171977,61
1598171980,61
1598171983,61
1598171986,61
1598171989,61
1598171992,61
1598171995,61
1598171998,61
1598172001,61
1598172004,61
1598172007,61
1598172010,61
1598172013,61
1598172016,61
1598172019,61
1598172022,61
1598172025,61
1598172028,61
1598172031,61
1598172034,61
1598172037,61
1598172040,61
1598172043,61
1598172046,61
1598172049,61
1598172052,61
1598172055,61
1598172058,61
1598172061,61
1598172064,61
1598172067,61
1598172070,61
1598172073,61
1598172076,61
1598172079,61
1598172082,61
1598172085,61
1598172088,61
1598172091,61
1598172094,61
1598172097,61
1598172100,61
1598172103,61
1598172106,61
1598172109,61
1598172112,61
1598172115,61
1598172118,61
1598172121,61
1598172124,61
1598172127,61
1598172130,61
1598172133,61
1598172136,61
1598172139,61
1598172142,61
1598172145,61
1598172148,61
1598172151,61
1598172154,61
1598172157,61
1598172160,61
1598172163,61
1598172166,61
1598172169,61
1598172172,61
1598172175,61
1598172178,61
1598172181,61
1598172184,61
1598172187,61
1598172190,61
1598172193,61
1598172196,61
1598172199,61
1598172202,61
1598172205,61
1598172208,61
1598172211,61
1598172214,61
1598172217,61
1598172220,61
1598172223,61
1598172226,61
1598172229,61
1598172232,61
1598172235,61
1598172238,61
1598172241,61
1598172244,61
1598172247,61
1598172250,61
1598172253,61
1598172256,61
1598172259,61
1598172262,61
1598172265,61
1598172268,61
1598172271,61
1598172274,61
1598172277,61
1598172280,61
1598172283,61
1598172286,61
1598172289,61
1598172292,61
1598172295,61
1598172298,61
1598172301,61
1598172304,61
1598172307,61
1598172310,61
1598172313,61
1598172316,61
1598172319,61
1598172322,61
1598172325,61
1598172328,61
1598172331,61
1598172334,61
1598172337,61
1598172340,61
1598172343,61
1598172346,61
1598172349,61
1598172352,61
1598172355,61
1598172358,61
1598172361,61
1598172364,61
1598172367,61
1598172370,61
