t,value
1598171893,32
1598171896,32
1598171899,32
1598171902,32
1598171905,32
1598171908,32
1598171911,32
1598171914,32
1598171917,32
1598171920,32
1598171923,32
1598171926,32
1598171929,32
1598171932,32
1598171935,32
1598171938,32
1598171941,32
1598171944,32
1598171947,32
1598171950,32
1598171953,32
1598171956,32
1598171959,32
1598171962,32
1598171965,32
1598171968,32
1598171971,32
1598171974,32
1598171977,32
1598171980,32
1598171983,32
1598171986,32
1598171989,32
1598171992,32
1598171995,32
1598171998,32
1598172001,32
1598172004,32
1598172007,32
1598172010,32
1598172013,32
1598172016,32
1598172019,32
1598172022,32
1598172025,32
1598172028,32
1598172031,32
1598172034,32
1598172037,32
1598172040,32
1598172043,32
1598172046,32
1598172049,32
1598172052,32
1598172055,32
1598172058,32
1598172061,32
1598172064,32
1598172067,32
1598172070,32
1598172073,32
1598172076,32
1598172079,32
1598172082,32
1598172085,32
1598172088,32
1598172091,32
1598172094,32
1598172097,32
1598172100,32
1598172103,32
1598172106,32
1598172109,32
1598172112,32
1598172115,32
1598172118,32
1598172121,32
1598172124,32
1598172127,32
1598172130,32
1598172133,32
1598172136,32
1598172139,32
1598172142,32
1598172145,32
1598172148,32
1598172151,32
1598172154,32
1598172157,32
1598172160,32
1598172163,32
1598172166,32
1598172169,32
1598172172,32
1598172175,32
1598172178,32
1598172181,32
1598172184,32
1598172187,32
1598172190,32
1598172193,32
1598172196,32
1598172199,32
1598172202,32
1598172205,32
1598172208,32
1598172211,32
1598172214,32
1598172217,32
1598172220,32
1598172223,32
1598172226,32
1598172229,32
1598172232,32
1598172235,32
1598172238,32
1598172241,32
1598172244,32
1598172247,32
1598172250,32
1598172253,32
1598172256,32
1598172259,32
1598172262,32
1598172265,32
1598172268,32
1598172271,32
1598172274,32
1598172277,32
1598172280,32
1598172283,32
1598172286,32
1598172289,32
1598172292,32
1598172295,32
1598172298,32
1598172301,32
1598172304,32
1598172307,32
1598172310,32
1598172313,32
1598172316,32
1598172319,32
1598172322,32
1598172325,32
1598172328,32
1598172331,32
1598172334,32
1598172337,32
1598172340,32
1598172343,32
1598172346,32
1598172349,32
1598172352,32
1598172355,32
1598172358,32
1598172361,32
1598172364,32
1598172367,32
1598172370,32
1598172373,32
1598172376,32
1598172379,32
1598172382,32
1598172385,32
1598172388,32
1598172391,32
1598172394,32
1598172397,32
1598172400,32
1598172403,32
1598172406,32
1598172409,32
1598172412,32
1598172415,32
1598172418,32
1598172421,32
1598172424,32
1598172427,32
1598172430,32
1598172433,32
1598172436,32
1598172439,32
1598172442,32
1598172445,32
1598172448,32
1598172451,32
1598172454,32
1598172457,32
1598172460,32
1598172463,32
1598172466,32
1598172469,32
1598172472,32
1598172475,32
1598172478,32
1598172481,32
1598172484,32
1598172487,32
t,value
1598172513,32
1598172516,32
1598172519,32
1598172522,32
1598172525,32
1598172528,32
1598172531,32
1598172534,32
1598172537,32
1598172540,32
1598172543,32
1598172546,32
1598172549,32
1598172552,32
1598172555,32
1598172558,32
1598172561,32
1598172564,32
1598172567,32
1598172570,32
1598172573,32
1598172576,32
1598172579,32
1598172582,32
1598172585,32
1598172588,32
1598172591,32
1598172594,32
1598172597,32
1598172600,32
1598172603,32
1598172606,32
1598172609,32
1598172612,32
1598172615,32
1598172618,32
1598172621,32
1598172624,32
1598172627,32
1598172630,32
1598172633,32
1598172636,32
1598172639,32
1598172642,32
1598172645,32
1598172648,32
1598172651,32
1598172654,32
1598172657,32
1598172660,32
1598172663,32
1598172666,32
1598172669,32
1598172672,32
1598172675,32
1598172678,32
1598172681,32
1598172684,32
1598172687,32
1598172690,32
1598172693,32
1598172696,32
1598172699,32
1598172702,32
1598172705,32
1598172708,32
1598172711,32
1598172714,32
1598172717,32
1598172720,32
1598172723,32
1598172726,32
1598172729,32
1598172732,32
1598172735,32
1598172738,32
1598172741,32
1598172744,32
1598172747,32
1598172750,32
1598172753,32
1598172756,32
1598172759,32
1598172762,32
1598172765,32
1598172768,32
1598172771,32
1598172774,32
1598172777,32
1598172780,32
1598172783,32
1598172786,32
1598172789,32
1598172792,32
1598172795,32
1598172798,32
1598172801,32
1598172804,32
1598172807,32
1598172810,32
1598172813,32
1598172816,32
1598172819,32
1598172822,32
1598172825,32
1598172828,32
1598172831,32
1598172834,32
1598172837,32
1598172840,32
1598172843,32
1598172846,32
1598172849,32
1598172852,32
1598172855,32
1598172858,32
1598172861,32
1598172864,32
1598172867,32
1598172870,32
1598172873,32
1598172876,32
1598172879,32
1598172882,32
1598172885,32
1598172888,32
1598172891,32
1598172894,32
1598172897,32
1598172900,32
1598172903,32
1598172906,32
1598172909,32
1598172912,32
1598172915,32
1598172918,32
1598172921,32
1598172924,32
1598172927,32
1598172930,32
1598172933,32
1598172936,32
1598172939,32
1598172942,32
1598172945,32
1598172948,32
1598172951,32
1598172954,32
1598172957,32
1598172960,32
1598172963,32
1598172966,32
1598172969,32
1598172972,32
1598172975,32
1598172978,32
1598172981,32
1598172984,32
1598172987,32
1598172990,32
1598172993,32
1598172996,32
1598172999,32
1598173002,32
1598173005,32
1598173008,32
1598173011,32
1598173014,32
1598173017,32
1598173020,32
1598173023,32
1598173026,32
1598173029,32
1598173032,32
1598173035,32
1598173038,32
1598173041,32
1598173044,32
1598173047,32
1598173050,32
1598173053,32
1598173056,32
1598173059,32
1598173062,32
1598173065,32
