t,value
1623562251,61
1623562254,61
1623562257,61
1623562260,61
1623562263,61
1623562266,61
1623562269,61
1623562272,61
1623562275,61
1623562278,61
1623562281,61
1623562284,61
1623562287,61
1623562290,61
1623562293,61
1623562296,61
1623562299,61
1623562302,61
1623562305,61
1623562308,61
1623562311,61
1623562314,61
1623562317,61
1623562320,61
1623562323,61
1623562326,61
1623562329,61
1623562332,61
1623562335,61
1623562338,61
1623562341,61
1623562344,61
1623562347,61
1623562350,61
1623562353,61
1623562356,61
1623562359,61
1623562362,61
1623562365,61
1623562368,61
1623562371,61
1623562374,61
1623562377,61
1623562380,61
1623562383,61
1623562386,61
1623562389,61
1623562392,61
1623562395,61
1623562398,61
1623562401,61
1623562404,61
1623562407,61
1623562410,61
1623562413,61
1623562416,61
1623562419,61
1623562422,61
1623562425,61
1623562428,61
1623562431,61
1623562434,61
1623562437,61
1623562440,61
1623562443,61
1623562446,61
1623562449,61
1623562452,61
1623562455,61
1623562458,61
1623562461,61
1623562464,61
1623562467,61
1623562470,61
1623562473,61
1623562476,61
1623562479,61
1623562482,61
1623562485,61
1623562488,61
1623562491,61
1623562494,61
1623562497,61
1623562500,61
1623562503,61
1623562506,61
1623562509,61
1623562512,61
1623562515,61
1623562518,61
1623562521,61
1623562524,61
1623562527,61
1623562530,61
1623562533,61
1623562536,61
1623562539,61
1623562542,61
1623562545,61
1623562548,61
1623562551,61
1623562554,61
1623562557,61
1623562560,61
1623562563,61
1623562566,61
1623562569,61
1623562572,61
1623562575,61
1623562578,61
1623562581,61
1623562584,61
1623562587,61
1623562590,61
1623562593,61
1623562596,61
1623562599,61
1623562602,61
1623562605,61
1623562608,61
1623562611,61
1623562614,61
1623562617,61
1623562620,61
1623562623,61
1623562626,61
1623562629,61
1623562632,61
1623562635,61
1623562638,61
1623562641,61
1623562644,61
1623562647,61
1623562650,61
1623562653,61
1623562656,61
1623562659,61
1623562662,61
1623562665,61
1623562668,61
1623562671,61
1623562674,61
1623562677,61
1623562680,61
1623562683,61
1623562686,61
1623562689,61
1623562692,61
1623562695,61
1623562698,61
1623562701,61
1623562704,61
1623562707,61
1623562710,61
1623562713,61
1623562716,61
1623562719,61
1623562722,61
1623562725,61
1623562728,61
1623562731,61
1623562734,61
1623562737,61
1623562740,61
1623562743,61
1623562746,61
1623562749,61
1623562752,61
1623562755,61
1623562758,61
1623562761,61
1623562764,61
1623562767,61
1623562770,61
1623562773,61
1623562776,61
1623562779,61
