t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1624252790,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252793,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252796,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252799,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252802,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252805,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252808,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252811,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252814,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252817,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252820,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252823,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252826,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252829,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252832,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252835,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252838,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252841,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252844,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252847,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252850,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252853,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252856,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252859,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252862,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252865,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252868,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252871,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252874,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252877,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252880,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252883,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252886,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252889,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252892,49,0.000104,0.000000,0.000000,0.000000,events/second
1624252895,49,0.000104,0.000000,0.000000,0.000000,events/second
