t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599834741,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834744,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834747,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834750,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834753,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834756,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834759,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834762,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834765,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834768,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834771,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834774,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834777,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834780,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834783,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834786,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834789,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834792,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834795,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834798,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834801,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834804,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834807,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834810,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834813,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834816,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834819,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834822,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834825,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834828,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834831,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834834,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834837,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834840,47,0.000129,0.000000,0.000000,0.000000,events/second
1599834843,47,0.000129,0.000000,0.000000,0.000000,events/second
