t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1624356906,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356909,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356912,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356915,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356918,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356921,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356924,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356927,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356930,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356933,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356936,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356939,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356942,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356945,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356948,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356951,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356954,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356957,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356960,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356963,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356966,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356969,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356972,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356975,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356978,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356981,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356984,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356987,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356990,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356993,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356996,3,0.000006,0.000000,0.000000,0.000000,events/second
1624356999,3,0.000006,0.000000,0.000000,0.000000,events/second
1624357002,3,0.000006,0.000000,0.000000,0.000000,events/second
1624357005,3,0.000006,0.000000,0.000000,0.000000,events/second
1624357008,3,0.000006,0.000000,0.000000,0.000000,events/second
1624357011,3,0.000006,0.000000,0.000000,0.000000,events/second
1624357014,3,0.000006,0.000000,0.000000,0.000000,events/second
1624357017,3,0.000006,0.000000,0.000000,0.000000,events/second
1624357020,3,0.000006,0.000000,0.000000,0.000000,events/second
1624357023,3,0.000006,0.000000,0.000000,0.000000,events/second
1624357026,3,0.000006,0.000000,0.000000,0.000000,events/second
