t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599815847,58222,0.169037,0.000000,0.000000,0.000000,events/second
1599815850,58222,0.169036,0.000000,0.000000,0.000000,events/second
1599815853,58225,0.169043,0.000000,0.000000,0.000000,events/second
1599815856,58225,0.169041,0.000000,0.000000,0.000000,events/second
1599815859,58225,0.169040,0.000000,0.000000,0.000000,events/second
1599815862,58225,0.169039,0.000000,0.000000,0.000000,events/second
1599815865,58225,0.169037,0.000000,0.000000,0.000000,events/second
1599815868,58225,0.169036,0.000000,0.000000,0.000000,events/second
1599815871,58225,0.169034,0.000000,0.000000,0.000000,events/second
1599815874,58228,0.169041,0.000000,0.000000,0.000000,events/second
1599815877,58229,0.169043,0.000000,0.000000,0.000000,events/second
1599815880,58229,0.169041,0.000000,0.000000,0.000000,events/second
1599815883,58229,0.169040,0.000000,0.000000,0.000000,events/second
1599815886,58229,0.169038,0.000000,0.000000,0.000000,events/second
1599815889,58229,0.169037,0.000000,0.000000,0.000000,events/second
1599815892,58232,0.169044,0.000000,0.000000,0.000000,events/second
1599815895,58232,0.169043,0.000000,0.000000,0.000000,events/second
1599815898,58232,0.169041,0.000000,0.000000,0.000000,events/second
1599815901,58232,0.169040,0.000000,0.000000,0.000000,events/second
1599815904,58232,0.169038,0.000000,0.000000,0.000000,events/second
1599815907,58232,0.169037,0.000000,0.000000,0.000000,events/second
1599815910,58232,0.169035,0.000000,0.000000,0.000000,events/second
1599815913,58235,0.169043,0.000000,0.000000,0.000000,events/second
1599815916,58235,0.169041,0.000000,0.000000,0.000000,events/second
1599815919,58235,0.169040,0.000000,0.000000,0.000000,events/second
1599815922,58235,0.169038,0.000000,0.000000,0.000000,events/second
1599815925,58235,0.169037,0.000000,0.000000,0.000000,events/second
1599815928,58235,0.169035,0.000000,0.000000,0.000000,events/second
1599815931,58235,0.169034,0.000000,0.000000,0.000000,events/second
1599815934,58238,0.169041,0.000000,0.000000,0.000000,events/second
1599815937,58239,0.169042,0.000000,0.000000,0.000000,events/second
1599815940,58239,0.169041,0.000000,0.000000,0.000000,events/second
1599815943,58239,0.169039,0.000000,0.000000,0.000000,events/second
1599815946,58239,0.169038,0.000000,0.000000,0.000000,events/second
1599815949,58239,0.169036,0.000000,0.000000,0.000000,events/second
1599815952,58242,0.169044,0.000000,0.000000,0.000000,events/second
1599815955,58242,0.169042,0.000000,0.000000,0.000000,events/second
1599815958,58242,0.169041,0.000000,0.000000,0.000000,events/second
1599815961,58242,0.169039,0.000000,0.000000,0.000000,events/second
1599815964,58242,0.169038,0.000000,0.000000,0.000000,events/second
1599815967,58242,0.169036,0.000000,0.000000,0.000000,events/second
1599815970,58242,0.169035,0.000000,0.000000,0.000000,events/second
1599815973,58245,0.169042,0.000000,0.000000,0.000000,events/second
1599815976,58245,0.169041,0.000000,0.000000,0.000000,events/second
1599815979,58245,0.169039,0.000000,0.000000,0.000000,events/second
1599815982,58245,0.169038,0.000000,0.000000,0.000000,events/second
1599815985,58245,0.169036,0.000000,0.000000,0.000000,events/second
1599815988,58245,0.169035,0.000000,0.000000,0.000000,events/second
1599815991,58245,0.169033,0.000000,0.000000,0.000000,events/second
1599815994,58248,0.169041,0.000000,0.000000,0.000000,events/second
1599815997,58249,0.169042,0.000000,0.000000,0.000000,events/second
1599816000,58249,0.169040,0.000000,0.000000,0.000000,events/second
1599816003,58249,0.169039,0.000000,0.000000,0.000000,events/second
1599816006,58249,0.169038,0.000000,0.000000,0.000000,events/second
1599816009,58249,0.169036,0.000000,0.000000,0.000000,events/second
1599816012,58252,0.169043,0.000000,0.000000,0.000000,events/second
1599816015,58252,0.169042,0.000000,0.000000,0.000000,events/second
1599816018,58252,0.169040,0.000000,0.000000,0.000000,events/second
1599816021,58252,0.169039,0.000000,0.000000,0.000000,events/second
1599816024,58252,0.169037,0.000000,0.000000,0.000000,events/second
1599816027,58252,0.169036,0.000000,0.000000,0.000000,events/second
1599816030,58252,0.169034,0.000000,0.000000,0.000000,events/second
1599816033,58256,0.169045,0.000000,0.000000,0.000000,events/second
1599816036,58256,0.169043,0.000000,0.000000,0.000000,events/second
1599816039,58256,0.169042,0.000000,0.000000,0.000000,events/second
1599816042,58256,0.169040,0.000000,0.000000,0.000000,events/second
