t,value
1622050411,654
1622050414,654
1622050417,654
1622050420,654
1622050423,654
1622050426,654
1622050429,654
1622050432,654
1622050435,654
1622050438,654
1622050441,654
1622050444,654
1622050447,654
1622050450,654
1622050453,654
1622050456,654
1622050459,654
1622050462,654
1622050465,654
1622050468,654
1622050471,654
1622050474,654
1622050477,654
1622050480,654
1622050483,654
1622050486,654
1622050489,654
1622050492,654
1622050495,654
1622050498,654
1622050501,654
1622050504,654
1622050507,654
1622050510,654
1622050513,654
1622050516,654
1622050519,654
1622050522,654
1622050525,654
1622050528,654
1622050531,654
1622050534,654
1622050537,654
1622050540,654
1622050543,654
1622050546,654
1622050549,654
1622050552,654
1622050555,654
1622050558,654
1622050561,654
1622050564,654
1622050567,654
1622050570,654
1622050573,654
1622050576,654
1622050579,654
1622050582,654
1622050585,654
1622050588,654
1622050591,654
1622050594,654
1622050597,654
1622050600,654
1622050603,654
1622050606,654
1622050609,654
1622050612,654
1622050615,654
1622050618,654
1622050621,654
1622050624,654
1622050627,654
1622050630,654
1622050633,654
1622050636,654
1622050639,654
1622050642,654
1622050645,654
1622050648,654
1622050651,654
1622050654,654
1622050657,654
1622050660,654
1622050663,654
1622050666,654
1622050669,654
1622050672,654
1622050675,654
1622050678,654
1622050681,654
1622050684,654
1622050687,654
1622050690,654
1622050693,654
1622050696,654
1622050699,654
1622050702,654
1622050705,654
1622050708,654
1622050711,654
1622050714,654
1622050717,654
1622050720,654
1622050723,654
1622050726,654
1622050729,654
1622050732,654
1622050735,654
1622050738,654
1622050741,654
1622050744,654
1622050747,654
1622050750,654
1622050753,654
1622050756,654
1622050759,654
1622050762,654
1622050765,654
1622050768,654
1622050771,654
1622050774,656
1622050777,654
1622050780,654
1622050783,654
1622050786,654
1622050789,654
1622050792,654
1622050795,654
1622050798,654
1622050801,654
1622050804,654
1622050807,654
1622050810,654
1622050813,654
1622050816,654
1622050819,654
1622050822,654
1622050825,654
1622050828,654
1622050831,654
1622050834,654
1622050837,654
1622050840,654
1622050843,654
1622050846,654
1622050849,654
1622050852,654
1622050855,654
1622050858,654
1622050861,654
1622050864,654
1622050867,654
1622050870,654
1622050873,654
1622050876,654
1622050879,654
1622050882,654
1622050885,654
1622050888,654
1622050891,654
1622050894,654
1622050897,654
1622050900,654
1622050903,654
1622050906,654
1622050909,654
1622050912,654
1622050915,654
1622050918,654
1622050921,654
1622050924,654
1622050927,654
1622050930,654
1622050933,654
1622050936,654
1622050939,654
1622050942,654
1622050945,654
1622050948,654
1622050951,654
1622050954,656
1622050957,654
1622050960,654
1622050963,654
1622050966,654
1622050969,654
1622050972,654
1622050975,654
1622050978,654
1622050981,654
1622050984,654
1622050987,654
1622050990,654
1622050993,654
1622050996,654
1622050999,654
1622051002,654
1622051005,654
1622051008,654
1622051011,654
1622051014,656
1622051017,654
1622051020,654
1622051023,654
1622051026,654
1622051029,654
1622051032,654
1622051035,654
1622051038,654
1622051041,654
1622051044,654
1622051047,654
1622051050,654
1622051053,654
1622051056,654
1622051059,654
1622051062,654
1622051065,654
1622051068,654
1622051071,654
1622051074,656
1622051077,654
1622051080,654
1622051083,654
1622051086,654
1622051089,654
1622051092,654
1622051095,654
1622051098,654
1622051101,654
1622051104,654
1622051107,654
1622051110,654
1622051113,654
1622051116,654
1622051119,654
1622051122,654
1622051125,654
1622051128,654
1622051131,654
1622051134,655
1622051137,654
1622051140,654
1622051143,654
1622051146,654
1622051149,654
1622051152,654
1622051155,654
1622051158,654
1622051161,654
1622051164,654
1622051167,654
1622051170,654
1622051173,654
1622051176,654
1622051179,654
1622051182,654
1622051185,654
1622051188,654
1622051191,654
1622051194,655
1622051197,654
1622051200,654
1622051203,654
1622051206,654
1622051209,654
1622051212,654
1622051215,654
1622051218,654
1622051221,654
1622051224,654
1622051227,654
1622051230,654
1622051233,654
1622051236,654
1622051239,654
1622051242,654
1622051245,654
1622051248,654
1622051251,654
1622051254,654
1622051257,654
1622051260,654
1622051263,654
1622051266,654
1622051269,654
1622051272,654
1622051275,654
1622051278,654
1622051281,654
1622051284,654
1622051287,654
1622051290,654
1622051293,654
1622051296,654
1622051299,654
1622051302,654
1622051305,654
1622051308,654
1622051311,654
1622051314,654
1622051317,654
1622051320,654
1622051323,654
1622051326,654
1622051329,654
1622051332,654
1622051335,654
1622051338,654
1622051341,654
1622051344,654
1622051347,654
1622051350,654
1622051353,654
1622051356,654
1622051359,654
1622051362,654
1622051365,654
1622051368,654
1622051371,654
1622051374,654
1622051377,654
1622051380,654
1622051383,654
1622051386,654
1622051389,654
1622051392,654
1622051395,654
1622051398,654
1622051401,654
1622051404,654
1622051407,654
1622051410,654
1622051413,654
1622051416,654
1622051419,654
1622051422,654
1622051425,654
1622051428,654
1622051431,654
1622051434,654
1622051437,654
1622051440,654
1622051443,654
1622051446,654
1622051449,654
1622051452,654
1622051455,654
1622051458,654
1622051461,654
1622051464,654
1622051467,654
1622051470,654
1622051473,654
1622051476,654
1622051479,654
1622051482,654
1622051485,654
1622051488,654
1622051491,654
1622051494,654
1622051497,654
1622051500,654
1622051503,654
1622051506,654
1622051509,654
1622051512,654
1622051515,654
1622051518,654
1622051521,654
1622051524,654
1622051527,654
1622051530,654
1622051533,654
1622051536,654
1622051539,654
1622051542,654
1622051545,654
1622051548,654
1622051551,654
1622051554,654
1622051557,654
1622051560,654
1622051563,654
1622051566,654
1622051569,654
1622051572,654
1622051575,654
1622051578,654
1622051581,654
1622051584,654
1622051587,654
1622051590,654
1622051593,654
1622051596,654
1622051599,654
1622051602,654
1622051605,654
1622051608,654
1622051611,654
1622051614,654
1622051617,654
1622051620,654
1622051623,654
1622051626,654
1622051629,654
1622051632,654
1622051635,654
1622051638,654
1622051641,654
1622051644,654
1622051647,654
1622051650,654
1622051653,654
1622051656,654
1622051659,654
1622051662,654
1622051665,654
1622051668,654
1622051671,654
1622051674,654
1622051677,654
1622051680,654
1622051683,654
1622051686,654
1622051689,654
1622051692,654
1622051695,654
1622051698,654
1622051701,654
1622051704,654
1622051707,654
1622051710,654
1622051713,654
1622051716,654
1622051719,654
1622051722,654
1622051725,654
1622051728,654
