t,value
1612618244,10240
1612618247,10240
1612618250,10240
1612618253,10240
1612618256,10240
1612618259,10240
1612618262,10240
1612618265,10240
1612618268,10240
1612618271,10240
1612618274,10240
1612618277,10240
1612618280,10240
1612618283,10240
1612618286,10240
1612618289,10240
1612618292,10240
1612618295,10240
1612618298,10240
1612618301,10240
1612618304,10240
1612618307,10240
1612618310,10240
1612618313,10240
1612618316,10240
1612618319,10240
1612618322,10240
1612618325,10240
1612618328,10240
1612618331,10240
1612618334,10240
1612618337,10240
1612618340,10240
1612618343,10240
1612618346,10240
1612618349,10240
1612618352,10240
1612618355,10240
1612618358,10240
1612618361,10240
1612618364,10240
1612618367,10240
1612618370,10240
1612618373,10240
1612618376,10240
1612618379,10240
1612618382,10240
1612618385,10240
1612618388,10240
1612618391,10240
1612618394,10240
1612618397,10240
1612618400,10240
1612618403,10240
1612618406,10240
1612618409,10240
1612618412,10240
1612618415,10240
1612618418,10240
1612618421,10240
1612618424,10240
1612618427,10240
1612618430,10240
1612618433,10240
1612618436,10240
1612618439,10240
1612618442,10240
1612618445,10240
1612618448,10240
1612618451,10240
1612618454,10240
1612618457,10240
1612618460,10240
1612618463,10240
1612618466,10240
1612618469,10240
1612618472,10240
1612618475,10240
1612618478,10240
1612618481,10240
1612618484,10240
1612618487,10240
1612618490,10240
1612618493,10240
1612618496,10240
1612618499,10240
1612618502,10240
1612618505,10240
1612618508,10240
1612618511,10240
1612618514,10240
1612618517,10240
1612618520,10240
1612618523,10240
1612618526,10240
1612618529,10240
1612618532,10240
1612618535,10240
1612618538,10240
1612618541,10240
1612618544,10240
1612618547,10240
1612618550,10240
1612618553,10240
1612618556,10240
1612618559,10240
1612618562,10240
1612618565,10240
1612618568,10240
1612618571,10240
1612618574,10240
1612618577,10240
1612618580,10240
1612618583,10240
1612618586,10240
1612618589,10240
1612618592,10240
1612618595,10240
1612618598,10240
1612618601,10240
1612618604,10240
1612618607,10240
1612618610,10240
1612618613,10240
1612618616,10240
1612618619,10240
1612618622,10240
1612618625,10240
1612618628,10240
1612618631,10240
1612618634,10240
1612618637,10240
1612618640,10240
1612618643,10240
1612618646,10240
1612618649,10240
1612618652,10240
1612618655,10240
