t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599827253,1345,0.003780,0.000000,0.000000,0.000000,events/second
1599827256,1346,0.003783,0.000000,0.000000,0.000000,events/second
1599827259,1346,0.003783,0.000000,0.000000,0.000000,events/second
1599827262,1346,0.003783,0.000000,0.000000,0.000000,events/second
1599827265,1346,0.003783,0.000000,0.000000,0.000000,events/second
1599827268,1346,0.003783,0.000000,0.000000,0.000000,events/second
1599827271,1346,0.003783,0.000000,0.000000,0.000000,events/second
1599827274,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827277,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827280,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827283,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827286,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827289,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827292,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827295,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827298,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827301,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827304,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827307,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827310,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827313,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827316,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827319,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827322,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827325,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827328,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827331,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827334,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827337,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827340,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827343,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827346,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827349,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827352,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827355,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827358,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827361,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827364,1346,0.003782,0.000000,0.000000,0.000000,events/second
1599827367,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827370,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827373,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827376,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827379,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827382,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827385,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827388,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827391,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827394,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827397,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827400,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827403,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827406,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827409,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827412,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827415,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827418,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827421,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827424,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827427,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827430,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827433,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827436,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827439,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827442,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827445,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827448,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827451,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827454,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827457,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827460,1346,0.003781,0.000000,0.000000,0.000000,events/second
1599827463,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827466,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827469,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827472,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827475,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827478,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827481,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827484,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827487,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827490,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827493,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827496,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827499,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827502,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827505,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827508,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827511,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827514,1346,0.003780,0.000000,0.000000,0.000000,events/second
1599827517,1347,0.003783,0.000000,0.000000,0.000000,events/second
1599827520,1347,0.003783,0.000000,0.000000,0.000000,events/second
1599827523,1347,0.003783,0.000000,0.000000,0.000000,events/second
1599827526,1347,0.003783,0.000000,0.000000,0.000000,events/second
1599827529,1347,0.003783,0.000000,0.000000,0.000000,events/second
1599827532,1347,0.003783,0.000000,0.000000,0.000000,events/second
1599827535,1347,0.003783,0.000000,0.000000,0.000000,events/second
1599827538,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827541,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827544,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827547,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827550,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827553,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827556,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827559,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827562,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827565,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827568,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827571,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827574,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827577,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827580,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827583,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827586,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827589,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827592,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827595,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827598,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827601,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827604,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827607,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827610,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827613,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827616,1347,0.003782,0.000000,0.000000,0.000000,events/second
1599827619,1347,0.003782,0.000000,0.000000,0.000000,events/second
