t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1623907650,5215,0.013752,0.000000,0.000000,0.000000,events/second
1623907653,5215,0.013752,0.000000,0.000000,0.000000,events/second
1623907656,5215,0.013752,0.000000,0.000000,0.000000,events/second
1623907659,5215,0.013752,0.000000,0.000000,0.000000,events/second
1623907662,5215,0.013752,0.000000,0.000000,0.000000,events/second
1623907665,5215,0.013752,0.000000,0.000000,0.000000,events/second
1623907668,5215,0.013752,0.000000,0.000000,0.000000,events/second
1623907671,5215,0.013752,0.000000,0.000000,0.000000,events/second
1623907674,5215,0.013752,0.000000,0.000000,0.000000,events/second
1623907677,5215,0.013751,0.000000,0.000000,0.000000,events/second
1623907680,5215,0.013751,0.000000,0.000000,0.000000,events/second
1623907683,5215,0.013751,0.000000,0.000000,0.000000,events/second
1623907686,5215,0.013751,0.000000,0.000000,0.000000,events/second
1623907689,5215,0.013751,0.000000,0.000000,0.000000,events/second
1623907692,5215,0.013751,0.000000,0.000000,0.000000,events/second
1623907695,5215,0.013751,0.000000,0.000000,0.000000,events/second
1623907698,5215,0.013751,0.000000,0.000000,0.000000,events/second
1623907701,5215,0.013751,0.000000,0.000000,0.000000,events/second
1623907704,5215,0.013750,0.000000,0.000000,0.000000,events/second
1623907707,5215,0.013750,0.000000,0.000000,0.000000,events/second
1623907710,5215,0.013750,0.000000,0.000000,0.000000,events/second
1623907713,5215,0.013750,0.000000,0.000000,0.000000,events/second
1623907716,5215,0.013750,0.000000,0.000000,0.000000,events/second
1623907719,5215,0.013750,0.000000,0.000000,0.000000,events/second
1623907722,5215,0.013750,0.000000,0.000000,0.000000,events/second
1623907725,5215,0.013750,0.000000,0.000000,0.000000,events/second
1623907728,5215,0.013750,0.000000,0.000000,0.000000,events/second
1623907731,5215,0.013749,0.000000,0.000000,0.000000,events/second
1623907734,5215,0.013749,0.000000,0.000000,0.000000,events/second
1623907737,5215,0.013749,0.000000,0.000000,0.000000,events/second
1623907740,5215,0.013749,0.000000,0.000000,0.000000,events/second
1623907743,5215,0.013749,0.000000,0.000000,0.000000,events/second
1623907746,5215,0.013749,0.000000,0.000000,0.000000,events/second
1623907749,5215,0.013749,0.000000,0.000000,0.000000,events/second
1623907752,5215,0.013749,0.000000,0.000000,0.000000,events/second
1623907755,5215,0.013749,0.000000,0.000000,0.000000,events/second
1623907758,5215,0.013749,0.000000,0.000000,0.000000,events/second
1623907761,5215,0.013748,0.000000,0.000000,0.000000,events/second
1623907764,5215,0.013748,0.000000,0.000000,0.000000,events/second
