t,value
1611847298,153965
1611847301,153973
1611847304,153973
1611847307,153973
1611847310,153973
1611847313,153973
1611847316,153973
1611847319,153973
1611847322,153973
1611847325,153973
1611847328,153973
1611847331,153973
1611847334,153973
1611847337,153973
1611847340,153973
1611847343,153973
1611847346,153973
1611847349,153973
1611847352,153973
1611847355,153973
1611847358,153973
1611847361,153965
1611847364,153965
1611847367,153965
1611847370,153965
1611847373,153965
1611847376,153965
1611847379,153965
1611847382,153965
1611847385,153965
1611847388,153965
1611847391,153965
1611847394,153965
1611847397,153965
1611847400,153965
1611847403,153965
1611847406,153965
1611847409,153965
1611847412,153965
1611847415,153965
1611847418,153965
1611847421,153965
1611847424,153965
1611847427,153965
1611847430,153965
1611847433,153965
1611847436,153965
1611847439,153965
1611847442,153965
1611847445,153965
1611847448,153965
1611847451,153965
1611847454,153965
1611847457,153965
1611847460,153965
1611847463,153965
1611847466,153965
1611847469,153965
1611847472,153965
1611847475,153965
1611847478,153965
1611847481,153965
1611847484,153965
1611847487,153965
1611847490,153965
1611847493,153965
1611847496,153965
1611847499,153965
1611847502,153965
1611847505,153965
1611847508,153965
1611847511,153965
1611847514,153965
1611847517,153965
1611847520,153965
1611847523,153965
1611847526,153965
1611847529,153965
1611847532,153965
1611847535,153965
1611847538,153965
1611847541,153965
1611847544,153965
1611847547,153965
1611847550,153965
1611847553,153965
1611847556,153965
1611847559,153965
1611847562,153965
1611847565,153965
1611847568,153965
1611847571,153965
1611847574,153965
1611847577,153965
1611847580,153965
1611847583,153965
1611847586,153965
1611847589,153965
1611847592,153965
1611847595,153965
1611847598,153965
1611847601,153965
1611847604,153965
1611847607,153965
1611847610,153965
1611847613,153965
1611847616,153965
1611847619,153965
1611847622,153965
1611847625,153965
1611847628,153965
1611847631,153965
1611847634,153965
1611847637,153965
1611847640,153965
1611847643,153965
1611847646,153965
1611847649,153965
1611847652,153965
1611847655,153965
1611847658,153965
1611847661,153965
1611847664,153965
1611847667,153965
1611847670,153965
1611847673,153965
1611847676,153965
1611847679,153965
1611847682,153965
1611847685,153965
1611847688,153965
1611847691,153965
1611847694,153965
1611847697,153965
1611847700,153965
1611847703,153965
1611847706,153965
1611847709,153965
1611847712,153965
1611847715,153965
1611847718,153965
1611847721,153965
1611847724,153965
1611847727,153965
1611847730,153965
1611847733,153965
1611847736,153965
1611847739,153965
1611847742,153965
1611847745,153965
1611847748,153965
1611847751,153965
1611847754,153965
1611847757,153965
1611847760,153965
1611847763,153965
1611847766,153965
1611847769,153965
1611847772,153965
1611847775,153965
1611847778,153965
1611847781,153965
1611847784,153965
1611847787,153965
1611847790,153965
1611847793,153965
1611847796,153965
1611847799,153965
1611847802,153965
1611847805,153965
1611847808,153965
1611847811,153965
1611847814,153965
1611847817,153965
1611847820,153965
1611847823,153965
1611847826,153965
1611847829,153965
1611847832,153965
1611847835,153965
1611847838,153965
1611847841,153965
1611847844,153965
1611847847,153965
1611847850,153965
1611847853,153965
1611847856,153965
1611847859,153965
1611847862,153965
1611847865,153965
1611847868,153965
1611847871,153965
1611847874,153965
1611847877,153965
1611847880,153965
1611847883,153965
1611847886,153965
1611847889,153965
1611847892,153965
1611847895,153965
1611847898,153965
1611847901,153965
1611847904,153965
1611847907,153965
1611847910,153965
1611847913,153965
1611847916,153965
1611847919,153965
1611847922,153965
1611847925,153965
1611847928,153965
1611847931,153965
1611847934,153965
1611847937,153965
1611847940,153965
1611847943,153965
1611847946,153965
1611847949,153965
1611847952,153965
1611847955,153965
1611847958,153965
1611847961,153965
1611847964,153965
1611847967,153965
1611847970,153965
1611847973,153965
1611847976,153965
1611847979,153965
1611847982,153965
1611847985,153965
1611847988,153965
1611847991,153965
1611847994,153965
1611847997,153965
1611848000,153965
1611848003,153965
1611848006,153965
1611848009,153965
1611848012,153965
1611848015,153965
1611848018,153965
1611848021,153965
1611848024,153965
1611848027,153965
1611848030,153965
1611848033,153965
1611848036,153965
1611848039,153965
1611848042,153965
1611848045,153965
1611848048,153965
1611848051,153965
1611848054,153965
1611848057,153965
1611848060,153965
1611848063,153965
1611848066,153965
1611848069,153965
1611848072,153965
