t,value
1598171893,11
1598171896,12
1598171899,12
1598171902,12
1598171905,12
1598171908,12
1598171911,12
1598171914,12
1598171917,12
1598171920,12
1598171923,12
1598171926,12
1598171929,12
1598171932,12
1598171935,12
1598171938,12
1598171941,12
1598171944,12
1598171947,12
1598171950,10
1598171953,10
1598171956,10
1598171959,10
1598171962,10
1598171965,10
1598171968,10
1598171971,10
1598171974,10
1598171977,10
1598171980,10
1598171983,10
1598171986,10
1598171989,10
1598171992,10
1598171995,10
1598171998,10
1598172001,10
1598172004,10
1598172007,10
1598172010,10
1598172013,10
1598172016,10
1598172019,10
1598172022,10
1598172025,10
1598172028,10
1598172031,10
1598172034,10
1598172037,10
1598172040,10
1598172043,10
1598172046,10
1598172049,10
1598172052,10
1598172055,10
1598172058,10
1598172061,10
1598172064,10
1598172067,10
1598172070,10
1598172073,10
1598172076,10
1598172079,10
1598172082,10
1598172085,10
1598172088,10
1598172091,10
1598172094,10
1598172097,10
1598172100,10
1598172103,10
1598172106,10
1598172109,10
1598172112,10
1598172115,10
1598172118,10
1598172121,10
1598172124,10
1598172127,10
1598172130,10
1598172133,10
1598172136,10
1598172139,10
1598172142,10
1598172145,10
1598172148,10
1598172151,10
1598172154,10
1598172157,10
1598172160,13
1598172163,14
1598172166,14
1598172169,14
1598172172,14
1598172175,14
1598172178,14
1598172181,14
1598172184,14
1598172187,14
1598172190,14
1598172193,14
1598172196,14
1598172199,14
1598172202,14
1598172205,14
1598172208,14
1598172211,14
1598172214,14
1598172217,14
1598172220,14
1598172223,14
1598172226,14
1598172229,14
1598172232,14
1598172235,14
1598172238,14
1598172241,14
1598172244,14
1598172247,14
1598172250,14
1598172253,14
1598172256,14
1598172259,14
1598172262,14
1598172265,14
1598172268,14
1598172271,14
1598172274,14
1598172277,14
1598172280,14
1598172283,14
1598172286,14
1598172289,14
1598172292,14
1598172295,14
1598172298,14
1598172301,14
1598172304,14
1598172307,14
1598172310,14
1598172313,14
1598172316,14
1598172319,14
1598172322,14
1598172325,14
1598172328,14
1598172331,14
1598172334,14
1598172337,14
1598172340,14
1598172343,14
1598172346,14
1598172349,14
1598172352,14
1598172355,14
1598172358,14
1598172361,14
1598172364,14
1598172367,14
1598172370,14
1598172373,14
1598172376,14
1598172379,14
1598172382,14
1598172385,14
1598172388,14
1598172391,14
1598172394,14
1598172397,14
1598172400,14
1598172403,14
1598172406,14
1598172409,14
1598172412,14
1598172415,14
1598172418,14
1598172421,14
1598172424,14
1598172427,14
1598172430,14
1598172433,14
1598172436,14
1598172439,14
1598172442,14
1598172445,14
1598172448,14
1598172451,14
1598172454,14
1598172457,14
1598172460,14
1598172463,14
1598172466,14
1598172469,14
1598172472,14
1598172475,14
1598172478,14
1598172481,14
1598172484,14
1598172487,14
t,value
1598172513,8
1598172516,9
1598172519,12
1598172522,12
1598172525,12
1598172528,12
1598172531,12
1598172534,12
1598172537,12
1598172540,12
1598172543,12
1598172546,12
1598172549,12
1598172552,12
1598172555,12
1598172558,12
1598172561,12
1598172564,12
1598172567,12
1598172570,10
1598172573,10
1598172576,10
1598172579,10
1598172582,10
1598172585,10
1598172588,10
1598172591,10
1598172594,10
1598172597,10
1598172600,10
1598172603,10
1598172606,10
1598172609,10
1598172612,10
1598172615,10
1598172618,10
1598172621,10
1598172624,10
1598172627,10
1598172630,10
1598172633,10
1598172636,10
1598172639,10
1598172642,10
1598172645,10
1598172648,10
1598172651,10
1598172654,10
1598172657,10
1598172660,10
1598172663,10
1598172666,10
1598172669,10
1598172672,10
1598172675,10
1598172678,10
1598172681,10
1598172684,10
1598172687,10
1598172690,10
1598172693,10
1598172696,10
1598172699,10
1598172702,10
1598172705,10
1598172708,10
1598172711,10
1598172714,10
1598172717,10
1598172720,10
1598172723,10
1598172726,10
1598172729,10
1598172732,10
1598172735,10
1598172738,10
1598172741,10
1598172744,10
1598172747,10
1598172750,10
1598172753,10
1598172756,10
1598172759,10
1598172762,10
1598172765,10
1598172768,10
1598172771,10
1598172774,10
1598172777,10
1598172780,10
1598172783,10
1598172786,10
1598172789,10
1598172792,10
1598172795,10
1598172798,10
1598172801,10
1598172804,10
1598172807,10
1598172810,10
1598172813,10
1598172816,10
1598172819,10
1598172822,10
1598172825,10
1598172828,10
1598172831,10
1598172834,10
1598172837,10
1598172840,10
1598172843,10
1598172846,10
1598172849,10
1598172852,10
1598172855,10
1598172858,10
1598172861,10
1598172864,10
1598172867,10
1598172870,10
1598172873,10
1598172876,10
1598172879,10
1598172882,10
1598172885,10
1598172888,10
1598172891,10
1598172894,10
1598172897,10
1598172900,10
1598172903,10
1598172906,10
1598172909,10
1598172912,10
1598172915,10
1598172918,10
1598172921,10
1598172924,10
1598172927,10
1598172930,10
1598172933,10
1598172936,10
1598172939,10
1598172942,10
1598172945,10
1598172948,10
1598172951,10
1598172954,10
1598172957,10
1598172960,10
1598172963,10
1598172966,10
1598172969,10
1598172972,10
1598172975,10
1598172978,10
1598172981,10
1598172984,10
1598172987,10
1598172990,10
1598172993,10
1598172996,10
1598172999,10
1598173002,10
1598173005,10
1598173008,10
1598173011,10
1598173014,10
1598173017,10
1598173020,10
1598173023,10
1598173026,10
1598173029,10
1598173032,10
1598173035,10
1598173038,10
1598173041,10
1598173044,10
1598173047,10
1598173050,10
1598173053,10
1598173056,10
1598173059,10
1598173062,10
1598173065,10
1598173068,10
1598173071,10
1598173074,10
1598173077,10
1598173080,10
1598173083,10
1598173086,10
1598173089,10
1598173092,10
1598173095,10
1598173098,10
1598173101,10
1598173104,10
1598173107,10
1598173110,10
1598173113,10
1598173116,10
1598173119,10
1598173122,10
1598173125,10
1598173128,10
1598173131,10
1598173134,10
1598173137,10
1598173140,10
1598173143,10
1598173146,10
1598173149,10
1598173152,10
1598173155,10
1598173158,10
1598173161,10
1598173164,10
1598173167,10
1598173170,10
1598173173,10
1598173176,10
1598173179,10
1598173182,10
1598173185,10
1598173188,10
1598173191,10
1598173194,10
1598173197,10
1598173200,10
1598173203,10
1598173206,10
1598173209,10
1598173212,10
1598173215,10
1598173218,10
1598173221,10
1598173224,10
1598173227,10
1598173230,10
1598173233,10
1598173236,10
1598173239,10
1598173242,10
1598173245,10
1598173248,10
1598173251,10
1598173254,10
1598173257,10
1598173260,10
1598173263,10
1598173266,10
1598173269,10
1598173272,10
1598173275,10
1598173278,10
1598173281,10
1598173284,10
1598173287,10
1598173290,10
1598173293,10
1598173296,10
1598173299,10
1598173302,10
1598173305,10
1598173308,10
1598173311,10
1598173314,10
1598173317,10
1598173320,10
1598173323,10
1598173326,10
1598173329,10
1598173332,10
1598173335,10
1598173338,10
1598173341,10
1598173344,10
1598173347,10
1598173350,10
1598173353,10
1598173356,10
1598173359,10
1598173362,10
1598173365,10
1598173368,10
1598173371,10
1598173374,10
1598173377,10
1598173380,10
1598173383,10
1598173386,10
1598173389,10
1598173392,10
1598173395,10
1598173398,10
1598173401,10
1598173404,10
1598173407,10
1598173410,10
1598173413,10
1598173416,10
1598173419,10
1598173422,10
1598173425,10
1598173428,10
1598173431,10
1598173434,10
1598173437,10
1598173440,10
1598173443,10
1598173446,10
1598173449,10
1598173452,10
1598173455,10
1598173458,10
1598173461,10
1598173464,10
1598173467,10
1598173470,10
1598173473,10
1598173476,10
1598173479,10
1598173482,10
1598173485,10
1598173488,10
1598173491,10
1598173494,10
1598173497,10
1598173500,10
1598173503,10
1598173506,10
1598173509,10
1598173512,10
1598173515,10
1598173518,10
1598173521,10
1598173524,10
1598173527,10
1598173530,10
1598173533,10
1598173536,10
1598173539,10
1598173542,10
1598173545,10
1598173548,10
1598173551,10
1598173554,10
1598173557,10
1598173560,10
1598173563,10
1598173566,10
1598173569,10
1598173572,10
1598173575,10
1598173578,10
1598173581,10
1598173584,10
1598173587,10
1598173590,10
1598173593,10
1598173596,10
1598173599,10
1598173602,10
1598173605,10
1598173608,10
1598173611,10
1598173614,10
1598173617,10
1598173620,10
1598173623,10
1598173626,10
1598173629,10
1598173632,11
1598173635,11
1598173638,11
1598173641,11
1598173644,11
1598173647,11
1598173650,11
1598173653,11
1598173656,11
1598173659,11
1598173662,11
1598173665,11
1598173668,11
1598173671,11
1598173674,11
1598173677,11
1598173680,11
1598173683,11
1598173686,11
1598173689,11
1598173692,11
1598173695,11
1598173698,11
1598173701,11
1598173704,11
1598173707,11
1598173710,11
1598173713,11
1598173716,11
1598173719,11
1598173722,11
1598173725,11
1598173728,11
1598173731,11
1598173734,11
1598173737,11
1598173740,11
1598173743,11
1598173746,11
1598173749,11
1598173752,11
1598173755,11
1598173758,11
1598173761,11
1598173764,11
1598173767,11
1598173770,11
1598173773,11
1598173776,11
1598173779,11
1598173782,11
1598173785,11
1598173788,11
1598173791,11
1598173794,11
1598173797,11
1598173800,11
1598173803,11
1598173806,11
1598173809,11
1598173812,11
1598173815,11
1598173818,11
1598173821,11
1598173824,11
1598173827,11
1598173830,11
1598173833,11
1598173836,11
1598173839,11
1598173842,11
1598173845,11
1598173848,11
1598173851,11
1598173854,11
1598173857,11
1598173860,11
1598173863,11
1598173866,11
1598173869,11
1598173872,11
1598173875,11
1598173878,11
1598173881,11
1598173884,11
1598173887,11
1598173890,11
1598173893,11
1598173896,11
1598173899,11
1598173902,11
1598173905,11
1598173908,11
1598173911,11
1598173914,11
1598173917,11
1598173920,11
1598173923,11
1598173926,11
1598173929,11
1598173932,11
1598173935,11
1598173938,11
1598173941,11
1598173944,11
1598173947,11
1598173950,11
1598173953,11
1598173956,11
1598173959,11
1598173962,11
1598173965,11
1598173968,11
1598173971,11
1598173974,11
1598173977,11
1598173980,11
1598173983,11
1598173986,11
1598173989,11
1598173992,11
1598173995,11
1598173998,11
1598174001,11
1598174004,11
1598174007,11
1598174010,11
1598174013,11
1598174016,11
1598174019,11
1598174022,11
1598174025,11
1598174028,11
1598174031,11
1598174034,11
1598174037,11
1598174040,11
1598174043,11
1598174046,11
1598174049,11
1598174052,11
1598174055,11
1598174058,11
1598174061,11
1598174064,11
1598174067,11
1598174070,11
1598174073,11
1598174076,11
1598174079,11
1598174082,11
1598174085,11
1598174088,11
1598174091,11
1598174094,11
1598174097,11
1598174100,11
1598174103,11
1598174106,11
1598174109,11
1598174112,11
1598174115,11
1598174118,11
1598174121,11
1598174124,11
1598174127,11
1598174130,11
1598174133,11
1598174136,11
1598174139,11
1598174142,11
1598174145,11
1598174148,11
1598174151,11
1598174154,11
1598174157,11
1598174160,11
1598174163,11
1598174166,11
1598174169,11
1598174172,11
1598174175,11
1598174178,11
1598174181,11
1598174184,11
1598174187,11
1598174190,11
1598174193,11
1598174196,11
1598174199,11
1598174202,11
1598174205,11
1598174208,11
1598174211,11
1598174214,11
1598174217,11
1598174220,11
1598174223,11
1598174226,11
1598174229,11
1598174232,11
1598174235,11
1598174238,11
1598174241,11
1598174244,11
1598174247,11
1598174250,11
1598174253,11
1598174256,11
1598174259,11
1598174262,11
1598174265,11
1598174268,11
1598174271,11
1598174274,11
1598174277,11
1598174280,11
1598174283,11
1598174286,11
1598174289,11
1598174292,11
1598174295,11
1598174298,11
1598174301,11
1598174304,11
1598174307,11
1598174310,11
1598174313,11
1598174316,11
1598174319,11
1598174322,11
1598174325,11
1598174328,11
1598174331,11
1598174334,11
1598174337,11
1598174340,11
1598174343,11
1598174346,11
1598174349,11
1598174352,11
1598174355,11
1598174358,11
1598174361,11
1598174364,11
1598174367,11
1598174370,11
1598174373,11
1598174376,11
1598174379,11
1598174382,11
1598174385,11
1598174388,11
1598174391,11
1598174394,11
1598174397,11
1598174400,11
1598174403,11
1598174406,11
1598174409,11
1598174412,11
1598174415,11
1598174418,11
1598174421,11
1598174424,11
1598174427,11
1598174430,11
1598174433,11
1598174436,11
1598174439,11
1598174442,11
1598174445,11
1598174448,11
1598174451,11
1598174454,11
1598174457,11
1598174460,11
1598174463,11
1598174466,11
1598174469,11
1598174472,11
1598174475,11
1598174478,11
