t,value
1611847298,153974
1611847301,153974
1611847304,153974
1611847307,153974
1611847310,153974
1611847313,153974
1611847316,153974
1611847319,153974
1611847322,153974
1611847325,153974
1611847328,153974
1611847331,153974
1611847334,153974
1611847337,153974
1611847340,153974
1611847343,153974
1611847346,153974
1611847349,153974
1611847352,153974
1611847355,153974
1611847358,153974
1611847361,153966
1611847364,153966
1611847367,153966
1611847370,153966
1611847373,153966
1611847376,153966
1611847379,153966
1611847382,153966
1611847385,153966
1611847388,153966
1611847391,153966
1611847394,153966
1611847397,153966
1611847400,153966
1611847403,153966
1611847406,153966
1611847409,153966
1611847412,153966
1611847415,153966
1611847418,153966
1611847421,153966
1611847424,153966
1611847427,153966
1611847430,153966
1611847433,153966
1611847436,153966
1611847439,153966
1611847442,153966
1611847445,153966
1611847448,153966
1611847451,153966
1611847454,153966
1611847457,153966
1611847460,153966
1611847463,153966
1611847466,153966
1611847469,153966
1611847472,153966
1611847475,153966
1611847478,153966
1611847481,153966
1611847484,153966
1611847487,153966
1611847490,153966
1611847493,153966
1611847496,153966
1611847499,153966
1611847502,153966
1611847505,153966
1611847508,153966
1611847511,153966
1611847514,153966
1611847517,153966
1611847520,153966
1611847523,153966
1611847526,153966
1611847529,153966
1611847532,153966
1611847535,153966
1611847538,153966
1611847541,153966
1611847544,153966
1611847547,153966
1611847550,153966
1611847553,153966
1611847556,153966
1611847559,153966
1611847562,153966
1611847565,153966
1611847568,153966
1611847571,153966
1611847574,153966
1611847577,153966
1611847580,153966
1611847583,153966
1611847586,153966
1611847589,153966
1611847592,153966
1611847595,153966
1611847598,153966
1611847601,153966
1611847604,153966
1611847607,153966
1611847610,153966
1611847613,153966
1611847616,153966
1611847619,153966
1611847622,153966
1611847625,153966
1611847628,153966
1611847631,153966
1611847634,153966
1611847637,153966
1611847640,153966
1611847643,153966
1611847646,153966
1611847649,153966
1611847652,153966
1611847655,153966
1611847658,153966
1611847661,153966
1611847664,153966
1611847667,153966
1611847670,153966
1611847673,153966
1611847676,153966
1611847679,153966
1611847682,153966
1611847685,153966
1611847688,153966
1611847691,153966
1611847694,153966
1611847697,153966
1611847700,153966
1611847703,153966
1611847706,153966
1611847709,153966
1611847712,153966
1611847715,153966
1611847718,153966
1611847721,153966
1611847724,153966
1611847727,153966
1611847730,153966
1611847733,153966
1611847736,153966
1611847739,153966
1611847742,153966
1611847745,153966
1611847748,153966
1611847751,153966
1611847754,153966
1611847757,153966
1611847760,153966
1611847763,153966
1611847766,153966
1611847769,153966
1611847772,153966
1611847775,153966
1611847778,153966
1611847781,153966
