t,value
1598171893,1430912
1598171896,1482368
1598171899,1483008
1598171902,1483008
1598171905,1483008
1598171908,1483008
1598171911,1483008
1598171914,1483008
1598171917,1483008
1598171920,1483008
1598171923,1483008
1598171926,1483008
1598171929,1483008
1598171932,1483008
1598171935,1483008
1598171938,1483008
1598171941,1483008
1598171944,1483008
1598171947,1483008
1598171950,1483008
1598171953,1483008
1598171956,1483008
1598171959,1483008
1598171962,1483008
1598171965,1483008
1598171968,1483008
1598171971,1483008
1598171974,1483008
1598171977,1483008
1598171980,1483008
1598171983,1483008
1598171986,1483008
1598171989,1483008
1598171992,1483008
1598171995,1483008
1598171998,1483008
1598172001,1483008
1598172004,1483008
1598172007,1483008
1598172010,1483008
1598172013,1483008
1598172016,1483008
1598172019,1483008
1598172022,1483008
1598172025,1483008
1598172028,1483008
1598172031,1483008
1598172034,1483008
1598172037,1483008
1598172040,1483008
1598172043,1483008
1598172046,1483008
1598172049,1483008
1598172052,1483008
1598172055,1483008
1598172058,1483008
1598172061,1483008
1598172064,1483008
1598172067,1483008
1598172070,1483008
1598172073,1483008
1598172076,1483008
1598172079,1483008
1598172082,1483008
1598172085,1483008
1598172088,1483008
1598172091,1483008
1598172094,1483008
1598172097,1483008
1598172100,1483008
1598172103,1483008
1598172106,1483008
1598172109,1483008
1598172112,1483008
1598172115,1483008
1598172118,1483008
1598172121,1483008
1598172124,1483008
1598172127,1483008
1598172130,1483008
1598172133,1483008
1598172136,1483008
1598172139,1483008
1598172142,1483008
1598172145,1483008
1598172148,1483008
1598172151,1483008
1598172154,1483008
1598172157,1483008
1598172160,1487488
1598172163,1495424
1598172166,1495424
1598172169,1495424
1598172172,1495424
1598172175,1495424
1598172178,1495424
1598172181,1495424
1598172184,1495424
1598172187,1495424
1598172190,1495424
1598172193,1495424
1598172196,1495424
1598172199,1501184
1598172202,1496192
1598172205,1496192
1598172208,1496192
1598172211,1496192
1598172214,1496192
1598172217,1497472
1598172220,1502080
1598172223,1502080
1598172226,1502080
1598172229,1502080
1598172232,1502080
1598172235,1502080
1598172238,1502080
1598172241,1502080
1598172244,1502080
1598172247,1502080
1598172250,1502080
1598172253,1502080
1598172256,1502080
1598172259,1502080
1598172262,1502080
1598172265,1502080
1598172268,1502080
1598172271,1502080
1598172274,1502080
1598172277,1502080
1598172280,1502080
1598172283,1502080
1598172286,1502080
1598172289,1502080
1598172292,1502080
1598172295,1502080
1598172298,1502080
1598172301,1502080
1598172304,1502080
1598172307,1502080
1598172310,1502080
1598172313,1502080
1598172316,1502080
1598172319,1502080
1598172322,1502720
1598172325,1502720
1598172328,1502720
1598172331,1502720
1598172334,1502720
1598172337,1502720
1598172340,1502720
1598172343,1502720
1598172346,1502720
1598172349,1502720
1598172352,1502720
1598172355,1502720
1598172358,1502720
1598172361,1502720
1598172364,1502720
1598172367,1502720
1598172370,1502720
1598172373,1502720
1598172376,1502720
1598172379,1502720
1598172382,1502720
1598172385,1502720
1598172388,1502720
1598172391,1502720
1598172394,1502720
1598172397,1502720
1598172400,1502720
1598172403,1502720
1598172406,1502720
1598172409,1502720
1598172412,1502720
1598172415,1502720
1598172418,1502720
1598172421,1502720
1598172424,1502720
